,quantity,Unnamed: 0,organization,position,link,location,date_added,real_link,title,type,description,company,key
10,9,26,Microsoft,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lIOSZivqcbQcX0-7klQqlkniOISG67hm59vaIiePjVdhxpokYWhEMHkboILp8dw5E9y9EpjndmwgFcZAtov3Lys-gqRdYB0rUICL39H8TACkC18wOGyeEOwtgmioH8hQY_c32as_p_h8fZ9ePsgwj7oQ==,,2022-09-11,https://careers.microsoft.com/us/en/job/1461546/,,,,Microsoft,careers.microsoft.com
11,17,27,Amazon Web Services (AWS),,https://jobs.quantumapalooza.com/u/BgAAAAABjS-hvZIIfFUodI_9bD1RZ2gfS1QJPt5mMp9Ye08uuTra3HFUzOQFfCk0ODQT2jXHP18JSAE9op7MnLJJXPLDMpXsltfIN2c5t2gwU-BPERM4-NzB9QMPwLe6Wq6GBjJFn4QngGIXFDmNtN0lEtBarqTrgZQ==,,2022-09-10,https://www.amazon.jobs/en/jobs/2230220/,,,,,www.amazon.jobs
12,1,29,Keysight,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kvTJ6AXMkskfyvghoL3CuOpQdpJWbTOOvno1BTRG9Q4XpKZoRNi_a19aMBrKdDvZCBPvndNRqCPpFE_rJ9ID75TnHEa8T28lATKXAvXexe9SRHeRwKrFVI_m6rsD47pvRnX4kwl7_ggwH10E1jfBVz0g==,,2022-09-10,https://jobs.keysight.com/job/Everett-Quantum-Software-Engineer-WA-98201/932100600/,,,,Keysight,jobs.keysight.com
13,2,30,Lockheed Martin,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-k-2UjBGkW7ks76Su438_MXjXhI0B2Z1LEsy3l9-UpGr8vXJcJ5_AwTVcjs9ZzCePpe0IMTxIeAyrDvhYV3jxRFVPavcn7IJDPzkNwhwbtLiYdXeJxjXp5X56w_3ySyN3VHSBNRR5JSRtq3EX4lOR1xXQ==,,2022-09-10,https://www.lockheedmartinjobs.com/job/-/-/694/35852230320?Codes=IND,,,,,www.lockheedmartinjobs.com
14,12,38,Pasqal,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mEwL3x3guP086srPw5-1hdBazSL9nxkVzlkjyo2oXFf6unij7xEySttRFPGoggg9z4tqheb_jUiI5wEsy8FjeL2ImuJvjCiAW301LrpajIhQz3kqojS4Pr399JPn75EDYPy0Rr1Gr4apCI6UahNUhUbw==,,2022-09-03,https://pasqal.io/jobs/frontend-software-engineer-cloud-services/,,,,Pasqal,pasqal.io
15,2,40,QuintessenceLabs,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nWIkTP8xsTyqNnMMEJ-koiCUss421OqxFdAbK-B-8QXh2Yfv_VizHU3bl3Z1Megy11rGfdPqcmPzZ3uEbjLpd8a0OUEDqzcEJv5jr71CRC2LFDHh0-ce3IRLHiaWEJKgaM_T179OwjxljieCPQdFYO7Q==,,2022-09-03,https://www.quintessencelabs.com/careers#:~:text=Quality%20Assurance%20(QA)%20Engineer,,,,,www.quintessencelabs.com
16,7,45,IBM,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-j34IVxlTBeWZyeN16vaTsaGDP3MicyVQTk-WfnLzqqDzdNdMs761rXuROhAan-dPObyGTVc5cto96fqdmbQmPUKiu77vqxAl-xa56GXglflftBaE_mzxULT0f_a67Fab3qg0ptsdaWPPgRfdn7ZeD8oQ==,,2022-08-30,https://careers.ibm.com/job-not-found/?jobid=16587257,,,,,careers.ibm.com
17,2,47,Deloitte Consulting,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ihmcrBaOFqgrlZdlz-4fsdRE6hagbXSjFPXHy1_RNNl1UigLgnngRCJsA6-x6DJeut9H3U-_Fkiv4jeLyNODIjX-1yD_nxj1F8ZWWvehSNbX0dfMPNT9w8sXGQGQIrjIV9xd9lV0v8H4e_l59xdHEgig==,,2022-08-26,https://apply.deloitte.com/careers/Error,,,,Deloitte,apply.deloitte.com
18,7,52,SandboxAQ,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nsrZKq_-4nU2yGrgEZBfMGqZqwBVMdPLZiqPkFCZ_xibgBLPJw6EhWZYNr58EDoO7P184KrPCbDv-N-3Hv3GLKwDcIsIcE1do5JX3otbe6KexOn7hFVqIpG5aDQUF3rceiTids1ZtwFoVxElNXreHcGw==,,2022-08-21,https://www.sandboxaq.com/careers-list?gh_jid=4633943004,,,,,www.sandboxaq.com
19,1,58,Qrypt,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-muk6F0lsxn3LFX1ThYb8EHFjb_jym9bdsHGsE7aUxyEeuErLIPkG6QNB63THcleyDzZu3j5NpbuabexDkpFY5OCS5co_Lav7k5szwcXZ_NHP2dUzKW2ClVG1nzxKZ5eogQ6kCCQsYlT-i-odrM2XRI2A==,,2022-08-19,https://qrypt.applytojob.com/apply/gGGumKpejI/Senior-Marketing-Specialist?source=INDE,,,,Qrypt,qrypt.applytojob.com
20,9,59,Quantinuum,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mzYGaCiPu-vO6x2zEB3yLUv9JV9nx1WzdRpo2MECOMkPN4ZDjmYheeJ9TrRYVNNAtipw592e1qJSSNkj5pPp4tGdzl497qOyn22YtbStbyATq28xfK5Qppg-R3FqLGo1DzJ3YLDeLbAx-_AvjFUCNurQ==,,2022-08-19,https://jobs.eu.lever.co/cambridgequantum/81c06cae-c07d-40a5-b06f-f473791e83f2,,,,Lever,jobs.eu.lever.co
21,1,61,Bluefors,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h7GCB4_ZxsrIVcl_3CQZgb933IJAqnnYDtl4CgiDwgXclJr2QcbJNuLOfjQOLxjWKgi6D6DV_jl1otstP_Jz6JLmGXBVbJDO1nO8ixyDSY03ySEey2uznrFsQRnWahHWIjOsU7ALMh_1UPe2YCvjeeag==,,2022-08-17,https://www.jobly.fi/tyopaikka/site-planning-engineer-1287391,,,,,www.monster.fi
22,5,63,Quantum Machines,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nDHDgGjq6N_0ZTSIdTKukMhTIv5yboj1MtYXRXKib2AdcUzOe8NME142X9FUkb6qJbBsgoXAHEsWvcnrHdVhtaFTYQwnDY0FMN43BeNKbOOmNRg06NH_FDjFHyIerPDOgKCq_pLdSMlq8VtHLSzl0crg==,,2022-08-16,https://www.quantum-machines.co/careers/?coref=1.11.pA6_99E,,,,,www.quantum-machines.co
23,5,64,Xanadu,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ozRUop9KUNklR3_W3oR30p6LGqwbOZ8ENjB8XSIyhvHYmDi7LYowRFRQ97bYjxcDnm5VpBagtIo246uqtkNZDi13_gxeLs36FiaSjqEtfLBU6V8r9dMEtiIgBgZZXrZB7tC9PQrDWGe207zU6Qong3xw==,,2022-08-16,https://xanadu.applytojob.com/apply/AKAXRxo49Q/Software-Developer-Cloud,,,,Xanadu,xanadu.applytojob.com
24,1,72,FormFactor,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-irBxdqkJ5XAErXZx-Lt7Y_K0OB0u1QtuIBsKyHrnJuTiSdgkDmMBVRMC9fZrX-DhdbOw_hL21_Zxdy6R5GlmnV1uHWCGU1vR6mll5bg27EdZ3QkNmWxi568v0_AvpMOjidL4fZkwY5B2yGXusb1BugXg==,,2022-08-12,https://www.formfactor.com/company/careers/career-opportunities-us-asia/?gnk=job&gni=8a7887a8821e19b301826f36b1c10a2f&gns=Indeed+Free,,,,,www.formfactor.com
25,1,93,Pasqal,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mHJCAzDlYKH2A8mWXMUhaQrxwtTxrUk05rv4tbZDCQyzYjxuPvquBCFN7a6NhHfUkjJ3pNUDLZ6_m_artSSJq_1qle99GglbsVZd7pO0I8k4NOroSW2S6CB2FPShvn9CYOZtwuLgS4i1HLNtEwXM-VVA==,,2022-08-05,https://www.careerbeacon.com/en/job-1/34922/pasqal/quantum-algorithms-scientist/sherbrooke-qc,,,,,www.careerbeacon.com
26,4,97,Zapata Computing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-o13q1BRUNedWhNKjo7desRWHVkQk5ze3I4l5dXIJ-rIyFiILaAB7ZMiWcpby4iDsARpmxoiK7eTg95lpMcLDrtkN8MyFjS0sd_ZGxu58g8PNBsOeRvVa6P1vNg8t0KoegzlRO8XvgzgpBh17q623UF2w==,,2022-08-02,https://zapata.bamboohr.com/jobs/view.php?id=191,,,,Bamboo,zapata.bamboohr.com
27,1,101,Frequency Electronics,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-irvNTXhISzkqcTkZ6uz_6US2xS61V4X2tOU4kl-kj5If5oujsM-i41b1BDt4FWi3hvdG0eNa8ZHwyTQlzC8FUUwZwFg4iaVP4VC-T4maA5u2m7edLoCHwfoWb16PnMPBitXx7yD7jt5ZgJD2obhBytcA==,,2022-07-26,https://fei.breezy.hr/p/877bd4b61cf9-rf-technician,,,,,fei.breezy.hr
28,1,102,Photodigm,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mOSAyiwsXBIyva45MVAMBw2gL-2ymyBq2_jNEVPz8J3qF4n_iKf8p_i_knmiwfdvaTQh4YcBw5QMjTjQ9pDo4fn7800bsFvdVeXgKpV7xvPN9YWjPEvYG5sn-n9ee-mGTL0DSGsqQqCEffbz4wZYzAng==,,2022-07-26,https://cdn2.hubspot.net/hubfs/28325/Engineering_Job_Description_rev0.pdf,,,,,cdn2.hubspot.net
29,13,103,NVIDIA,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-lrRQrv7L2AEe7v1-Ifq6r5Dwebr6rbI1ak-oTxq-LRA3xs-p4E5vxEdcLSgFxMsrpTFbvWNRPB7QgIuFYROpUk8Hi7HHPcT6yo9_NxzJeSYUlGvb_aJ_3rwwyUj_4_8SwXBiRQ-NrmHdcc4GHBCuR7fg==,,2022-07-23,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-NY-New-York/Product-Manager--Quantum-Computing_JR1953141,,,,Nvidia,nvidia.wd5.myworkdayjobs.com
30,1,122,Pasqal,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mMNZxWLZnhkW51RsehpxDsVFchyojNPKUNpwX5gV38m7EuD1chuEfNKejznCaosl2IetUdWFgMc5W7pUYfpbgu8CoLK5S3QjdJ2uAtdpytJlVQu8AADtpmo7VNrKh7AB36AV0ACl20F7tiPA-qT-Du7A==,,2022-07-08,https://fr.linkedin.com/jobs/view/senior-quantum-applications-engineer-at-pasqal-3304314463,,,,,fr.linkedin.com
31,2,132,Booz Allen Hamilton,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iAmbJYhe3ty1IaxSrKu8Q-wgG9FBe0jzXZH6cio6hFRAyaqMTH0r4Vxlr301qLOlSFBhSJp_Lse3atvz1w25LXlhQBpVVu8j5pADm-m7sIUV8Ja4JtMAuo8l1v0nDzALZUZgpHVtSNxOVwMzPhWFyKRw==,,2022-06-30,https://careers.boozallen.com/jobs/Error,,,,Boozallen,careers.boozallen.com
32,2,138,Anametric,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-hydv1zYxYGniLtcIHcvgV61j0eUY9AYy1nDMClD5o57aZvehJCZ7Wi68Tun8nA3UUmc1vGNFu_iJFSoegR_YK1rsgD6swP5cWaqvQeTVtLcnKHxWm1g9RQFaA6JwyWcPVOiu-oblL8kRZxfJbMVlathg==,,2022-06-25,https://anametric.com/wp-content/uploads/2022/05/Job-Req-Director-of-Strategic-Partnerships.pdf,,,,,anametric.com
33,1,148,Qblox,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mhhje7zyWamy-KYll0iFDPUDokgyJXScqSmlhtX1unZH4HP3sTW3_UmbCpy4NfeCZaAwX3ti836kMbyXQzQY_IKQaHMhFDVinFm0bqw51dUlfwbgCItBH7vfoFRIuzDKRHiSMCgVLQniOUyxYWiPNndA==,,2022-06-25,https://qblox.jobs.personio.de/job/707873,,,,Qblox,qblox.jobs.personio.de
34,2,151,Xairos,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-otnd29nMNEl6hRfISK-xAe9h0UMvJRN0VcZtYqL_Gh4V-vc-TtRAunXZ25nQD8b6TTx8ilVK469YtXxbaB0ZY-DsVDwczJhk5gfo1phEA_7_Y9Gg37cQ5lNUjjAeCasmfVldLS66i1SxpVxobShGuRcQ==,,2022-06-25,https://www.xairos.com/general-9#:~:text=Computer%20Software%20Engineer,,,,,www.xairos.com
35,2,159,Riverlane,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nhie7slPcu-vYGZC4qOMGi9cU10Yyv0xul3wNsRpssuF4BPySrEryTQzgcV5qnQpaVgaDZRxwUHU1dwNcuh2xSI8mJ7cGuhxfOvqx3Q4zk2Px8NLhsuTKUw5ko-13IHmDrLNnpUZIgn31K51tAl-ZCjw==,,2022-06-14,https://www.riverlane.com/vacancy/digital-design-engineer/,,,,Riverlane,www.riverlane.com
36,1,168,SRI International,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-n8SDOSVvqXQIWTu4fViANXNHWHtfCWYYWeL9t-0jST1RdweOas6sb8o2yAtOVv1F4TXMLmXSW8orU1VwhsoroDk1tysWwT4ffNgVyxuLu8NIyCb2lvIs7ClhGKLKqHZIhPvRwoOyU6_nPp-oC1djWH-Q==,,2022-06-02,https://careers-sri.icims.com/jobs/5170/project-%26-operations-manager%2c-qed-c/job,,,,,careers-sri.icims.com
37,1,174,Keysight,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-kv3KuMLOCaU7fxjmuPFOBi6S8J_RxVKL90-KM3AXcAf068wf8Sh8tITBkMGbaqYP7NdMWHmh_bCtJjDf8_ncbgKRlLLi9xEXxiuD1s2ejYZ-4m19YTYl7c5MySpm5K488C64MtwQsTyyTt6d4hS4kktg==,,2022-05-26,https://singapore.job-q.com/job/191197/,,,,,singapore.job-q.com
38,6,176,QuantrolOx,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-m0zwwttdRxNXwT_c5dDXtvF9IdxjA7CG_UCxbOANCGM8FmOeSZq3CKWsuq-dqsDoTuqEm2HiWJtbeJJYPdb8QJuE9crO4658hgAJNYVj15fkr8Wv4tDSyhFJtknwtD27yEbKkwqe0mkz-YISj8ZcmhRg==,,2022-05-18,https://quantrolox.com/careers/,,,,,quantrolox.com
39,2,202,Aliro Technologies,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-hYYlQvrUqtgWq7RhjbDoQW3qLWkkVviYMAeB2Jexa1Cn_C25PDx7LLszKZpfvi3zTJ_uh6-k5tQnSrh7w2KpS0ndFh1KcRYg9SOrFZYIUh85PU1UHlB8Ty694q-tXMbvarzbOJT5Bppxy5zTzaHVoAZg==,,2022-04-16,https://www.aliroquantum.com/careers-aliro#:~:text=Senior/Principal%20Software%20Developer%20(Embedded%20Systems),,,,Aliroquantum,www.aliroquantum.com
40,14,209,QuEra Computing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nKbBPmChCma_mwBipFte1nxn3ZB8DCzsCaX30NgrgfeDuAPyZA4KWkqz8EQE8qG9o4LudFkuHjHMDqs_wGV58eusEoYgwipZwLmzxqRUn-Bb-75ndxHvCvP6MdtwiwWIRP1da7WfslfSKMtiIxYr2inw==,"Boston , MA , United States",2022-04-11,https://jobs.recooty.com/quera-computing/accounting-qu124,Accounting,Full Time,,,jobs.recooty.com
41,1,240,Qubitekk,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nKkqGParPWC6YHKaQwyD-IYCIm3L0X6Iz2nmtGsP4DJFKVVqrbz4w-sQxtbbYbFgUOGXEKAeqP5zxZdjemWMb5g9XXWHHAJWVW8W8-e49qJuS5GIYNkv0JjjCeNMM5Z46CbN5FqpPnrAt8qylkydQ16g==,,2022-03-05,https://qubitekk.com/careers/optical-engineer/,,,,,qubitekk.com
42,1,251,Boeing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h8IluPkSFJ2itAt-v4ZyII4bO_IH-AZXzZnE05oRDlXbi-bD0-O6heyO2tLbJvrjLNI0Ck141hDYXMYjlzXTHBZjEK9upJVwO0KxoApkwsu-c7Za30QHlvQR0477bCCdC0TofJb-JBHXKlOIs_Cvwwig==,,2022-02-04,https://jobs.boeing.com/job/-/-/185/22935803280,,,,Boeing,jobs.boeing.com
43,1,258,Deloitte Consulting,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iiq5qfwoxpyKMhOBDxxSjMI0HyxxbqMIZvgKyWcWJcI69EpWzBg2sccMWxO_9a0admgq00gclbfPlLT4kF6L8XBG-0V0pa8IsOEk1e1aOE6c1kBXttVnG9atXkzg7ZgKR8Y5ryR5oojimph-IN-Rp0tQ==,,2022-01-13,https://careers.deloitte.ca/job/Ottawa-Manager%2C-Cyber-Infrastructure-Security%2C-Risk-Advisory-ON-K1P-5T8/821714200/,,,,,careers.deloitte.ca
44,1,262,Honeywell,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-jYjXVUv57d1kNUvORAy7ebeobkl-8sSohxwwBcE0Zn2vnpEBmmUob0kFqAdDhcw5v2Kn69ttB2sonl1AuwH2hx-O60WoLbUt8zzzMVbAvSBSt_zKVyGXxGaGLLJd71WlqY--eiDNp3jM0CCeemRF6bTA==,,2022-01-01,https://www.monster.com/job-openings/f9482fa7-3006-4a1a-9ca4-423b4e2ee7b6,,,,,www.monster.com
45,1,266,Bleximo,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-h6c_9sqiRCpUmtWpWaHBvFrpNohz1rXXaEbaTvASGnYke4KUX31ZA10oAOm1QuS6nt9TgRtGaHtt2LyKRiT_Oc-0sxmlHY13y6rnQY-pCqKaaBYF8lOlH9p1jofRYjrPjGsRjpUdwwrZt2QgWKXFfDQg==,,2021-12-03,https://bleximo-corp.breezy.hr/p/cd683f62d234,,,,,bleximo-corp.breezy.hr
46,11,268,Quantum Machines,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-m-dxqQP6QuP9ZFJULKhth-UFntrQxh8TQ-gMB2V3LxEVKyND4LRV0-Fhs9KVLagYWiGLdzmTtbXpG50fyXFUSSB5odjvOC5i9gu0gh1l4yHQruI34d-XY63WVfo01EJazVoWPGiAU8xSSTtI6jV2OYUw==,,2021-11-13,https://www.comeet.com/jobs/quantummachines/D6.000,,,,,www.comeet.com
47,1,285,Zapata Computing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-o3PN0SwErUE90moNNmptCGKBfKY_I7LfwkDNki3EwKQ2x8zqY_O-2QoO0F1oo9x1WS3EcF6ATNz-ARBh58j-MGzDVn4iwGw98eOT1MjJI5RJfkal1eGVtuAhJVWFUp2_rYMEH_YAVkO9JnP3H8Z7Ns_A==,,2021-10-09,https://zapata-computing.talentify.io/job/jr-quantum-application-scientist-boston-massachusetts-zapata-computing-134,,,,,zapata-computing.talentify.io
48,2,286,Deloitte Consulting,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ihxbCJV99D_-XeAMPl7st-yf5cW8bG0oB-uGaILDWmjQK6_BcHeO51YyqUJX-9BSKPKBFL8NmFZvjsS2fFIZ5CmDzEj-o9kacggi2GYN02hnXjr8iZ0Vrq5X-oNqLQDqz0YFIk9EB2kyJFHL-JfZubKQ==,,2021-10-06,https://job.deloitte.com/job-senior-consultant-mwd-the-garage-quantumlink-schwerpunkt-quantencomputing-_35801,,,,,job.deloitte.com
49,2,287,Qrypt,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-mvsyb2rr4p7dPFA0W8JDjKmkgiC4CjDM_483_aYUPzj17fZ7921wPjFagm476ysEaeTpCK0k4mIMOItKq5iUnsD07yM-elsEWYNXK4lluMlVhPUPJT8w4ApdcyE1n9iQyUWrfAWRM0d8gq09xtg5xC7w==,,2021-10-05,https://www.qrypt.com/careers/#jobs-listing,,,,Qrypt,www.qrypt.com
50,3,322,Zapata Computing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-o5bIwnl7F8B6Y5hbULwXb2SOMtUORiokFNGG8C_UNixdY6uGsDgsjenjj7R2k91SmUCUyFHHGxxrdaIZhCziKBDf_MULqK6SpkCiBNpCV4W0GsgFMnPJLcLInf5WNU3SHQ6H6voK283tXbzOm7yNiJhw==,,2021-06-03,https://search.linkup.com/details/ba00f33ae0803d44da47e0a4119a3082,,,,Linkup,search.linkup.com
51,1,325,Zapata Computing,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-o6u0LvUiFCWIh0-di7zT6SISw4jM4OkusHawLYrT8Tv2M209qaxxGnpF2sbbLhYgeuEiwzd5T8vURsNrd9bqHcQaPHeZ7oO2iOyN0XF1V0IJzmWkoKXSso1kW6LN819Kk1jnOWHoa5zT20zRBdjp36yQ==,,2021-05-22,https://angel.co/company/zapata-computing/jobs/1300910-software-product-designer-ux,,,,,angel.co
52,1,336,BP,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-iCwf_8iNDwPocNPbaeDaXSCBwuj9F3l1ybqBA0gnBSnAuKrqFjjXSsnaO8uOqEKQhdAbVMTiMVrJh-Z6_45oVBLxq-Y233WGKo4MS2nbRZ-JVMGCA82suZoaEG2sIa6HoSSzEbOLD1hp2qCDRhsZHadg==,,2021-04-28,https://careers.bpglobal.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25078&siteid=5012&PageType=JobDetails&jobid=142583,,,,,careers.bpglobal.com
53,2,349,Quantum Valley Ideas Lab,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-nJLyji2aahMAA2Bk2dsDUg_GJBLIw5SpyN_ebhtLHpASxBCXu5kXSvCS1r8f1T--Axs8xV1wee9vrriBLB2oq4Gsxji3u2ktWe6p95UdXuK-fMIRx-fKJzl40hRhl-ZoPtWeO2i802ufLGGKiBcGhBZQ==,,2021-02-27,https://www.qvideaslab.ca/careers-3/,,,,Qvideaslab,www.qvideaslab.ca
54,1,350,JTEC Consulting,,https://jobs.quantumapalooza.com/u/BgAAAAABjS-ktHbZhxc0rd_UgSPQ70OPVWIMpYGsMN2NSjQgL8fDCQjHuQTBctblppqzwH1R_7PJYqs4oEWefqHa9WBziug82F7CMbfatYVDasaD_ltOl90cNFXRas855g0CGdJvya7JwYX1qWh_aINmPLB6OV-yMOA==,,2021-02-17,https://recruitingbypaycor.com/career/JobIntroduction.action?clientId=8a7883d06fb6ed51016fd48e70661eae&id=8a78839e700909e301701656f0913e7b,,,,,recruitingbypaycor.com
