,category,organization,position,link,file
10,academic,Auburn University,Assistant Research Professor - Quantum Chemistry,https://jobs.quantumapalooza.com/u/BgAAAAABilMEREs-gY3V8IK-hTSiAEFBYv2bvQbMggVQf_KqMs6ebDhxQ5Q0xAPBNYmO3zab5A-F9EA4F_AAdkIjihKy4lZBS7Unpbkqrt3EmfVRnHoKBoojIn0K4siMORd_pVbVv279VOMsA_o1oQs71IMZwU_YiTw==,jobs/academic/11.html
11,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Applied Physicist-CIPHER,https://jobs.quantumapalooza.com/u/BgAAAAABilMEwDaZmc9g7gh0O6cIhzat5crfoZ92IntWsh3w96N11UobinMK3Hoc-vvOlVLzCHqr97PkbMoPnaAhnjoWZcYjzVQFfV5xrSra5p4OPz-QZcMMOmuUYxGRq65ta5dR9qMFTwtxB1BQBKFaAUSyBdnVzTg==,jobs/academic/12.html
12,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Data Scientist -CIPHER-Open Rank,https://jobs.quantumapalooza.com/u/BgAAAAABilMEx-Av8BcY2Q3r8KLSgQiyI8_DslrftHTKR0Ep_Y5KNjUBshKEPwn-bVSYiQMwbRawf18aizocg5lK9DYCBsC5cFJd1pqnMs2YV9GuyQPTZTt0sYuFy0EmrQnVPrtjJ-1Wv_SjnY0d71KU31hqndOs5TA==,jobs/academic/13.html
13,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Electrical Engineer: Quantum Systems Division-CIPHER,https://jobs.quantumapalooza.com/u/BgAAAAABilMExaX-kDbeykL5i8JbXASb0FMHE1RNYhow8OD364pPMx81Cr4rbk9ZKvjWtVJTXXZCwuxuLD98nilubbVdWtNXxbCnZ8tL5oH3GI1NC1pqI5kXUDjLZaYKku9K7-_H6y86Vg2T6ggCqwKEg-hkURwWLwg==,jobs/academic/14.html
14,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Mechanical Engineer: Quantum Systems Division-CIPHER,https://jobs.quantumapalooza.com/u/BgAAAAABilMExrvCgM_slNLPL3cGWwZf-WCe4Ak3WYsF9FQuXfFS9T5caJUWjZg5Nt61WdAR8ZKZpoPsHT-BuBSw4UXhFwXMPQVhtmrDX6Xl9zVPyzJ0fAw8mS6ch269j_MDP1kMkrQ1pNnPCEo5F6d2yqlNAucI-CA==,jobs/academic/15.html
15,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Optical Engineer: Quantum Systems Division-CIPHER,https://jobs.quantumapalooza.com/u/BgAAAAABilMExzmkWXPTW6tr9wIUCdg2ktjJ1CmyDKEPNvxFvnJ0oAu9FijsPvatmF6Ny-hFKnRkCHxTHdixpWkrc8Xig4VzI_hMtvMRO2iEKPJ6Y1tfuwqXidGcukAfFdVSnQCm2p_q8Ni_cERbQ90NGrtini-7oOg==,jobs/academic/16.html
16,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Postdoctoral Fellow with expertise in Experimental Quantum Condensed Matter Physics,https://jobs.quantumapalooza.com/u/BgAAAAABilMEy6lb3HiZjKHIrdI0s5mopQTu7kNjN8usxZ6CyjBfqUNr90HS9sli0_aPGG4rsJKJCAVzq9zH8hYQtlnqckJ2d0ZAtiI0WPqY_4USdFx4AGEreAQhU5pucLWR0XPjs-9_tBASGsZFg5K8fhWLZukq_cg==,jobs/academic/17.html
17,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Quantum Systems Research Assistant- Summer 2022- CIPHER,https://jobs.quantumapalooza.com/u/BgAAAAABilMEyqxEPh2E4QIRqL7OzK_F7pxMHb5Wm4GIicGYHHKbRVNPgHT9w1C2wxM2lSxmffHer1Kq6Q_kMJGYFM7qcY7l-0xXqL4Wac4chBzhcrno_YY-L6IjHxIR8vBhqfiM5KT8G2s5Hu-ymrclOy6TiANUjtw==,jobs/academic/18.html
18,academic,Georgia Institute of Technology / Georgia Tech Research Institute,Software Engineer: Quantum Systems Division-CIPHER,https://jobs.quantumapalooza.com/u/BgAAAAABilMEy-ftiGIoEjeri3ag7Rf9P9DCSyJjDHoZZBsFQIg68JgOMXB7QPEVzLNs34cGJvN1I7DkjC19QkqwC0egTfNWvZ8y7kM6o_FL6v57Od1JGOm1zYH_oQjoNtcxQPZuCIgqr0ds9A-QdzVJ_EkLA5jsaYQ==,jobs/academic/19.html
19,academic,Harvard University,"Director of Education and Scientific Outreach, Harvard Quantum Initiative",https://jobs.quantumapalooza.com/u/BgAAAAABilMFDIJGUcbaR2F67Pqp9djOxXxR5HgEMtmmdmd6cBT8W4UzNiXU9wVhVAeFUk8um0iHrPEAjvbyFldiNg1PxZpZ36tEln4NW3qYsJLe_XlThQJ2E2KOUN92U07pV5AJk6TfNl-BMQwdW6U9gRpWT9H9VYw==,jobs/academic/20.html
20,other,Brookhaven National Laboratory (BNL),ASIC Design Engineer (multiple postiions/levels),https://jobs.quantumapalooza.com/u/BgAAAAABilMEUUWIOu6f9axv3z8mjgEXas7TDF1FCIdT0G6WogUcct97KG7oNQieK40KewuwWFF_cuCUaKvPnfyEH_bKX0Urd_UGvwYDsZ89a7gjJTkmWvfBFfqSQUbb--S9DepsxTHBeoPOjp3BuEz507ob0BqaYBg==,jobs/other/21.html
21,other,Brookhaven National Laboratory (BNL),Postdoctoral Research Associate Cryo-EM on Quantum Materials,https://jobs.quantumapalooza.com/u/BgAAAAABilMEV_Fx6ZlOrUE3CHEAPt_fFJ0IjQuFEi0vJHmlpc-wgBW4xEYmD6UuhzZog7C6AYbLUnG_sIclMjz8A83BdD4bTin7033RSrkjohtsWzKgcFk0i4FLNVBOpTxzuMgbHkuw5CQxhgEdSUtNbvlTzQpkShQ==,jobs/other/22.html
22,other,Brookhaven National Laboratory (BNL),Postdoctoral Research Associate for X-ray Pair Distribution Function Analysis,https://jobs.quantumapalooza.com/u/BgAAAAABilMEVmN8bPQGzxcUaLuVG7i5OG8P_uIjsVRVZ-XnlUfeg7U8aWac1kxVS4tc9Klvwl3rDb7gxqAuTkOhuZU0D_S1xY3BfUARMKVCj_0Bj1hyDvt9cfRbW2kJyky-C6zoTzGlsyeHihG8CR3mPTxkwo1CbNQ==,jobs/other/23.html
23,other,Brookhaven National Laboratory (BNL),Postdoctoral Research Associate in Physics,https://jobs.quantumapalooza.com/u/BgAAAAABilMEV2Qx0c1lq3mAV8-Ao1k5YgxTnbinzg8I3jFX7wusLEarirIMsL1SzqxC2zqob4z_AmnlyuAXtavNu6mID5cTddT1le5EpieO1TO2YJR6se0BGgLwe0upNUQnuTxq7G8Mu-N-z1XO_xQkQrGrSdbRU5A==,jobs/other/24.html
24,other,Brookhaven National Laboratory (BNL),Postdoctoral Research Associate Quantum Materials,https://jobs.quantumapalooza.com/u/BgAAAAABilMEVJ29OQkM6dzBYQbwOmnLGyvhDvONqRKsvYzCPpGlW2Q_kGdM5OF2yAPkDWU6b9xMyPIp3k4oLkXZibejSLEDGe-HApadF__WIALLo3KPnw9G69PMGX5T0gAdW7XS_q-nkRbsEnOLFMAD97avbrNA_EA==,jobs/other/25.html
25,other,Brookhaven National Laboratory (BNL),Quantum Computing Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABilMEWMOPqyNlsdNEvbiGIb1bu_KDipNF4Va8NFhe8kV3j-cPsls0uTNuCF5LAWkMjvtC923o2WQ6S9F1OD_G0zOdmYCTKNoeaZMjKPdAEhJr831fcm2pgcEExWvgwkItD3rxoIs_9HCbT8rNLBGQvFqal_Q==,jobs/other/26.html
26,other,Brookhaven National Laboratory (BNL),Quantum Information Science Postdoctoral Research Associate,https://jobs.quantumapalooza.com/u/BgAAAAABilMEWWGVAwmlFbsbHImxBWCiFlOg9JHNu8wjFExMFR4xxme1ERQbZa_V64qiKuCrA1bHobZNec1_S_NxMRDCCnmMdLRRlWTiSiPH6vPbKMqeKclb3ZZhOyh7ClcIveSm71lXx-gK81o9_qzdNC315eXkMVA==,jobs/other/27.html
27,other,Brookhaven National Laboratory (BNL),Senior ASIC Design Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABilMEWRWTpeIjHoYVyf5MSdU5g7QZSxhsCpfEmoDWYl3IDTk4cJuyQ3HUfqi6n5GNzK2Nv3TtuLINA5qucwHmdNoxXM0kSNhPGXElZIPJc0Pchex9bnAtsMq-YABwrIeoJlmUIJB4bPibmtjQx3dDf9X472Q==,jobs/other/28.html
28,other,Brookhaven National Laboratory (BNL),Student Assistant- topological quantum error,https://jobs.quantumapalooza.com/u/BgAAAAABilMEWXUvtBSQdRHZ5tPn6Ts2SPhmIAPkK36G6uP7rZ6D7XU7uiwfwrY-tmbpoRdcJNmpdREY4FLjIr8wX6Q9a_kwFf-R2fqo2wrTDi5nKwasS3nFSKk1NkNmrfb7UmVe7mUuoP8P7iW_hKoCyYiwnCAzYXQ==,jobs/other/29.html
29,other,Fermi National Accelerator Laboratory (Fermilab),Carolyn B. Parker Fellowship,https://jobs.quantumapalooza.com/u/BgAAAAABilMEvpdQYluPM8fnyITcBpJ9iIwSFT9ZDl8lsuv8HxdabsC9_hqIsrjg72Km0qsi5qlysqFseOEIljAsRRY12OFrqnroLwkwUu2FsHelSyLQFesTXnlbg3_t2hkwZOXMZTjtXnWpFfl8Ik-B7mW-9EhPfjA==,jobs/other/30.html
30,corporate,Amazon,"AWS High Performance Computing/Quantum Computing - PR Manager, AWS Technology Services PR",https://jobs.quantumapalooza.com/u/BgAAAAABilMD6yqTJP6xxmWQkjl7q5MiZ1DAQhM5LOYH_MfD5hhYmHckWsy40BfTSrBbJpHi0VRR0EFpV_PgBke-TyfUyyv8mN9_QQQdhsT9sN6_-Wrne7FRnpt8E2wxjaMhRJfvp3BAvfQeo2w-bG1tbLeeuvpZ6dQ==,jobs/corporate/31.html
31,corporate,Amazon,"Buyer - Quantum Hardware, Quantum Commuincations and Networking",https://jobs.quantumapalooza.com/u/BgAAAAABilMD7b4thht2SqTD7pqwRhfgcN0EchYIQWk8q9Wxgye0NwVFGVGn68M5Mn3uBpXM030aVsa549ZPsUwpvBNR-9kRIq2RyurotBtJAI0LPL_hQ7cavCVtYoLFJagc_7WBiGSeZsYJtKzuiXXvp25TwnyuYmA==,jobs/corporate/32.html
32,corporate,Amazon,Customer Intel Strategist,https://jobs.quantumapalooza.com/u/BgAAAAABilMD7d7zT3T5u6U6CAn8aRIuKTiZ2FZCiNLaWIGMorOCh7ssrU7hBUAY7Gxjcu_MyXP6WYXNmrVpbGL2HiKeu5jn5iSrnwOQ31gTjZbvQxjcaYzsXA-Z488d92qOAGqabyaXFt9KZb-kGohLnPY6TmAC0EA==,jobs/corporate/33.html
33,corporate,Amazon,"Data Scientist, Elastic Block Store Server",https://jobs.quantumapalooza.com/u/BgAAAAABilMD7MRgF9cXdMLyNDYZ2IWAumVoeD3u-BHlUxEmLCC7gai57LTc0Cd5QcJnVV3zI-oR248bCaq2ywer-rMxwpi3fLL4TCIxP9v0Rf-P2z0HorsmNKjx6WQNihd4-0Yz0Awxy5n1d5Jm0oUbHKzPdm8oIVQ==,jobs/corporate/34.html
34,corporate,Amazon,"DevOps Engineer, Center for Quantum Computing",https://jobs.quantumapalooza.com/u/BgAAAAABilMD7Uxc-F09A1bF2thGGxbXzqgpPq6m6XnTxZfUbFKcp95pZ66xCKtywaExhOGn3pCBWu2ZgCMfztehHO_ct9tNeXph7ESEi_9L8Kl-AvDaI3oVpaJWEgT47MPFzULXsfsaoPqrcUVnAkfIsub8p9xNS5g==,jobs/corporate/35.html
35,corporate,Amazon,"Equipment Engineer, Quantum",https://jobs.quantumapalooza.com/u/BgAAAAABilMD8XsVZjbQWUroxNEtPccToTAkgIROweCacxWqX5Ir6asMB2pJCEIx3GlO3NR0kr-D8_l8XXJWJy0cuskf7sMvKFQRBcN-T0XX2ihRaj-lgVxffGD_lsuFAxEFGQ5YvASNjgt7fw_VItYA_kkFduVsJgw==,jobs/corporate/36.html
36,corporate,Amazon,Hardware Development Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABilMD8Tmn4r6mrNTnNAN2p-HT5dsW9N7RF1V0WU2iY4GXaG2oPXSxm8J5X16HKKxXYJmCBAuFKgoWlV6V-mvuRra1KudaYFT3cyMGfiFvsTZLfaw_T_fHsYAF_9KmvbjK3oVG2tIYK_N3ptsZgM43NrOX6NQ==,jobs/corporate/37.html
37,corporate,Amazon,"Hardware Development Engineer, Quantum Computing",https://jobs.quantumapalooza.com/u/BgAAAAABilMD8-bcD3iTmU7FiBJW3RyL0dqVTGQTQYwV_a2S4UkSA0k6GM3rcnLyE15I53lXSV_DFKj0GSDEZGQqy81BBjSrqsI3sHf9kwPanEZ1m6hi3ABQ-J3G0zAIJBwyMa01w08eU0OeQGlKmMadU8OYA3-1yYA==,jobs/corporate/38.html
38,corporate,Amazon,Hardware Development Engineer; RF/Microwave Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABilMD9-NSD-C_w1HaZENDW2r3TrPUCmqO8wBHUM5Zo2vptkpVzFpcPGpEB6-bv6uloCdvBW_0ufU35ndx9l-8aGTmza4aRnIjb_I5wr382Lmo4N4ws4KOLvsJJLdL6d0_wA2JN0dsjLvJNgu1tnbuuomLW1A==,jobs/corporate/39.html
39,corporate,Amazon,"HDE - Cryogenic ME, Cryogenic Hardware Integration",https://jobs.quantumapalooza.com/u/BgAAAAABilMD9CM9upzOKPbaavaKAnq8nC0LcSrnbkTvaOjgF7v4Y19kHG6OV-hRlZqyY-mWVWBSLoJK67DGjrvtzx7cgdu-d1fU-XspPriNy6b4Kl-T1yuo-dnurKnQPiL1UQjiTUaENDuZ3uE5RSLf5FQ5GK8BPsg==,jobs/corporate/40.html
40,academic,Harvard University,Postdoc in Analysis of Novel Quantum Materials with Electron Microscopy Techniques,https://jobs.quantumapalooza.com/u/BgAAAAABilMFEYHZPsyZ-StyhljgCN2xdPswBVsp7N4zw738jJOMfdt-0gp6_3WhCCdTQ7UQnQE15sDqxqpPukeKJKrmN03s1W2kgGNCt76DSVuqCsFVrCM1LsjrvafEcV5qHgMOegxnQpVSNVcXDA8OUqpyIJLgBPg==,jobs/academic/41.html
41,academic,Howard University,Post Doctoral Fellow,https://jobs.quantumapalooza.com/u/BgAAAAABilMFXyfle7cGiwWo023lZM3ldl3zfQvXNhEnP5wL49qc7NiBt0mGAS4-0CGvSNrke1_5uu3MTg2EArtGRQjxUjPyzxbzWLcnV5FSV0FsOGrl2Wx-D5VKrMgo1VVnIvZZm74JGkC8J5tnK084grvOzAJstBQ==,jobs/academic/42.html
42,academic,Howard University,Professor (Open Rank) - Computer Science,https://jobs.quantumapalooza.com/u/BgAAAAABilMFX__ysLyrmYf44ki9rUnbMeQT_GJIz8BLtdMXOfogZDkUGbJbjIEz7Mvt0XuY8cjkzPFj-XwSMEjy6uaUyoQAI2VAFoJYr8Py9AAjw_eAeoMTO5BDOAuCXyquB4PYQsuozvT5-yaRWxki0LnlyTDTO_Q==,jobs/academic/43.html
43,academic,Lehigh University,Postdoc Opportunity - Quantum computing,https://jobs.quantumapalooza.com/u/BgAAAAABilMGBvhrlOI_G2CHwhvooPtJG011KqLmHoTcJsTcrj6Klb5DBL6vTzRJBCxUlP-B3XXgTk_vNSecb9Xd1O-LE9hp88eTAakx0e-Zw2aJycRfXHWqpyzp0VIFkSTRD2e4BLDB2bYi6U0s0OjkFir5zvPQ4dg==,jobs/academic/44.html
44,academic,Lehigh University,Postdoctoral Position on Quantum Computing and Optimization,https://jobs.quantumapalooza.com/u/BgAAAAABilMGBl96sy7TPIMIHDOQKSB3CzdcOx2yMiYNNBIq6CcEK2xkEQWj0eEmJgYbqBpP52W2sD2Xk0kKFCkj8lPuByLM2CN2XAG-gBA1dUtDo102M6i0XtroyT_zurpNAMdjqrgb8EfYTD_XYniRT6whOA5Y8Rw==,jobs/academic/45.html
45,academic,Lehigh University,Postdoctoral Position on Quantum Computing and Optimization,https://jobs.quantumapalooza.com/u/BgAAAAABilMGCXmONLqp6TFlr3sECYcYKWGqZEKToV86ubJDxOmjybTfWjL16AyVA-KSjzBQZbiOzdbwrPGzD-a-7DKVaQPPXg6kMqcGIIWEdEijhhsFQNLcr5aL7QLgKJrgMD9Ft_jcjnXiNI6ED5bLF0Hj_ToPU4w==,jobs/academic/46.html
46,academic,North Carolina State University,Assistant/Associate Professor,https://jobs.quantumapalooza.com/u/BgAAAAABilMGQFocOX5-kEIWrYqoJTm9Qq_KmeGIYnAdSDGbQXLLCp7VC9NWCfnqo1NfrM2sy8u-wJX2wUyhrAq5KBlwLBDevGcDN4C7SNLiXNhZz5ZPilQS55Ab8gzUa-kSzcHwIaHVPS1ayfQUF68qkjusNgiklBg==,jobs/academic/47.html
47,academic,North Carolina State University,Goodnight Distinguished Chair in Quantum Computing,https://jobs.quantumapalooza.com/u/BgAAAAABilMGQDLUwCem0ph3C3WWDdbpGKPaqC_8DWqqntyfUVa2lkqhbJGZBljRljIbTAPRaA6iMMQyLRGbkihGVzi3W8DrtUZgkbNsEBBQujmcY0zDrqS0CuxiPQeMDeLO8mtA9l9wRi_EYw1hFMzQYQcLGg6ob0A==,jobs/academic/48.html
48,academic,Northeastern University,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,https://jobs.quantumapalooza.com/u/BgAAAAABilMGQBbwF2QW7pAGtN_GldNUSiXVWNV8pDHIwe2ZlkJOhYgzGgbnkJjK66dsNgV9SI6Q1cEADsMfJaSdV_DskHJLlqmmPWxQS1NMguojjtTszLeIzf86lJDfpJhBiahwpOYFQSd21VChBf7TgyCLQhXOwlA==,jobs/academic/49.html
49,academic,Northwestern University,Tenure Track Assistant or Associate Professor in Quantum Information,https://jobs.quantumapalooza.com/u/BgAAAAABilMGUoiBLMQN1QUrRhY_ar_yq7PdWs6BStmraVFNKIVVacaq06t4VWPZ_8naBli8DQcOipxe1GPaX722l8lKv0VoT6GMgoCEARLrTws9NJt22mJ_6Jp71B74qYQqIxzLh-6rz4zcTtVOBtMAUcCZxlEhoBw==,jobs/academic/50.html
50,other,Fermi National Accelerator Laboratory (Fermilab),SQMS Parker Fellowship,https://jobs.quantumapalooza.com/u/BgAAAAABilMEvQwzE1N7v_-AH3pgSfbezzUxP-BA3EOldi6bLa3wcdSWVURHxuCTScqFnCGr5_1mPtPiUnCcxL5u9C5YR-UGWK2VjpfEWAyKLvaKDlBI83V0L7BJTGyyxdrmYUEBvo3UELPd0Wro1_5rfyGvhTr5D4Q==,jobs/other/51.html
51,other,Fermi National Accelerator Laboratory (Fermilab),SQMS Quantum Undergraduate Internship,https://jobs.quantumapalooza.com/u/BgAAAAABilMEwRX2Ug0pAYo8w3J5-07IULOhfu95jbLXuSxWIoEdvsqd5I6VHAgVFfHxMbI79l6Zt1sfg_jNwPow0pkDr8dgx4dG5zXgcWMM5tT_I4XjLP-7JPT7YJ5yVwF0ND96uYAXiMQYmwJbyuncIWoJsTiAs_g==,jobs/other/52.html
52,other,Fermi National Accelerator Laboratory (Fermilab),Summer ASIC Design Associate,https://jobs.quantumapalooza.com/u/BgAAAAABilMEwbXDt-WQxd493N-bJGIjkGiRigFGXuqoKvkjGqWUdj5Z4yBJZnZ4DOcBSDZx62abjdSrhsiHxdfILoNA3uHC6e8BKeQyD2klBZctZEk3HoOZF9TSnBXNyBvD7BSoucy9XpGxb-bKXlrf-7uYtlzzmGg==,jobs/other/53.html
53,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),Advanced Quantum Testbed Project Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABilMF-YFxcuvGYr9HNShtpIH8i__cUOb1ik-V5f0VTwgrGDKAnaEt3BAnNVW0xeJEWxxw-QB67ci7N48QXqCs67GBM1nGVjQp2Lld2BMP1ZEldfBg1LYB9Zw5w8dYs-dD8R4mGZInb4qyBdXpb690LzWxQIw==,jobs/other/54.html
54,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),Applied Physicist Project Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABilMF-hvJD1tsND0cPxBJ-HHZlfE41m4qK9iZs1Nu2zzOVSz6oAKMmuEZUwQ5_d9zdsBerrR3zNqQ9KNgVesBneIK59P2FYIetS0mZpCeDZhtnG_AMimkfngxQXJyNMwtzhSt2HPyALNhKMfQ2J9l5A-Y3DQ==,jobs/other/55.html
55,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),"Director, Applied Mathematics & Computational Research Division",https://jobs.quantumapalooza.com/u/BgAAAAABilMF-VPVkotgYfgHfpkIIpDvEV0fnLMfnEti11u0kCujmbTYTIXyMEgQGILqDK8Ip2h3lC4S8LfVvIYCQRQQgMndmrmN1dtrdT_2bTMfdzQ_oJib9JXRTRlmyehvDpm1eDr_lH6kctlk_jwvij7eop7-TLQ==,jobs/other/56.html
56,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),Nanofabrication Facility Staff Scientist,https://jobs.quantumapalooza.com/u/BgAAAAABilMF_ocI7-Dgmf-nlXZEzE5TGGePIa-5_OpiIzSENn4figPgp7WUNrJ92u-CMu6-3sCAc233x9gOB37RXCGctqBwcUDGdptaJp-KpLf7InQPzSrSokORFIYWb4m7g08oN9QTqaJZ9DFqhPqWpp9_A2Pj98g==,jobs/other/57.html
57,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),Postdoctoral Fellow,https://jobs.quantumapalooza.com/u/BgAAAAABilMF_i0raZV8jDEMsQQqL6aET0FZmtfu8mqNRrWP__-1Dek9IuWtLK_atKP6m14U4WZhh2NIMyjsbilBBKsjrqicnUWr9RtuQfmRfvt2JCeTkIJM4i9zqI2Id-8E7eSso1RhvPAL6ixOOQb1wxvCLkqds7w==,jobs/other/58.html
58,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),Quantum Computing Postdoctoral Fellow,https://jobs.quantumapalooza.com/u/BgAAAAABilMF_J7d7ufuRdrDbSr5SMuYB2NQKtty1sidT8jFw8UYvcWg2AxmOVAWxoz5PUHW2nLWrQCf81gQ7ahcyg_kfHnqLmrYeZPjChbFHXBO339YF6-0yb2o2AH67bqdYHOcvLHOJvEt_DQZM71LKfIZ1Yypd0Q==,jobs/other/59.html
59,other,Lawrence Berkeley National Laboratory - Berkeley Lab (LBNL),Quantum Synthesis Engineer,https://jobs.quantumapalooza.com/u/BgAAAAABilMF_tIaTXGUJNPEFOidIWkuCJhSHFfr6cucK9_mQxduhEM_10_fGg5jMN7J1vSmTSo5Edgv8L--nJNSq7kuWzxgnQK1X60LgtLXgZDmGADRbxPzUpjDnBEhUOTb6tPSNkNAjpLIqGoL-jbOh9DNz-sjj_g==,jobs/other/60.html
60,corporate,Amazon,"Lab and Facilities Manager, AWS Center for Quantum Computing",https://jobs.quantumapalooza.com/u/BgAAAAABilMD9hkqrgBnDUn0IVh-89CURQdexqjX2rGVPfOuzdp2Jg2tel32ceYVTQoLxFmW10luIDcafhAOtLeRGi2k8lveVNi7zbH4S2Lhukv46EnTQLn9xVg8C7RaHzs76RBmqfeU92lv8VxZVfhcDAWOa5YxNpA==,jobs/corporate/61.html
61,corporate,Amazon,"Lab Technician, AWS Center for Quantum Computing",https://jobs.quantumapalooza.com/u/BgAAAAABilMD-YaM0bt-1FLwZ7_C8ln924mb-WgYRwjsM75n48hfCUrz1lh-q7Pn45H49oxxO50bFuzE6li_OXyc1IuuCZvjx_S_00kRt_Q8EIh2L37wD_QLDGg3GBveXUNpd6ZyFHKj3I7vVS0YykHJhX1QWGvAK-Q==,jobs/corporate/62.html
