,scrapped_jobs,official_match_title,match_code,distance
586,Research Fellow (Multi-party Quantum Cryptography),Bioinformatics Scientists,19-1029.01,178.23294
587,Research Fellow (Multi-party Quantum Cryptography),"Agricultural Sciences Teachers, Postsecondary",25-1041.00,178.46532
588,Research Fellow (Multi-party Quantum Cryptography),Remote Sensing Scientists and Technologists,19-2099.01,178.94992
589,Research Fellow (Multi-party Quantum Cryptography),Atmospheric and Space Scientists,19-2021.00,179.97485
590,Research Fellow (Disorder and Interactions in Topological Lattices),Astronomers,19-2011.00,138.5495
591,Research Fellow (Disorder and Interactions in Topological Lattices),Materials Scientists,19-2032.00,142.08609
592,Research Fellow (Disorder and Interactions in Topological Lattices),Physicists,19-2012.00,152.17639
593,Research Fellow (Disorder and Interactions in Topological Lattices),Nanosystems Engineers,17-2199.09,152.99977
594,Research Fellow (Disorder and Interactions in Topological Lattices),Biostatisticians,15-2041.01,174.34875
595,Research Fellow (Disorder and Interactions in Topological Lattices),Survey Researchers,19-3022.00,176.05638
596,Research Fellow (Disorder and Interactions in Topological Lattices),"Agricultural Sciences Teachers, Postsecondary",25-1041.00,177.22952
597,Research Fellow (Disorder and Interactions in Topological Lattices),Bioinformatics Scientists,19-1029.01,177.272
598,Research Fellow (Disorder and Interactions in Topological Lattices),Remote Sensing Scientists and Technologists,19-2099.01,177.89865
599,Research Fellow (Disorder and Interactions in Topological Lattices),Atmospheric and Space Scientists,19-2021.00,178.61832
600,"Research Fellow, Multi-party Quantum Cryptography",Astronomers,19-2011.00,141.03043
601,"Research Fellow, Multi-party Quantum Cryptography",Materials Scientists,19-2032.00,143.83908
602,"Research Fellow, Multi-party Quantum Cryptography",Physicists,19-2012.00,154.64046
603,"Research Fellow, Multi-party Quantum Cryptography",Nanosystems Engineers,17-2199.09,157.29333
604,"Research Fellow, Multi-party Quantum Cryptography",Biostatisticians,15-2041.01,178.36835
605,"Research Fellow, Multi-party Quantum Cryptography","Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.26266
606,"Research Fellow, Multi-party Quantum Cryptography",Survey Researchers,19-3022.00,180.40343
607,"Research Fellow, Multi-party Quantum Cryptography",Bioinformatics Scientists,19-1029.01,181.7352
608,"Research Fellow, Multi-party Quantum Cryptography",Atmospheric and Space Scientists,19-2021.00,182.89883
609,"Research Fellow, Multi-party Quantum Cryptography",Remote Sensing Scientists and Technologists,19-2099.01,183.1319
610,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Astronomers,19-2011.00,141.03043
611,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Materials Scientists,19-2032.00,143.83908
612,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Physicists,19-2012.00,154.64046
613,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,157.29333
614,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Biostatisticians,15-2041.01,178.36835
615,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.26266
616,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Survey Researchers,19-3022.00,180.40343
617,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Bioinformatics Scientists,19-1029.01,181.7352
618,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Atmospheric and Space Scientists,19-2021.00,182.89883
619,"Research Fellow, Hybrid Quantum Network, Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,183.1319
620,Internship | Quantum Algorithms | Distributed Quantum Computing,Telecommunications Engineering Specialists,15-1241.01,167.31888
621,Internship | Quantum Algorithms | Distributed Quantum Computing,Materials Scientists,19-2032.00,177.27475
622,Internship | Quantum Algorithms | Distributed Quantum Computing,Web Administrators,15-1299.01,180.24197
623,Internship | Quantum Algorithms | Distributed Quantum Computing,Web Developers,15-1254.00,181.14325
624,Internship | Quantum Algorithms | Distributed Quantum Computing,Network and Computer Systems Administrators,15-1244.00,184.24063
625,Internship | Quantum Algorithms | Distributed Quantum Computing,Statisticians,15-2041.00,185.24033
626,Internship | Quantum Algorithms | Distributed Quantum Computing,Database Administrators,15-1242.00,185.55063
627,Internship | Quantum Algorithms | Distributed Quantum Computing,Biostatisticians,15-2041.01,187.6055
628,Internship | Quantum Algorithms | Distributed Quantum Computing,Computer Network Architects,15-1241.00,188.93002
629,Internship | Quantum Algorithms | Distributed Quantum Computing,Physicists,19-2012.00,189.29433
630,Intern Tech Research & Development -6G,Wind Energy Operations Managers,11-9199.09,223.93504
631,Intern Tech Research & Development -6G,Web Developers,15-1254.00,225.66687
632,Intern Tech Research & Development -6G,Materials Scientists,19-2032.00,237.48886
633,Intern Tech Research & Development -6G,Astronomers,19-2011.00,237.8541
634,Intern Tech Research & Development -6G,Search Marketing Strategists,13-1161.01,238.7835
635,Intern Tech Research & Development -6G,Energy Auditors,47-4011.01,239.84872
636,Intern Tech Research & Development -6G,"Electronics Engineers, Except Computer",17-2072.00,240.78123
637,Intern Tech Research & Development -6G,Nanosystems Engineers,17-2199.09,241.28555
638,Intern Tech Research & Development -6G,Physicists,19-2012.00,242.56024
639,Intern Tech Research & Development -6G,Mechanical Engineering Technologists and Technicians,17-3027.00,245.70161
640,"Research Intern, PhD, Fall 2022","Architecture Teachers, Postsecondary",25-1031.00,149.36618
641,"Research Intern, PhD, Fall 2022","Foreign Language and Literature Teachers, Postsecondary",25-1124.00,151.4179
642,"Research Intern, PhD, Fall 2022","Art, Drama, and Music Teachers, Postsecondary",25-1121.00,153.93993
643,"Research Intern, PhD, Fall 2022","Philosophy and Religion Teachers, Postsecondary",25-1126.00,154.88493
644,"Research Intern, PhD, Fall 2022","History Teachers, Postsecondary",25-1125.00,158.95457
645,"Research Intern, PhD, Fall 2022","Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,159.19456
646,"Research Intern, PhD, Fall 2022","Geography Teachers, Postsecondary",25-1064.00,160.01685
647,"Research Intern, PhD, Fall 2022","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,160.1991
648,"Research Intern, PhD, Fall 2022","Engineering Teachers, Postsecondary",25-1032.00,160.57545
649,"Research Intern, PhD, Fall 2022","Social Work Teachers, Postsecondary",25-1113.00,161.22964
650,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Materials Scientists,19-2032.00,146.28119
651,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Nanosystems Engineers,17-2199.09,147.95651
652,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Astronomers,19-2011.00,155.56485
653,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Telecommunications Engineering Specialists,15-1241.01,161.55925
654,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Physicists,19-2012.00,164.19714
655,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Bioinformatics Scientists,19-1029.01,166.57861
656,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Statisticians,15-2041.00,167.63611
657,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Fuel Cell Engineers,17-2141.01,169.2335
658,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies",Microsystems Engineers,17-2199.06,171.70985
659,"Research Fellow, Quantum Hardware Engineer, NQCH, Centre for Quantum Technologies","Electronics Engineers, Except Computer",17-2072.00,172.79439
660,Quantum Centre and Network Manager,Astronomers,19-2011.00,159.17206
661,Quantum Centre and Network Manager,Materials Scientists,19-2032.00,160.28557
662,Quantum Centre and Network Manager,Physicists,19-2012.00,166.68478
663,Quantum Centre and Network Manager,Molecular and Cellular Biologists,19-1029.02,179.7771
664,Quantum Centre and Network Manager,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.80289
665,Quantum Centre and Network Manager,Geneticists,19-1029.03,180.29251
666,Quantum Centre and Network Manager,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,182.26904
667,Quantum Centre and Network Manager,Biostatisticians,15-2041.01,183.29047
668,Quantum Centre and Network Manager,"Geography Teachers, Postsecondary",25-1064.00,184.70335
669,Quantum Centre and Network Manager,Biochemists and Biophysicists,19-1021.00,186.71614
670,Research Staff Member - Quantum (Any Location),Web Developers,15-1254.00,187.28107
671,Research Staff Member - Quantum (Any Location),Database Administrators,15-1242.00,205.08498
672,Research Staff Member - Quantum (Any Location),Telecommunications Engineering Specialists,15-1241.01,209.69167
673,Research Staff Member - Quantum (Any Location),Search Marketing Strategists,13-1161.01,213.26236
674,Research Staff Member - Quantum (Any Location),Bioinformatics Technicians,15-2099.01,213.78165
675,Research Staff Member - Quantum (Any Location),Materials Scientists,19-2032.00,214.11914
676,Research Staff Member - Quantum (Any Location),Network and Computer Systems Administrators,15-1244.00,214.3669
677,Research Staff Member - Quantum (Any Location),Nanosystems Engineers,17-2199.09,214.90393
678,Research Staff Member - Quantum (Any Location),Blockchain Engineers,15-1299.07,215.65845
679,Research Staff Member - Quantum (Any Location),Biostatisticians,15-2041.01,216.15485
680,Postdoctoral Fellow,Astronomers,19-2011.00,117.77054
681,Postdoctoral Fellow,Materials Scientists,19-2032.00,119.012856
682,Postdoctoral Fellow,Physicists,19-2012.00,125.399574
683,Postdoctoral Fellow,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,139.71854
684,Postdoctoral Fellow,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,140.63766
685,Postdoctoral Fellow,"Geography Teachers, Postsecondary",25-1064.00,145.1758
686,Postdoctoral Fellow,"Engineering Teachers, Postsecondary",25-1032.00,146.26517
687,Postdoctoral Fellow,"Physics Teachers, Postsecondary",25-1054.00,148.30151
688,Postdoctoral Fellow,"Computer Science Teachers, Postsecondary",25-1021.00,148.4902
689,Postdoctoral Fellow,"Biological Science Teachers, Postsecondary",25-1042.00,148.61963
690,"Science & Technology Researchers, Engineers & Managers",Materials Scientists,19-2032.00,144.26862
691,"Science & Technology Researchers, Engineers & Managers",Physicists,19-2012.00,144.74997
692,"Science & Technology Researchers, Engineers & Managers",Telecommunications Engineering Specialists,15-1241.01,151.26534
693,"Science & Technology Researchers, Engineers & Managers",Forensic Science Technicians,19-4092.00,156.52452
694,"Science & Technology Researchers, Engineers & Managers",Astronomers,19-2011.00,157.8595
695,"Science & Technology Researchers, Engineers & Managers",Web Administrators,15-1299.01,166.61192
696,"Science & Technology Researchers, Engineers & Managers",Statisticians,15-2041.00,168.4252
697,"Science & Technology Researchers, Engineers & Managers",Biostatisticians,15-2041.01,170.72565
698,"Science & Technology Researchers, Engineers & Managers",Nanosystems Engineers,17-2199.09,172.26642
699,"Science & Technology Researchers, Engineers & Managers",Web Developers,15-1254.00,175.73965
700,Diamond Quantum Expert,Freight Forwarders,43-5011.01,281.80875
701,Diamond Quantum Expert,Environmental Compliance Inspectors,13-1041.01,284.5312
702,Diamond Quantum Expert,Aerospace Engineers,17-2011.00,285.8355
703,Diamond Quantum Expert,Compliance Officers,13-1041.00,286.384
704,Diamond Quantum Expert,"Shipping, Receiving, and Inventory Clerks",43-5071.00,286.74457
705,Diamond Quantum Expert,Cargo and Freight Agents,43-5011.00,288.95532
706,Diamond Quantum Expert,Document Management Specialists,15-1299.03,289.27936
707,Diamond Quantum Expert,Security Managers,11-3013.01,290.89178
708,Diamond Quantum Expert,Electrical Engineers,17-2071.00,290.89374
709,Diamond Quantum Expert,Environmental Engineering Technologists and Technicians,17-3025.00,291.36945
710,QAMSS SRI Coordinator and Business Developer,Materials Scientists,19-2032.00,159.24603
711,QAMSS SRI Coordinator and Business Developer,Computer Network Architects,15-1241.00,162.15083
712,QAMSS SRI Coordinator and Business Developer,Web Developers,15-1254.00,162.31601
713,QAMSS SRI Coordinator and Business Developer,Astronomers,19-2011.00,163.2047
714,QAMSS SRI Coordinator and Business Developer,Telecommunications Engineering Specialists,15-1241.01,163.36237
715,QAMSS SRI Coordinator and Business Developer,Energy Auditors,47-4011.01,164.85437
716,QAMSS SRI Coordinator and Business Developer,Survey Researchers,19-3022.00,165.22128
717,QAMSS SRI Coordinator and Business Developer,Bioengineers and Biomedical Engineers,17-2031.00,166.77531
718,QAMSS SRI Coordinator and Business Developer,Chief Sustainability Officers,11-1011.03,168.42365
719,QAMSS SRI Coordinator and Business Developer,Bioinformatics Scientists,19-1029.01,168.78403
720,Research Engineer / Researcher Position in Quantum Electronics H/F,Materials Scientists,19-2032.00,78.73776
721,Research Engineer / Researcher Position in Quantum Electronics H/F,Astronomers,19-2011.00,85.74312
722,Research Engineer / Researcher Position in Quantum Electronics H/F,Nanosystems Engineers,17-2199.09,90.33502
723,Research Engineer / Researcher Position in Quantum Electronics H/F,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,96.053116
724,Research Engineer / Researcher Position in Quantum Electronics H/F,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,101.57385
725,Research Engineer / Researcher Position in Quantum Electronics H/F,Physicists,19-2012.00,102.27031
726,Research Engineer / Researcher Position in Quantum Electronics H/F,"Health Specialties Teachers, Postsecondary",25-1071.00,104.36793
727,Research Engineer / Researcher Position in Quantum Electronics H/F,"Computer Science Teachers, Postsecondary",25-1021.00,105.02423
728,Research Engineer / Researcher Position in Quantum Electronics H/F,"Nursing Instructors and Teachers, Postsecondary",25-1072.00,105.085014
729,Research Engineer / Researcher Position in Quantum Electronics H/F,"Chemistry Teachers, Postsecondary",25-1052.00,105.37567
730,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Materials Scientists,19-2032.00,136.14304
731,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Astronomers,19-2011.00,153.64139
732,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Physicists,19-2012.00,156.29245
733,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Telecommunications Engineering Specialists,15-1241.01,159.88742
734,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Nanosystems Engineers,17-2199.09,168.1803
735,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Molecular and Cellular Biologists,19-1029.02,169.87697
736,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Computer Network Architects,15-1241.00,176.17197
737,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Statisticians,15-2041.00,177.09265
738,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Biostatisticians,15-2041.01,178.08154
739,Open Rank: Assistant/Associate/Full Professor - Multidisciplinary/Quantum Initiative,Remote Sensing Scientists and Technologists,19-2099.01,179.12364
740,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Astronomers,19-2011.00,141.03043
741,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Materials Scientists,19-2032.00,143.83908
742,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Physicists,19-2012.00,154.64046
743,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Nanosystems Engineers,17-2199.09,157.29333
744,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Biostatisticians,15-2041.01,178.36835
745,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.26266
746,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Survey Researchers,19-3022.00,180.40343
747,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Bioinformatics Scientists,19-1029.01,181.7352
748,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Atmospheric and Space Scientists,19-2021.00,182.89883
749,"Visiting Research Professor, Energetics of Quantum Technologies, Centre for Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,183.1319
750,PHD Student,Astronomers,19-2011.00,263.6741
751,PHD Student,Physicists,19-2012.00,264.51526
752,PHD Student,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,268.34308
753,PHD Student,Epidemiologists,19-1041.00,268.38837
754,PHD Student,"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,270.87048
755,PHD Student,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,271.17023
756,PHD Student,"Engineering Teachers, Postsecondary",25-1032.00,272.14673
757,PHD Student,"Geography Teachers, Postsecondary",25-1064.00,273.19043
758,PHD Student,Biochemists and Biophysicists,19-1021.00,274.03842
759,PHD Student,"Architecture Teachers, Postsecondary",25-1031.00,274.12164
760,Quantum Computing Research Scientist,Web Developers,15-1254.00,125.91136
761,Quantum Computing Research Scientist,Search Marketing Strategists,13-1161.01,136.23985
762,Quantum Computing Research Scientist,Energy Auditors,47-4011.01,139.4826
763,Quantum Computing Research Scientist,Telecommunications Engineering Specialists,15-1241.01,140.2974
764,Quantum Computing Research Scientist,Investment Fund Managers,11-3031.03,142.53455
765,Quantum Computing Research Scientist,Computer and Information Research Scientists,15-1221.00,147.76328
766,Quantum Computing Research Scientist,Computer Network Architects,15-1241.00,148.58437
767,Quantum Computing Research Scientist,Financial Managers,11-3031.00,148.6657
768,Quantum Computing Research Scientist,Financial Risk Specialists,13-2054.00,150.75961
769,Quantum Computing Research Scientist,Web Administrators,15-1299.01,150.80716
770,Deep Learning for Healthcare- Student Position- Research Lab,Materials Scientists,19-2032.00,109.38432
771,Deep Learning for Healthcare- Student Position- Research Lab,"Computer Science Teachers, Postsecondary",25-1021.00,115.37674
772,Deep Learning for Healthcare- Student Position- Research Lab,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,116.85573
773,Deep Learning for Healthcare- Student Position- Research Lab,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,119.54385
774,Deep Learning for Healthcare- Student Position- Research Lab,"Engineering Teachers, Postsecondary",25-1032.00,119.62069
775,Deep Learning for Healthcare- Student Position- Research Lab,"Psychology Teachers, Postsecondary",25-1066.00,119.92093
776,Deep Learning for Healthcare- Student Position- Research Lab,Statisticians,15-2041.00,120.51307
777,Deep Learning for Healthcare- Student Position- Research Lab,"Biological Science Teachers, Postsecondary",25-1042.00,120.85068
778,Deep Learning for Healthcare- Student Position- Research Lab,"Geography Teachers, Postsecondary",25-1064.00,120.865295
779,Deep Learning for Healthcare- Student Position- Research Lab,Astronomers,19-2011.00,121.76564
780,Senior Research Scientist,Talent Directors,27-2012.04,203.43588
781,Senior Research Scientist,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,203.62473
782,Senior Research Scientist,Economists,19-3011.00,209.56622
783,Senior Research Scientist,"English Language and Literature Teachers, Postsecondary",25-1123.00,209.68246
784,Senior Research Scientist,"Architecture Teachers, Postsecondary",25-1031.00,210.59709
785,Senior Research Scientist,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00,211.65842
786,Senior Research Scientist,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,213.24765
787,Senior Research Scientist,"Engineering Teachers, Postsecondary",25-1032.00,213.47311
788,Senior Research Scientist,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111.00,213.4884
789,Senior Research Scientist,"Psychology Teachers, Postsecondary",25-1066.00,215.51917
790,PhD Position in Complex Fluids,Physicists,19-2012.00,148.8877
791,PhD Position in Complex Fluids,Statisticians,15-2041.00,165.52982
792,PhD Position in Complex Fluids,Materials Scientists,19-2032.00,166.34799
793,PhD Position in Complex Fluids,Nanosystems Engineers,17-2199.09,168.69118
794,PhD Position in Complex Fluids,"Geoscientists, Except Hydrologists and Geographers",19-2042.00,168.92511
795,PhD Position in Complex Fluids,Telecommunications Engineering Specialists,15-1241.01,172.6915
796,PhD Position in Complex Fluids,Remote Sensing Scientists and Technologists,19-2099.01,172.73033
797,PhD Position in Complex Fluids,Quality Control Analysts,19-4099.01,173.85898
798,PhD Position in Complex Fluids,Operations Research Analysts,15-2031.00,174.43857
799,PhD Position in Complex Fluids,Astronomers,19-2011.00,176.78061
800,Quantum Network Engineer,Photographic Process Workers and Processing Machine Operators,51-9151.00,197.85278
801,Quantum Network Engineer,Shoe Machine Operators and Tenders,51-6042.00,201.24419
802,Quantum Network Engineer,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,202.08995
803,Quantum Network Engineer,Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061.00,205.88138
804,Quantum Network Engineer,Postal Service Mail Carriers,43-5052.00,209.45976
805,Quantum Network Engineer,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064.00,211.55353
806,Quantum Network Engineer,Food Cooking Machine Operators and Tenders,51-3093.00,213.10564
807,Quantum Network Engineer,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032.00,214.31044
808,Quantum Network Engineer,Laundry and Dry-Cleaning Workers,51-6011.00,214.40442
809,Quantum Network Engineer,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035.00,214.58002
810,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Web Developers,15-1254.00,189.0768
811,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Database Administrators,15-1242.00,206.12233
812,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Telecommunications Engineering Specialists,15-1241.01,211.98518
813,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Bioinformatics Technicians,15-2099.01,214.2175
814,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Search Marketing Strategists,13-1161.01,214.96066
815,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Blockchain Engineers,15-1299.07,215.81537
816,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Materials Scientists,19-2032.00,215.82788
817,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Nanosystems Engineers,17-2199.09,216.5474
818,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Network and Computer Systems Administrators,15-1244.00,217.03035
819,Quantum SW Researcher: Circuit Synthesis and Compiler- Research Lab,Biostatisticians,15-2041.01,217.9531
820,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,Astronomers,19-2011.00,108.664276
821,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,126.827774
822,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,128.43356
823,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,130.36978
824,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Architecture Teachers, Postsecondary",25-1031.00,131.0488
825,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Psychology Teachers, Postsecondary",25-1066.00,131.31604
826,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,Physicists,19-2012.00,131.43648
827,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Geography Teachers, Postsecondary",25-1064.00,132.20953
828,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,"Engineering Teachers, Postsecondary",25-1032.00,133.80688
829,Graduate-Student Research Assistant Position in Theoretical Quantum Materials,Materials Scientists,19-2032.00,134.81192
830,PhD position in Particle Physics (1.0 FTE),Physicists,19-2012.00,186.00905
831,PhD position in Particle Physics (1.0 FTE),Forensic Science Technicians,19-4092.00,198.26962
832,PhD position in Particle Physics (1.0 FTE),Materials Scientists,19-2032.00,210.91438
833,PhD position in Particle Physics (1.0 FTE),Atmospheric and Space Scientists,19-2021.00,211.53075
834,PhD position in Particle Physics (1.0 FTE),Astronomers,19-2011.00,215.10367
835,PhD position in Particle Physics (1.0 FTE),Remote Sensing Scientists and Technologists,19-2099.01,216.2629
836,PhD position in Particle Physics (1.0 FTE),"Geoscientists, Except Hydrologists and Geographers",19-2042.00,219.28468
837,PhD position in Particle Physics (1.0 FTE),Nuclear Monitoring Technicians,19-4051.02,220.9523
838,PhD position in Particle Physics (1.0 FTE),Fuel Cell Engineers,17-2141.01,221.74112
839,PhD position in Particle Physics (1.0 FTE),Microsystems Engineers,17-2199.06,222.18892
840,Quantum Sensing and Timing Researcher with Security Clearance,Loss Prevention Managers,11-9199.08,197.34425
841,Quantum Sensing and Timing Researcher with Security Clearance,Training and Development Specialists,13-1151.00,198.80986
842,Quantum Sensing and Timing Researcher with Security Clearance,First-Line Supervisors of Police and Detectives,33-1012.00,201.39479
843,Quantum Sensing and Timing Researcher with Security Clearance,"Education Administrators, Kindergarten through Secondary",11-9032.00,203.69441
844,Quantum Sensing and Timing Researcher with Security Clearance,Telecommunications Engineering Specialists,15-1241.01,206.96417
845,Quantum Sensing and Timing Researcher with Security Clearance,Residential Advisors,39-9041.00,207.01485
846,Quantum Sensing and Timing Researcher with Security Clearance,"Education and Childcare Administrators, Preschool and Daycare",11-9031.00,208.14859
847,Quantum Sensing and Timing Researcher with Security Clearance,Medical and Health Services Managers,11-9111.00,208.78644
848,Quantum Sensing and Timing Researcher with Security Clearance,Human Resources Managers,11-3121.00,209.04095
849,Quantum Sensing and Timing Researcher with Security Clearance,Wind Energy Operations Managers,11-9199.09,209.17801
850,Quantum Technologies Specialist,Security Managers,11-3013.01,182.51283
851,Quantum Technologies Specialist,Loss Prevention Managers,11-9199.08,183.61469
852,Quantum Technologies Specialist,Wind Energy Operations Managers,11-9199.09,183.86343
853,Quantum Technologies Specialist,Energy Auditors,47-4011.01,184.96454
854,Quantum Technologies Specialist,Compliance Managers,11-9199.02,185.73582
855,Quantum Technologies Specialist,Financial Managers,11-3031.00,193.5413
856,Quantum Technologies Specialist,General and Operations Managers,11-1021.00,194.04218
857,Quantum Technologies Specialist,"Transportation, Storage, and Distribution Managers",11-3071.00,194.79855
858,Quantum Technologies Specialist,Investment Fund Managers,11-3031.03,196.74036
859,Quantum Technologies Specialist,"Education Administrators, Kindergarten through Secondary",11-9032.00,197.94144
860,Postdoctoral Associate CY (Matthews),"Forestry and Conservation Science Teachers, Postsecondary",25-1043.00,136.25797
861,Postdoctoral Associate CY (Matthews),"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00,137.54433
862,Postdoctoral Associate CY (Matthews),"Geography Teachers, Postsecondary",25-1064.00,138.50984
863,Postdoctoral Associate CY (Matthews),"Engineering Teachers, Postsecondary",25-1032.00,138.6351
864,Postdoctoral Associate CY (Matthews),"Physics Teachers, Postsecondary",25-1054.00,138.96463
865,Postdoctoral Associate CY (Matthews),"Biological Science Teachers, Postsecondary",25-1042.00,139.69366
866,Postdoctoral Associate CY (Matthews),"Computer Science Teachers, Postsecondary",25-1021.00,142.3836
867,Postdoctoral Associate CY (Matthews),"Agricultural Sciences Teachers, Postsecondary",25-1041.00,143.42723
868,Postdoctoral Associate CY (Matthews),"Foreign Language and Literature Teachers, Postsecondary",25-1124.00,148.17183
869,Postdoctoral Associate CY (Matthews),"Mathematical Science Teachers, Postsecondary",25-1022.00,148.31459
870,Research Assistant,Biostatisticians,15-2041.01,91.795815
871,Research Assistant,Statisticians,15-2041.00,92.239685
872,Research Assistant,Blockchain Engineers,15-1299.07,103.06547
873,Research Assistant,Telecommunications Engineering Specialists,15-1241.01,103.61404
874,Research Assistant,Materials Scientists,19-2032.00,104.996025
875,Research Assistant,Geographic Information Systems Technologists and Technicians,15-1299.02,105.69706
876,Research Assistant,Database Administrators,15-1242.00,108.27668
877,Research Assistant,Computer Systems Analysts,15-1211.00,110.37892
878,Research Assistant,Computer Programmers,15-1251.00,113.11436
