,Unnamed: 0,Title,Organisation ID,Organisation Name,Organisation Profile,Posted By - Name,Posted By - Profile,Short description,Location,Remote work allowed,Benefits,Workplace type,Description,Seniority level,Under 10 applications,Job functions,Date posted,Date expires,Industry,Source domain,Easy apply,Job type,Industry.1,Link,key,real_link,title,location,company,position,type,description
173,173,Service Robotics Innovation Strategist / Manager (all genders),b3JnOjI5Mzc5NA==,Accenture DACH,,,,-,"Hamburg, Hamburg, Germany",,,On-site,,,,,2022-10-03 09:25:19,2022-10-05 14:13:55,,www.accenture.com,NO,,,https://www.linkedin.com/jobs/view/3193445626,www.linkedin.com,https://www.linkedin.com/jobs/view/3193445626,Service Robotics Innovation Strategist / Manager (all genders),"Hambourg, Hambourg, Allemagne",Accenture DACH,,Temps plein,"We are

As part of Accenture’s global Technology Innovation group, we're helping redefine what is possible for our clients, ourselves, and the world. We're a passionate global group of business strategists, creatives, architects, engineers, innovators, and entrepreneurs—and we work with pioneering ecosystem partners, forward-thinking regulators and industry influencers who are collectively ushering in the next evolution of how digital and physical world interact.



You’ll often be:















You'll be joining our diverse team of robotics-skilled professionals with market-leading capabilities. You'll become part of a diverse, vibrant and global Accenture community—one that is continually pushing boundaries in responsible and sustainable ways.

You'll work on meaningful and innovative projects that radically change the way our clients view what is possible.

You'll have ongoing support in your learning and growth, with Accenture investing in opportunities for you to research, understand, and eventually help define the next level of robotics technologies."
176,176,Coordinator Data Science,b3JnOjM3ODM2Nw==,TMC,,,,-,"Eindhoven, North Brabant, Netherlands",,,,,,,,2022-09-29 10:57:13,2022-10-05 14:13:55,,tmc-employeneurship.com,NO,,,https://www.linkedin.com/jobs/view/3290598976,www.linkedin.com,https://www.linkedin.com/jobs/view/3290598976,Coordinator Data Science,"Eindhoven, Brabant Septentrional, Pays-Bas",TMC,,Contrat,"In this role, you specifically add your knowledge on data science and your skills as a coordinator to optimize the capabilities and output of the data analytics team.

| YOUR CHALLENGES?







you work with an enthusiastic group of about We share all our knowledge with eachother in the form of W. We have a strong network, sky-high ambitions and together we'll take care of your career! We also have our own Cell Council that organizes many activities such as bbq's and game nights.


We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21th century for high skilled technical professionals. It is built around 5 main pillars:"
200,200,Service Robotics Innovation Strategist / Manager (all genders),b3JnOjI5Mzc5NA==,Accenture DACH,,,,-,"Stuttgart, Baden-Württemberg, Germany",,,On-site,,,,,2022-10-03 09:25:41,2022-10-05 14:14:00,,www.accenture.com,NO,,,https://www.linkedin.com/jobs/view/3193443867,www.linkedin.com,https://www.linkedin.com/jobs/view/3193443867,Service Robotics Innovation Strategist / Manager (all genders),"Stuttgart, Bade-Wurtemberg, Allemagne",Accenture DACH,,Temps plein,"We are

As part of Accenture’s global Technology Innovation group, we're helping redefine what is possible for our clients, ourselves, and the world. We're a passionate global group of business strategists, creatives, architects, engineers, innovators, and entrepreneurs—and we work with pioneering ecosystem partners, forward-thinking regulators and industry influencers who are collectively ushering in the next evolution of how digital and physical world interact.



You’ll often be:















You'll be joining our diverse team of robotics-skilled professionals with market-leading capabilities. You'll become part of a diverse, vibrant and global Accenture community—one that is continually pushing boundaries in responsible and sustainable ways.

You'll work on meaningful and innovative projects that radically change the way our clients view what is possible.

You'll have ongoing support in your learning and growth, with Accenture investing in opportunities for you to research, understand, and eventually help define the next level of robotics technologies."
201,201,Coordinator Data Science,b3JnOjM3ODM2Nw==,TMC,,,,-,"Eindhoven, North Brabant, Netherlands",,,,,,,,2022-09-29 10:57:13,2022-10-05 14:14:00,,tmc-employeneurship.com,NO,,,https://www.linkedin.com/jobs/view/3290598976,www.linkedin.com,https://www.linkedin.com/jobs/view/3290598976,Coordinator Data Science,"Eindhoven, Brabant Septentrional, Pays-Bas",TMC,,Contrat,"In this role, you specifically add your knowledge on data science and your skills as a coordinator to optimize the capabilities and output of the data analytics team.

| YOUR CHALLENGES?







you work with an enthusiastic group of about We share all our knowledge with eachother in the form of W. We have a strong network, sky-high ambitions and together we'll take care of your career! We also have our own Cell Council that organizes many activities such as bbq's and game nights.


We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21th century for high skilled technical professionals. It is built around 5 main pillars:"
260,260,Research Fellow (Electronics Engineer) Centre For Quantum Technologies #Urgent,b3JnOjQ2MTUxMDE=,Centre for Quantum Technologies,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-10-04 14:45:48,2022-10-05 14:14:03,,www.jobstreet.com.sg,NO,,,https://www.linkedin.com/jobs/view/3294473255,www.linkedin.com,https://www.linkedin.com/jobs/view/3294473255,Research Fellow (Electronics Engineer) Centre For Quantum Technologies #Urgent,"Singapour, Singapour",Centre for Quantum Technologies,,Temps plein,"About Centre For Quantum Technologies

The Centre for Quantum Technologies (CQT) is a research centre of excellence attheNational University ofSingapore doing cutting-edge theoretical and experimental science. CQT is located on the campus oftheNational University ofSingaporeand offers a friendly, international workenvironment . Learn more about CQT at www.quantumlah.org.


Our group has developed an optical atomic clock based on Lu+. Lutetium is a unique clock candidate in that it supports three clock transitions within the one atom enabling rigorous consistency checks on clock performance. We have shown that two of these transitions have very low systematic shifts making them competitive with the best systems in the world. In 2019 we demonstrated the feasibility of operating the clock with multiple ions which will enable improvements in measurement precision. More recently we demonstrated agreement between two clocks at thelevelof 10-18, which was limited by the measurement statistics andnot systematic uncertainty. We are now lookingto develop a more compact and portable clock system that can run reliably and autonomously for long periods of time.


We have started a collaboration with Singapore 's National Metrology Center (NMC), which is aimed at demonstrating the capability of using optical clock technology in maintaining national timekeeping. In this project the candidate will




The remuneration is competitive and depends on the expertise and skill set.


For enquiries and details about the position, please contact Murray Douglas at . Please include your consent by filling in the NUS Personal Data Consent for Job Applicants . Employment Type : Full-time Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation ( if any).


Qualification

Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree, Doctorate (PhD)"
276,276,Junior Projektmanager Luftfahrt (all genders),b3JnOjI5Mzc5NA==,Accenture DACH,,,,-,"Hamburg, Hamburg, Germany",,,On-site,,,,,2022-09-30 15:20:51,2022-10-05 14:14:03,,www.accenture.com,NO,,,https://www.linkedin.com/jobs/view/3296428910,www.linkedin.com,https://www.linkedin.com/jobs/view/3296428910,Junior Projektmanager Luftfahrt (all genders),"Hambourg, Hambourg, Allemagne",Accenture DACH,,Temps plein,"Du suchst das Besondere, das Spezielle, das Wow!-Ding? Du findest es bei umlaut. Hier bist du Teil eines interdisziplinären Teams, das namhafte Kunden technologisch und organisatorisch berät und sie mit seinen Ingenieurdienstleistungen in ein neues technologisches Zeitalter katapultiert. Dabei bündelt umlaut seine jahrelange Expertise in allen Branchen, u.a. Automotive, Energy, Luftfahrt und Telecommunication sowie im öffentlichen Sektor. Seit 2021 ist das Full-Service-Unternehmen Teil der globalen Accenture-Familie. umlaut stärkt mit seinen rund 5.000 Ingenieur:innen und Expert:innen an über 50 Standorten weltweit die Digital-Engineering-Kompetenz des führenden Beratungs- und Technologieunternehmens. Sei dabei, wenn wir die Art und Weise transformieren, wie Kunden ihre Produkte designen, konstruieren und fertigen – und on top Nachhaltigkeit im Unternehmen verankern!













































Du hast Fragen? Dann wende dich gerne an unser Recruiting Team per E-Mail an hr.engineering@umlaut.com oder telefonisch unter +49 421 558 364 100.

Wir freuen uns auf deine Bewerbung!"
301,301,Junior Projektmanager Luftfahrt (all genders),b3JnOjI5Mzc5NA==,Accenture DACH,,,,-,"Hamburg, Hamburg, Germany",,,On-site,,,,,2022-09-30 15:20:51,2022-10-05 14:14:07,,www.accenture.com,NO,,,https://www.linkedin.com/jobs/view/3296428910,www.linkedin.com,https://www.linkedin.com/jobs/view/3296428910,Junior Projektmanager Luftfahrt (all genders),"Hambourg, Hambourg, Allemagne",Accenture DACH,,Temps plein,"Du suchst das Besondere, das Spezielle, das Wow!-Ding? Du findest es bei umlaut. Hier bist du Teil eines interdisziplinären Teams, das namhafte Kunden technologisch und organisatorisch berät und sie mit seinen Ingenieurdienstleistungen in ein neues technologisches Zeitalter katapultiert. Dabei bündelt umlaut seine jahrelange Expertise in allen Branchen, u.a. Automotive, Energy, Luftfahrt und Telecommunication sowie im öffentlichen Sektor. Seit 2021 ist das Full-Service-Unternehmen Teil der globalen Accenture-Familie. umlaut stärkt mit seinen rund 5.000 Ingenieur:innen und Expert:innen an über 50 Standorten weltweit die Digital-Engineering-Kompetenz des führenden Beratungs- und Technologieunternehmens. Sei dabei, wenn wir die Art und Weise transformieren, wie Kunden ihre Produkte designen, konstruieren und fertigen – und on top Nachhaltigkeit im Unternehmen verankern!













































Du hast Fragen? Dann wende dich gerne an unser Recruiting Team per E-Mail an hr.engineering@umlaut.com oder telefonisch unter +49 421 558 364 100.

Wir freuen uns auf deine Bewerbung!"
305,305,Internship - Tech Core Services Microsoft (m/f/d),b3JnOjE1OTU4Mw==,adidas,,,,-,"Herzogenaurach, Bavaria, Germany",,,On-site,,,,,2022-10-01 17:35:43,2022-10-05 14:14:07,,jobs.adidas-group.com,NO,,,https://www.linkedin.com/jobs/view/3293092022,www.linkedin.com,https://www.linkedin.com/jobs/view/3293092022,Internship - Tech Core Services Microsoft (m/f/d),"Herzogenaurach, Bavière, Allemagne",adidas,,Autre,"An internship at adidas provides you with a unique opportunity to apply what you have learned at university, use your knowledge in practice and live your passion for sports.

JOIN THE MICROSOFT PARTNER MANAGEMENT TEAM:The Microsoft Partner Management team manages the relationship, strategy, and strategic portfolio between adidas and one of the most advanced and innovative technology & solution providers on the planet. In close collaboration with other TECH teams in adidas, we are working together with Microsoft and Microsoft technology to contribute to adidas’ mission to be the best sports brand in the world.









At adidas we believe that “Impossible is Nothing”. As part of your application, we’d like you to tell us what this phrase means to you. Think of what makes you passionate about joining the brand and why you want this role. The format is totally up to you! If you are creative minded, show us. If you're analytical, share more! If you prefer to simply put pen to paper, go for it. Your '1 pager' can be submitted as print, visual, written, digital or a link. The only requirement is that the 1 pager is submitted as a PDF.

Make your move to the World of Sports.

http://bit.ly/adidas_GFTA"
307,307,Manager Technology Transformation,b3JnOjE2MjQ3,Deloitte,,,,-,"Zaventem, Flemish Region, Belgium",,,Hybrid,,,,,2022-10-05 09:48:12,2022-10-05 14:14:07,,dttbe.taleo.net,NO,,,https://www.linkedin.com/jobs/view/3089495689,www.linkedin.com,https://www.linkedin.com/jobs/view/3089495689,Manager Technology Transformation,"Zaventem, Région flamande, Belgique",Deloitte,,Temps plein,"Your Story

Can’t wait to make an impact on the world? You’re not alone. Join us in driving progress in the working world and beyond.






Our practice within Deloitte has a strong reputation and track record as Business Performance Consultants. We are a recognized leader in helping clients solve complex business problems, differentiated by our ability to execute on the advice we provide. Our multi-disciplinary competencies allow us to address CXO issues from every angle.

World-leading professional services firm, we offer value added services in audit & assurance, risk advisory, accounting, tax & legal, consulting and financial advisory.

+5000 dedicated professionals, active in +10 offices throughout the country, take great pride in supporting our clients with multidisciplinary expertise, industry knowledge, and innovative solutions. We offer services to a wide variety of clients, from national and international companies, small, fast-growing and large organizations to public institutions and governmental authorities.


We foster diversity and inclusion and encourage you to bring your authentic self to work. Explore, question and collaborate while building a career that inspires and energises you.

Diversity of thought makes us stronger. At Deloitte, we tailor a personalized learning experience, offering you the opportunity to grow at your own pace and achieve maximum impact.

As a Purpose-led organisation, at the heart of everything we do is a set of timeless principles and unifying values.

Life looks different for each of us, so we created a varied benefits package that you can tap into:


Empowering our employees with remains essential in today's reality:"
441,441,"Research Fellow (Atomic physics / Quantum sensors), Centre for Quantum Technologies",b3JnOjYwNTI5,National University of Singapore,,,,-,"Singapore, Singapore",,,On-site,,,,,2022-08-31 17:58:13,2022-10-05 14:14:15,,careers.nus.edu.sg,NO,,,https://www.linkedin.com/jobs/view/3286053677,sg.linkedin.com,https://sg.linkedin.com/jobs/view/research-fellow-atomic-physics-quantum-sensors-centre-for-quantum-technologies-at-national-university-of-singapore-3325879645,"Research Fellow (Atomic physics / Quantum sensors), Centre for Quantum Technologies","Singapour, Singapour",National University of Singapore,,Temps plein,"About Centre For Quantum Technologies (CQT)

The Centre for Quantum Technologies (CQT) is a research center of excellence at the National University of Singapore doing cutting-edge theoretical and experimental science. CQT is located on the campus of the National University of Singapore and offers a friendly, international work environment. Learn more about CQT at https://www.quantumlah.org/

At CQT we are developing next generation hardware for Quantum Sensors. Our team is composed of researchers with various backgrounds in science and we work at the spearhead towards developing technologies enhancing current quantum sensors and make them applicable to tackle challenging problems.



Our research Team focuses on the development of the next generation atomic quantum sensors. We have developed an atomic portable gravimeter, all optical atomic magnetometer and other sensors. Our next challenge is to progress this technology/research further and with clear goals to provide solutions ranging from application in navigation, inertial sensing to monitoring gravity for applications in geology. The projects are on the junction between industry and academic research and with this can be quite exciting and demanding as well.





We will provide a competitive numeration and a good work / life balance. The remuneration is competitive and depends on the expertise and skill set.

For enquiries and details about the position, please contact Rainer Dumke at .

Please include your consent by filling in the NUS Personal Data Consent for Job Applicants.

Employment Type : Full-time

Applications can be submitted via the link below and should contain: the latest CV, and letter of recommendation (if any).



Location: [[Nanyang Technological University (NTU)]]

Organization: [[National University of Singapore]]

Department : [[Rainer Dumke Group, Centre for Quantum Technologies]]

Job requisition ID : [[8929]]"
