,countRef,openDate,sector,employer,employerType,jobTitle,type,countries
45,46,20220504,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Quantum Software Developer,A,DE
46,47,20221130,,"Leibniz Supercomputing Centre (Leibniz-Rechenzentrum, LRZ)",O,HPC Systems Software Senior Researcher (f/m/d) for HPC-Quantum Hybrid Software Stack,A,DE
47,48,20220105,an international pioneer in the aerospace industry,Airbus,O,Study Engineer for Quantum Key Distribution (QKD) in Space (d/m/f),A,DE
48,49,20220704,university,Durham University,U,Postdoctoral Research Associate in Quantum Light and Matter,P,GB
49,50,20220213,university,Universitt zu Koln,U,PhD position (f/m/d) in solid state physics,A,DE
50,51,20220822,university,Queens University Belfast,U,Research Fellows in Optical/Photonic Device Integration,A,GB
51,52,20220322,,NXP Semiconductors,O,Working Student (m/f/d) Cryptography Team,A,DE
52,53,20220820,"a German educational
institution focused on research, teaching, and innovation",Karlsruhe Institute of Technology (KIT),O,2 Postdoctorals Researchers in Superconducting Qubits,P,DE
53,54,20211227,university,Ludwig Maximilian University of Munich (LMU),U,Project coordinator (m / f / d) in the field of quantum computing in the QAR lab at LMU,A,DE
54,55,20221103,,Porsche AG,O,Working student (f/m/d) Software Engineering & Deep Tech,I,DE
55,56,20221109,university,Universitt Ulm,U,Academic employees Institute of Microelectronics in cooperation with Physics - reference no. 22164,A,DE
56,57,20220415,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Quantum Computing - Use Case Cable Routing,A,DE
57,58,20210629,university,University of Oxford,U,Post-Doctoral Research Assistant in Superconducting Parametric Amplifiers,P,GB
58,59,20210730,independent quantum computing company,Cambridge Quantum Computing,O,Research Scientist - Cryptography,A,GB
59,60,20220803,university,Universitat Hamburg,U,Research Associate for the Project Quantum-Computer-Demonstrator Rymax,A,DE
60,61,20220721,a technology company,IBM,O,IBM Quantum Industry Consultant Manufacturing (f/m/x),A,DE
61,62,20220614,a quantum computing hardware and software company,Oxford Quantum Circuits,O,HR Specialist,A,GB
62,63,20220726,a cutting edge technology company,Quantum Detectors,O,Mechanical Design Engineer,A,GB
63,64,20211124,,Fraunhofer-Institut fr offene Kommunikationssysteme,O,Student assistant (m / f / d) for the field of quantum computing,A,DE
64,65,20220305,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",Science and Technology Facilities Council (STFC),O,Deputy Director of Research - National Quantum Computing Centre,A,GB
65,66,20220505,,Infineon Technologies,O,Doctoral Thesis: Digital Control Electronics for Trapped Ion Quantum Computing (f/m/div)*,A,DE
66,67,20210821,university,University of Oxford,U,Postdoctoral Research Assistant in Thermodynamics at the Nanoscale,P,GB
67,68,20220930,a high-tech startup,Q.ANT GmbH,O,Talent Acquisition Manager / Recruiter (m/w/d),A,DE
68,69,20220930,university,Dresden University of Technology,U,Research assistant (m/f/d) in the BMBF project Wavelength Conversion in Quantum Internet,I,DE
69,70,20220127,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Electronics Test and Deployment Engineer,A,GB
70,71,20221126,Developer of quantum computing technologies,Oxford Ionics,O,Senior Mechanical Engineer,A,GB
71,72,20210618,university,Technical University of Braunschweig,U,"W1 with tenure track W2 Junior Professorship for Experimental Physics, Quantum Materials",F,DE
72,73,20220718,university,University of Edinburgh,U,Research Associate in CMOS Single Photon Sensors for Quantum Imaging,A,GB
73,74,20220801,university,University of Oxford,U,Postdoctoral Research Assistant in Quantum Device Simulation,P,GB
74,75,20210814,,Bayer,O,PostDoc Machine Learning Methods for Quantum Chemistry (m/f/d),P,DE
75,76,20211029,"an independent, non-profit research organization",Max Planck Institute for Nuclear Physics,O,Post-Doctoral Research Associate (m/f/d),P,DE
76,77,20220719,"an integrated business from the hardware development of quantum computers, software development and provision of services",Quantinuum,O,Quantum Machine Learning Scientist,A,GB
77,78,20211220,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc - Scanning probe study of exotic quantum phenomena,P,DE
78,79,20220120,university,Imperial College London,U,Research Associate,A,GB
79,80,20220902,university,Leibniz Universitat Hanover,U,Juniorprofessur (m/w/d) fr Quantum Learning & Algorithms,F,DE
80,81,20210515,a leading global financial services firm,JP Morgan Chase,O,Applied Research Engineer,A,GB
81,82,20220514,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,PhD student - Silicon Photonics Process Technologies for (Quantum) Sensors,A,DE
82,83,20210714,"electronic capital goods for industry, infrastructure operators and government customers",Rohde & Schwarz GmbH & Co. KG,O,Research & Development Quantum Computing Security (m / f / d),A,DE
83,84,20210409,,KETS Quantum Security Ltd,O,Part Time Chief Financial Officer - Contract,A,GB
84,85,20210306,Developer of quantum computing technologies,Oxford Ionics,O,Quantum Scientist (Applied),A,GB
85,86,20210925,university,Imperial College London,U,Research Associate in Atom Interferometry,A,GB
86,87,20210427,Developer of quantum computing software designed to transform experimental technology into commercial products,Riverlane,O,Embedded Software Engineer,A,GB
87,88,20220315,,Paul-Drude-Institut fr Festkrperelektronik (PDI),O,"Master thesis: Epitaxy of (In,Ga)N quantum dots on ultrathin GaN nanowires for single photon emission",A,DE
88,89,20211110,,Schfter Kirchhoff GmbH,O,"PhD Physicist (m,f,d)",A,DE
89,90,20220411,independent quantum computing company,Cambridge Quantum Computing,O,"Senior Partner Manager, Quantum Software",A,DE
90,91,20220305,provides businesses with an easy on-ramp to quantum and hybrid computing,Quantagonia,O,Research Engineer (m/w/d),A,DE
91,92,20220809,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Research assistant (m/f/d) in the field of Quantum Computing and Quantum Machine Learning,A,DE
92,93,20220809,a German research institute of Engineering,Max Planck Institute for Dynamics of Complex Technical Systems,O,Postdoc Position (m/f/d) | Learning and Optimization for Dynamical Systems at the Molecular Scale,P,DE
93,94,20211220,university,Durham University,U,Postdoctoral Research Associate in Quantum Light and Matter,P,GB
94,95,20211001,,Bayer,O,Research Scientist - Machine Learning for Molecular Representation Learning (m/f/d),A,DE
95,96,20221026,,Physikalisch-Technische Bundesanstalt (PTB),O,Scientist (m/f/d) with a doctorate in the field of quantum optics or laser physics,A,DE
96,97,20220305,university,University of Siegen,U,Researcher,A,DE
97,98,20220104,university,University of Cologne,U,PhD position (f/m/d),A,DE
98,99,20220129,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Talent Researcher,A,DE
99,100,20220429,Developer of IoT security technology,ANGOKA,O,Project Manager,A,GB
100,101,20220112,university,Technical University of Munich (TUM),U,Scientific Researcher for I/O Aspects of Hybrid HPC/Quantum Workflows (m/f/d),A,DE
101,102,20210817,"manufacturing of medical, surgical, ophthalmic, and veterinary instruments and apparatus",Siemens Healthcare GmbH,O,PhD Student (m/f/d) for Quantum Computing use case implementation for medical imaging,P,DE
102,103,20221024,university,University of Edinburgh,U,Senior Researcher,A,GB
103,104,20210709,space engineering practice,"Craft Prospect, Space Engineering",O,Embedded Systems Engineer,A,GB
104,105,20210918,university,Friedrich-Schiller-Universitt Jena,U,Technische:r Mitarbeiter:in (m/w/d) im Bereich Abbe Center of Photonics,A,DE
105,106,20210520,international state-of-the-art competence center for science & technology as well as service & transfer for innovations in and by crystalline materials,Leibniz Institute for Crystal Growth (IKZ),O,Junior Research Group Leader (m/f/d) SiGe-based Quantum Materials & Heterostructures,A,DE
106,107,20220911,,Qruise,O,Quantum Control Physicist (remote-ish),A,DE
107,108,20210217,independent quantum computing company,Cambridge Quantum Computing,O,Ph.D. Scientists in Quantum Optimisation and Finance: Client & Product Development,A,GB
108,109,20220323,university,Dresden University of Technology,U,Research Associate / Postdoc (m/f/x),P,DE
109,110,20210716,university,University of Bristol,U,Research Associate/Senior Research Associate in Quantum Computing Theory,A,GB
110,111,20220828,symmetric encryption reborn for the cloud,ArQit Limited,O,Events Manager,A,GB
111,112,20220712,measurement standards laboratory of India,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Strategic Business Development Manager,A,GB
112,113,20220424,a quantum computing hardware and software company,Oxford Quantum Circuits,O,HR Business Partner,A,GB
113,114,20210728,a technology company,IBM,O,Senior Managing Consultant - Public Sector Strategy (General) (f/m/x),A,DE
114,115,20220710,university,University of Bath,U,Research Associate in fibre photonics (fixed-term post),P,GB
115,116,20220330,university,University of Glasgow,U,Professor: Centre for Quantum Technology,F,GB
116,117,20210326,,Helmholtz-Zentrum Dresden-Rossendorf,O,Postdoctoral Researcher (f/m/d) Multiscale Simulations for Matter under Extreme Conditions,P,DE
117,118,20210217,independent quantum computing company,Cambridge Quantum Computing,O,"Ph.D. Scientists in Quantum Machine Learning, Client & Product Development",A,GB
118,119,20220602,the world's leading applied research organisation,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Master's thesis Quantum Hub project: Adaptation of the Hough algorithm to a quantum computer,A,DE
119,120,20210603,,IC Resources,O,Senior Embedded Software Engineer,A,GB
120,121,20220112,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Investigation of quantum communication in a dynamic scenario,A,DE
121,122,20210528,major Japanese manufacturer of computers and electronic devices for consumers and industry,Toshiba,O,Product Development Manager,A,GB
122,123,20220702,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Cleanroom Supervisor,A,GB
123,124,20210811,university,Imperial College London,U,Research Associate in Experimental Quantum Optomechanics,A,GB
124,125,20220819,,Infleqtion / ColdQuanta,O,Quantum Mechanic,A,GB
125,126,20220830,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Master Thesis - Simulating topological material-based quantum information processing devices,A,DE
126,127,20210814,independent quantum computing company,Cambridge Quantum Computing,O,Legal Internship,I,GB
127,128,20220125,university,University of Portsmouth,U,Postdoctoral Research Fellow,P,GB
128,129,20201115,university,University of Strathclyde,U,Research Associate,A,GB
129,130,20221119,,Atos,O,Technical Expert - Quantum Computing (m/f/d),A,DE
130,131,20220629,,Paul-Drude-Institut fr Festkrperelektronik (PDI),O,PhD Student Position (m/f/d) Towards quantum polaromechanics,A,DE
131,132,20220613,diamond company,De Beers Group of Companies,O,Research Scientist,A,GB
132,133,20211130,university,Friedrich-Schiller-Universitt Jena,U,Junior Research Group Leader (m/f/d) in the Field of Theory of Optical Quantum Information,A,DE
133,134,20220823,university,University of Bristol,U,Research Associate/Senior Research Associate in Quantum Computing Theory,A,GB
134,135,20211102,independent quantum computing company,Cambridge Quantum Computing,O,Senior Field-programmable gate array (FPGA) Engineer,A,GB
135,136,20220225,,kiutra GmbH,O,Production Team Member (f/m/d) in full or part time,A,DE
136,137,20210918,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Operations Specialist,A,GB
137,138,20220705,university,University of Warwick,U,Research Fellow,A,GB
138,139,20220212,university,Technical University of Munich (TUM),U,Full-Time Research Assistant (m/f/d),A,DE
139,140,20210416,university,University of Cambridge,U,Research Assistant/Associate (Fixed Term),A,GB
140,141,20201010,revolutionary technology platform,Quantum Motion Technology,O,Quantum Integrated Circuit Engineer,A,GB
141,142,20220423,Developer of quantum computing software designed to transform experimental technology into commercial products,Riverlane,O,Software Engineer,A,GB
142,143,20220504,provides businesses with an easy on-ramp to quantum and hybrid computing,Quantagonia,O,Business Development Intern (m/w/d),I,DE
143,144,20210227,,UK Research & Innovation (UKRI),O,Deputy Director of Research - NQCC,A,GB
144,145,20211122,,Physikalisch-Technische Bundesanstalt (PTB),O,Open PhD and PostDoc Positions - Quantum Metrology with Optical Clocks,P,DE
145,146,20220106,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Communications and Marketing Specialist,A,GB
146,147,20220826,an international quantum technology company,QDevil,O,Scientific Marketing Assistant,I,DK
147,148,20210905,develops and manufactures high-end laser systems for scientific and industrial applications,TOPTICA Photonics,O,Application Scientist (m/w/d) Quantum Technologies,A,DE
148,149,20210814,a leading provider of high technology tools and systems for research and industry,Oxford Instrumentsi Plc,O,Customer Project and Sustaining Engineering Manager,A,GB
149,150,20220711,university,Carl von Ossietzky Universitt Oldenburg,U,"PhD (m/f/d), E13",A,DE
150,151,20210326,university,Imperial College London,U,Research Associate Cooling molecules to quantum degeneracy,A,GB
151,152,20220312,independent quantum computing company,Cambridge Quantum Computing,O,Quantum Photonics Engineers (Various levels),A,GB
152,153,20211016,,Fraunhofer-Institut fr Angewandte Optik und Feinmechanik,O,Systems Engineer for Photonic Quantum Computing,A,DE
153,154,20211123,,European Space Agency,O,Junior Professional in Cyber Security Mission Operations Domain,A,DE
154,155,20210714,university,Saarland University,U,W2-Professorship for Theoretical Physics of Quantum Information Reference number W1901,F,DE
155,156,20210520,,Bosch Group,O,PhD Diamond NV magnetometry for detection of bio-magnetic signals in unshielded environments,A,DE
156,157,20220630,provides businesses with an easy on-ramp to quantum and hybrid computing,Quantagonia,O,Marketing Intern (m/w/d),I,DE
157,158,20220218,aims to make the technology of quantum computing accessible to users in research and industry,QAR-Lab – Quantum Applications and Research Laboratory,O,Research assistant (m/f/d) in the field of quantum computing,A,DE
158,159,20210730,symmetric encryption reborn for the cloud,ArQit Limited,O,Senior Product Manager,A,GB
159,160,20220809,Developer of quantum computing software designed to transform experimental technology into commercial products,Riverlane,O,DevOps Engineer,A,GB
160,161,20220625,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,PMO Manager,A,DE
161,162,20211020,university,Friedrich-Schiller-Universitt Jena,U,Professorship (W3 or W2 with tenure track to W3) in the theory of quantum information,F,DE
162,163,20220519,university,University of Cambridge,U,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),A,GB
163,164,20220205,automotive embedded software development tools,ETAS,O,Werkstudent Applied Post-Quantum Kryptographie (m/w/d),P,DE
164,165,20210528,university,University of Birmingham,U,Research Fellow in Experimental Quantum Optomechanics,A,GB
165,166,20210707,,Fraunhofer-Institut fr Angewandte Optik und Feinmechanik,O,Technical employee in the field of Quantum Hardware,A,DE
166,167,20220404,a quantum computing hardware and software company,Oxford Quantum Circuits,O,IT & Network Engineer,A,GB
167,168,20210508,a forefront research organizations in the fields of quantum physics and photonics,Max Planck Institute of Quantum Optics (MPQ),O,Frequency comb spectrometer on a photonic chip,A,DE
168,169,20220815,cloud infrastructure company for quantum computing,Quantum Machines,O,Electronics Engineer,A,DK
169,170,20210529,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Lead Software Engineer,A,GB
170,171,20220209,a leading German high-tech security company,Bundesdruckerei GmbH,O,(Senior) Innovation Developer - Quantum Computer (m/w/d),A,DE
171,172,20220504,independent quantum computing company,Cambridge Quantum Computing,O,Talent Acquisition Manager / Senior Recruiter,A,GB
172,173,20221026,an international pioneer in the aerospace industry,Airbus,O,PhD for Quantum Secure Infrastructures (d/f/m),A,DE
173,174,20220810,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Student Assistant / Intern/ Thesis Photonic Quantum Technology Software Development (IOF-2022-38),I,DE
174,175,20210625,independent quantum computing company,Cambridge Quantum Computing,O,Quantum Machine Learning (QML) - Business Development Manager,A,GB
175,176,20211120,quantum computing hardware company,IQM,O,Quantum Software Engineer,A,DE
176,177,20210315,university,Technische Universitat (TU) Darmstadt,U,University Professorship W2 Experimental Quantum Optics in Condensed Matter,F,DE
177,178,20210905,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Recruitment & HR Specialist,A,GB
178,179,20220902,university,Berlin Institute of Technology (Technische Universitat Berlin),U,know Employee (PostDoc) (d/m/f),P,DE
179,180,20211224,university,University of Nottingham,U,Research Associate/Fellow in Quantum Sensing and Optical Magnetometry (fixed term),A,GB
180,181,20220209,university,Universitat Hamburg,U,Research Associate for the Project Quantum-Computer-Demonstrator Rymax The project aims to build a quantum computer based on Rydberg atoms in optical traps. The position is according to,A,DE
181,182,20210524,the high-tech recruitment experts,ECM Selection,O,Lead Engineer - Software for Quantum Computing,A,GB
182,183,20220108,,IC Resources,O,FPGA Developer,A,GB
183,184,20220125,university,University of Southampton,U,PhD Studentship - Modulators and low-loss switching for Quantum Technology,A,GB
184,185,20220524,university,Technical University of Munich (TUM),U,Open Master theses in Quantum Sensing,A,DE
185,186,20210414,university,University of Rostock,U,W 41/2021 Postdoctoral researcher (m/f/d),P,DE
186,187,20220725,provides businesses with an easy on-ramp to quantum and hybrid computing,Quantagonia,O,Mathematical Optimization Developer | C++ (m/w/d),A,DE
187,188,20220531,provides businesses with an easy on-ramp to quantum and hybrid computing,Quantagonia,O,Marketing Intern (m/w/d),I,DE
188,189,20220905,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Temporary job (mini job) – office administration,A,DE
189,190,20210703,university,University of Cambridge,U,Research Assistant/Associate (Fixed Term),A,GB
190,191,20210615,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Recruitment & HR Specialist,A,GB
191,192,20220114,university,King's College London,U,Research Associate,A,GB
192,193,20210420,university,Imperial College London,U,Research Associate in Quantum Information,A,GB
193,194,20220809,university,Technical University of Munich (TUM),U,Associate or Full Professor (f/m/d) for Quantum Communication Systems Engineering,F,DE
194,195,20210515,university,Heriot Watt University,U,Research Associate in Advanced Optical Communication and Imaging Lab (AOCIL),A,GB
195,196,20210730,major German automobile manufacturer,Volkswagen AG,O,"PhD student (m / f / d) on the subject of ""Quantum Computing"" in the area of Group Innovation",A,DE
196,197,20210724,university,University of Bristol,U,Business Engagement Associate,A,GB
197,198,20211015,independent quantum computing company,Cambridge Quantum Computing,O,Front End Developer,A,GB
198,199,20220713,university,University of Bath,U,Research Associate in Quantum Limits for Subellitpic Operators (fixed-term post),P,GB
199,200,20210317,university,Universitat Hamburg,U,Research Associate for the project - Cluster of Excellence Quantum Universe - Laser interferometry at ultra-low temperatures,A,DE
200,201,20201128,a quantum computing hardware and software company,Oxford Quantum Circuits,O,Software Engineer,A,GB
201,202,20220120,,Julich Supercomputing Centre / Forschungszentrum Julich,O,Master Thesis on Solving Factorization Problems Using Quantum Annealing,A,DE
202,203,20210714,university,University of Oxford,U,Postdoctoral Research Assistant in Superconducting Quantum Circuits,P,GB
203,204,20220410,university,University of Glasgow,U,QuantIC Project Officer,A,GB
204,205,20220617,university,Imperial College London,U,Research Associate in Optimal control of trapped ions,A,GB
205,206,20210529,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Algorithmen zur Radarsignalverarbeitung auf analogen und digitalen Quantencomputern,A,DE
206,207,20210804,measurement standards laboratory of India,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Quantum Photonics Scientists and Engineers,A,GB
207,208,20220810,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Researcher Compiler Construction: Quantum Computing,A,DE
208,209,20211111,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Innovative approaches to quantum machine learning,A,DE
209,210,20220607,university,Universitt zu Koln,U,PhD position in Sub-THz spectroscopy of quantum materials (f/m/d),A,DE
210,211,20211224,university,Technical University of Munich (TUM),U,5 PhD Positions in Integrated Semiconductor Quantum Nanomaterials,A,DE
211,212,20210416,,National Physical Laboratory (NPL),O,PhD Vacancy - Optical lattice clocks for fundamental physics and redefinition of the second,P,GB
212,213,20220901,a leading global financial services firm,JP Morgan Chase,O,2023 Research Technologies Associate Program - Off-Cycle Internship (London),I,GB
213,214,20210727,independent quantum computing company,Cambridge Quantum Computing,O,"Research Scientist, Natural Language Processing (NLP) / Machine Learning (M",A,GB
214,215,20220303,,Atos,O,IT Consultant - Quantum Computing (m/w/d),A,DE
215,216,20220705,intuitive and cloud-based simulation platform,Quantistry GmbH,O,(Senior) Backend Software Engineer (m/f/d),A,DE
216,217,20220824,university,University of Siegen,U,Research Associate - Theoretical Quantum Optics,A,DE
217,218,20220105,university,Imperial College London,U,Research Associate in Quantum Technology,A,GB
218,219,20210318,university,Berlin Institute of Technology (Technische Universitat Berlin),U,Research Assistant,A,DE
219,220,20221026,German public research,RWTH Aachen,O,Student Assistant (f/m/non-binary),I,DE
220,221,20210626,German public IT services provider,BWI GmbH,O,Experte Quantum Key Distribution (m/w/d),A,DE
221,222,20211109,university,Durham University,U,Postdoctoral Research Assistant in Quantum Light and Matter,P,GB
222,223,20220114,university,King's College London,U,Lecturers & Reader / Senior Lecturer in Physics,F,GB
223,224,20211219,university,University of Cambridge,U,MRes+PhD PhD studentships (Fixed Term),A,GB
224,225,20211001,"a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services",Deloitte,O,(Senior) Consultant (m/w/d) The Garage - Quantum.Link - Schwerpunkt Kryptographie,A,DE
225,226,20211005,university,University of Oxford,U,"Technology Associate, QCS Hub",A,GB
226,227,20210904,a technology company,IBM,O,Internship/Praktikum: Software und System Performance Analyst (m/w/x),I,DE
227,228,20210921,symmetric encryption reborn for the cloud,ArQit Limited,O,OGR Systems Engineer,A,GB
228,229,20220208,,InstaDeep,O,Research Intern (Quantum ML),I,GB
229,230,20220201,university,University of Southampton,U,Research Fellow in Solid-State Quantum Memories,A,GB
230,231,20220803,an international pioneer in the aerospace industry,Airbus,O,PhD Thesis: Quantum Information Networks (d/f/m),A,DE
231,232,20210505,university,Universitt Freiburg,U,Lecturer (Akad. Rat*Rtin auf Zeit; w/m/d).,F,DE
232,233,20220827,a research institute of the Bavarian Academy of Sciences and Humanities (BAdW),Walther Meissner Institute,O,Team Lead – Quantum Computing Demonstrator (m/f/d),A,DE
233,234,20220324,research and development organization,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Doctoral Student in Quanutm Image Processing,A,DE
234,235,20210212,quantum computing hardware company,IQM,O,"Senior Quantum Software Engineer - Munich, Germany (m/f/d)",A,DE
235,236,20210416,,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Group management - execution environments for AI-based applications,A,DE
236,237,20201216,independent quantum computing company,Cambridge Quantum Computing,O,Quantum Business Development & Product Lead,A,GB
237,238,20211021,"a technology company focused on industry, infrastructure, transport, and healthcare",Siemens AG,O,Senior Cyber Security Architect (f/m/d) Public Key Infrastructure,A,DE
238,239,20210313,a quantum computing hardware and software company,Oxford Quantum Circuits,O,FPGA Engineer,A,GB
239,240,20220312,university,University of Southampton,U,Research Fellow in nonlinear micro-resonators and Terahertz Spectroscopy,A,GB
240,241,20211103,a quantum computing hardware and software company,Oxford Quantum Circuits,O,QCaaS Cloud Infrastructure and DevOps Engineer,A,GB
241,242,20210917,a venture-backed Australian-German quantum computing hardware company,Quantum Brilliance,O,Accountant,A,DE
242,243,20210716,,Bayer,O,Research Scientist Quantum Computing (m/w/d),A,DE
243,244,20220716,,Atos,O,Teamlead Quantum (m/w/d),A,DE
244,245,20211217,,Julich Supercomputing Centre / Forschungszentrum Julich,O,PhD Position - Nanoscale Charge Transport Measurements of Quantum Materials with a Multi-Tip STM,A,DE
245,246,20220706,a cutting edge technology company,Quantum Detectors,O,Research & Development Engineer,A,GB
