,0,1,2,3,4,5,6
72,000037,20211212,University of Nottingham,U,10+ Fully Funded PhD Studentships,A,GB
73,countRef,openDate,employer,employerType,jobTitle,type,countries
74,000038,20210615,Bosch Group,O,Engineer Microintegration of Quantum Sensors,A,DE
75,countRef,openDate,employer,employerType,jobTitle,type,countries
76,000039,20220412,Universitat Hamburg,U,Research Associate in Mathematics or Mathematical Physics,A,DE
77,countRef,openDate,employer,employerType,jobTitle,type,countries
78,000040,20220106,Oxford Quantum Circuits,O,Nanofab Process Engineer,A,GB
79,countRef,openDate,employer,employerType,jobTitle,type,countries
80,000041,20211219,"Craft Prospect, Space Engineering",O,Systems Engineer,A,GB
81,countRef,openDate,employer,employerType,jobTitle,type,countries
82,000042,20211202,National Physical Laboratory (NPL),O,Quantum Photonics Scientists and Engineers,A,GB
83,countRef,openDate,employer,employerType,jobTitle,type,countries
84,000043,20211005,Dresden University of Technology,U,Research Associate,A,DE
85,countRef,openDate,employer,employerType,jobTitle,type,countries
86,000044,20210217,HQS Quantum Simulations,O,Ab-initio Simulation Specialist (Post Hartree-Fock) (m/f/x),A,DE
87,countRef,openDate,employer,employerType,jobTitle,type,countries
88,000045,20220524,Oxford Quantum Circuits,O,Information Security Specialist,A,GB
89,countRef,openDate,employer,employerType,jobTitle,type,countries
90,000046,20220504,Quantum Brilliance,O,Quantum Software Developer,A,DE
91,countRef,openDate,employer,employerType,jobTitle,type,countries
92,000047,20221130,"Leibniz Supercomputing Centre (Leibniz-Rechenzentrum, LRZ)",O,HPC Systems Software Senior Researcher (f/m/d) for HPC-Quantum Hybrid Software Stack,A,DE
93,countRef,openDate,employer,employerType,jobTitle,type,countries
94,000048,20220105,Airbus,O,Study Engineer for Quantum Key Distribution (QKD) in Space (d/m/f),A,DE
95,countRef,openDate,employer,employerType,jobTitle,type,countries
96,000049,20220704,Durham University,U,Postdoctoral Research Associate in Quantum Light and Matter,P,GB
97,countRef,openDate,employer,employerType,jobTitle,type,countries
98,000050,20220213,Universitt zu Koln,U,PhD position (f/m/d) in solid state physics,A,DE
99,countRef,openDate,employer,employerType,jobTitle,type,countries
100,000051,20220822,Queens University Belfast,U,Research Fellows in Optical/Photonic Device Integration,A,GB
101,countRef,openDate,employer,employerType,jobTitle,type,countries
102,000052,20220322,NXP Semiconductors,O,Working Student (m/f/d) Cryptography Team,A,DE
103,countRef,openDate,employer,employerType,jobTitle,type,countries
104,000053,20220820,Karlsruhe Institute of Technology (KIT),O,2 Postdoctorals Researchers in Superconducting Qubits,P,DE
105,countRef,openDate,employer,employerType,jobTitle,type,countries
106,000054,20211227,Ludwig Maximilian University of Munich (LMU),U,Project coordinator (m / f / d) in the field of quantum computing in the QAR lab at LMU,A,DE
107,countRef,openDate,employer,employerType,jobTitle,type,countries
108,000055,20221103,Porsche AG,O,Working student (f/m/d) Software Engineering & Deep Tech,I,DE
109,countRef,openDate,employer,employerType,jobTitle,type,countries
110,000056,20221109,Universitt Ulm,U,Academic employees Institute of Microelectronics in cooperation with Physics - reference no. 22164,A,DE
111,countRef,openDate,employer,employerType,jobTitle,type,countries
112,000057,20220415,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Quantum Computing - Use Case Cable Routing,A,DE
113,countRef,openDate,employer,employerType,jobTitle,type,countries
114,000058,20210629,University of Oxford,U,Post-Doctoral Research Assistant in Superconducting Parametric Amplifiers,P,GB
115,countRef,openDate,employer,employerType,jobTitle,type,countries
116,000059,20210730,Cambridge Quantum Computing,O,Research Scientist - Cryptography,A,GB
117,countRef,openDate,employer,employerType,jobTitle,type,countries
118,000060,20220803,Universitat Hamburg,U,Research Associate for the Project Quantum-Computer-Demonstrator Rymax,A,DE
119,countRef,openDate,employer,employerType,jobTitle,type,countries
120,000061,20220721,IBM,O,IBM Quantum Industry Consultant Manufacturing (f/m/x),A,DE
121,countRef,openDate,employer,employerType,jobTitle,type,countries
122,000062,20220614,Oxford Quantum Circuits,O,HR Specialist,A,GB
123,countRef,openDate,employer,employerType,jobTitle,type,countries
124,000063,20220726,Quantum Detectors,O,Mechanical Design Engineer,A,GB
125,countRef,openDate,employer,employerType,jobTitle,type,countries
126,000064,20211124,Fraunhofer-Institut fr offene Kommunikationssysteme,O,Student assistant (m / f / d) for the field of quantum computing,A,DE
127,countRef,openDate,employer,employerType,jobTitle,type,countries
128,000065,20220305,Science and Technology Facilities Council (STFC),O,Deputy Director of Research - National Quantum Computing Centre,A,GB
129,countRef,openDate,employer,employerType,jobTitle,type,countries
130,000066,20220505,Infineon Technologies,O,Doctoral Thesis: Digital Control Electronics for Trapped Ion Quantum Computing (f/m/div)*,A,DE
131,countRef,openDate,employer,employerType,jobTitle,type,countries
132,000067,20210821,University of Oxford,U,Postdoctoral Research Assistant in Thermodynamics at the Nanoscale,P,GB
133,countRef,openDate,employer,employerType,jobTitle,type,countries
134,000068,20220930,Q.ANT GmbH,O,Talent Acquisition Manager / Recruiter (m/w/d),A,DE
135,countRef,openDate,employer,employerType,jobTitle,type,countries
136,000069,20220930,Dresden University of Technology,U,Research assistant (m/f/d) in the BMBF project Wavelength Conversion in Quantum Internet,I,DE
137,countRef,openDate,employer,employerType,jobTitle,type,countries
138,000070,20220127,Oxford Quantum Circuits,O,Electronics Test and Deployment Engineer,A,GB
139,countRef,openDate,employer,employerType,jobTitle,type,countries
140,000071,20221126,Oxford Ionics,O,Senior Mechanical Engineer,A,GB
141,countRef,openDate,employer,employerType,jobTitle,type,countries
142,000072,20210618,Technical University of Braunschweig,U,"W1 with tenure track W2 Junior Professorship for Experimental Physics, Quantum Materials",F,DE
143,countRef,openDate,employer,employerType,jobTitle,type,countries
144,000073,20220718,University of Edinburgh,U,Research Associate in CMOS Single Photon Sensors for Quantum Imaging,A,GB
145,countRef,openDate,employer,employerType,jobTitle,type,countries
146,000074,20220801,University of Oxford,U,Postdoctoral Research Assistant in Quantum Device Simulation,P,GB
147,countRef,openDate,employer,employerType,jobTitle,type,countries
148,000075,20210814,Bayer,O,PostDoc Machine Learning Methods for Quantum Chemistry (m/f/d),P,DE
149,countRef,openDate,employer,employerType,jobTitle,type,countries
150,000076,20211029,Max Planck Institute for Nuclear Physics,O,Post-Doctoral Research Associate (m/f/d),P,DE
151,countRef,openDate,employer,employerType,jobTitle,type,countries
152,000077,20220719,Quantinuum,O,Quantum Machine Learning Scientist,A,GB
153,countRef,openDate,employer,employerType,jobTitle,type,countries
154,000078,20211220,Julich Supercomputing Centre / Forschungszentrum Julich,O,Postdoc - Scanning probe study of exotic quantum phenomena,P,DE
155,countRef,openDate,employer,employerType,jobTitle,type,countries
156,000079,20220120,Imperial College London,U,Research Associate,A,GB
157,countRef,openDate,employer,employerType,jobTitle,type,countries
158,000080,20220902,Leibniz Universitat Hanover,U,Juniorprofessur (m/w/d) fr Quantum Learning & Algorithms,F,DE
159,countRef,openDate,employer,employerType,jobTitle,type,countries
160,000081,20210515,JP Morgan Chase,O,Applied Research Engineer,A,GB
161,countRef,openDate,employer,employerType,jobTitle,type,countries
162,000082,20220514,Fraunhofer-Gesellschaft (Fraunhofer Society),O,PhD student - Silicon Photonics Process Technologies for (Quantum) Sensors,A,DE
163,countRef,openDate,employer,employerType,jobTitle,type,countries
164,000083,20210714,Rohde & Schwarz GmbH & Co. KG,O,Research & Development Quantum Computing Security (m / f / d),A,DE
165,countRef,openDate,employer,employerType,jobTitle,type,countries
166,000084,20210409,KETS Quantum Security Ltd,O,Part Time Chief Financial Officer - Contract,A,GB
167,countRef,openDate,employer,employerType,jobTitle,type,countries
168,000085,20210306,Oxford Ionics,O,Quantum Scientist (Applied),A,GB
169,countRef,openDate,employer,employerType,jobTitle,type,countries
170,000086,20210925,Imperial College London,U,Research Associate in Atom Interferometry,A,GB
171,countRef,openDate,employer,employerType,jobTitle,type,countries
172,000087,20210427,Riverlane,O,Embedded Software Engineer,A,GB
173,countRef,openDate,employer,employerType,jobTitle,type,countries
174,000088,20220315,Paul-Drude-Institut fr Festkrperelektronik (PDI),O,"Master thesis: Epitaxy of (In,Ga)N quantum dots on ultrathin GaN nanowires for single photon emission",A,DE
175,countRef,openDate,employer,employerType,jobTitle,type,countries
176,000089,20211110,Schfter Kirchhoff GmbH,O,"PhD Physicist (m,f,d)",A,DE
177,countRef,openDate,employer,employerType,jobTitle,type,countries
178,000090,20220411,Cambridge Quantum Computing,O,"Senior Partner Manager, Quantum Software",A,DE
179,countRef,openDate,employer,employerType,jobTitle,type,countries
180,000091,20220305,Quantagonia,O,Research Engineer (m/w/d),A,DE
181,countRef,openDate,employer,employerType,jobTitle,type,countries
182,000092,20220809,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Research assistant (m/f/d) in the field of Quantum Computing and Quantum Machine Learning,A,DE
183,countRef,openDate,employer,employerType,jobTitle,type,countries
184,000093,20220809,Max Planck Institute for Dynamics of Complex Technical Systems,O,Postdoc Position (m/f/d) | Learning and Optimization for Dynamical Systems at the Molecular Scale,P,DE
185,countRef,openDate,employer,employerType,jobTitle,type,countries
186,000094,20211220,Durham University,U,Postdoctoral Research Associate in Quantum Light and Matter,P,GB
187,countRef,openDate,employer,employerType,jobTitle,type,countries
188,000095,20211001,Bayer,O,Research Scientist - Machine Learning for Molecular Representation Learning (m/f/d),A,DE
189,countRef,openDate,employer,employerType,jobTitle,type,countries
190,000096,20221026,Physikalisch-Technische Bundesanstalt (PTB),O,Scientist (m/f/d) with a doctorate in the field of quantum optics or laser physics,A,DE
191,countRef,openDate,employer,employerType,jobTitle,type,countries
192,000097,20220305,University of Siegen,U,Researcher,A,DE
193,countRef,openDate,employer,employerType,jobTitle,type,countries
194,000098,20220104,University of Cologne,U,PhD position (f/m/d),A,DE
195,countRef,openDate,employer,employerType,jobTitle,type,countries
196,000099,20220129,Quantum Brilliance,O,Talent Researcher,A,DE
197,countRef,openDate,employer,employerType,jobTitle,type,countries
198,000100,20220429,ANGOKA,O,Project Manager,A,GB
199,countRef,openDate,employer,employerType,jobTitle,type,countries
200,000101,20220112,Technical University of Munich (TUM),U,Scientific Researcher for I/O Aspects of Hybrid HPC/Quantum Workflows (m/f/d),A,DE
201,countRef,openDate,employer,employerType,jobTitle,type,countries
202,000102,20210817,Siemens Healthcare GmbH,O,PhD Student (m/f/d) for Quantum Computing use case implementation for medical imaging,P,DE
203,countRef,openDate,employer,employerType,jobTitle,type,countries
204,000103,20221024,University of Edinburgh,U,Senior Researcher,A,GB
205,countRef,openDate,employer,employerType,jobTitle,type,countries
206,000104,20210709,"Craft Prospect, Space Engineering",O,Embedded Systems Engineer,A,GB
207,countRef,openDate,employer,employerType,jobTitle,type,countries
208,000105,20210918,Friedrich-Schiller-Universitt Jena,U,Technische:r Mitarbeiter:in (m/w/d) im Bereich Abbe Center of Photonics,A,DE
209,countRef,openDate,employer,employerType,jobTitle,type,countries
210,000106,20210520,Leibniz Institute for Crystal Growth (IKZ),O,Junior Research Group Leader (m/f/d) SiGe-based Quantum Materials & Heterostructures,A,DE
211,countRef,openDate,employer,employerType,jobTitle,type,countries
212,000107,20220911,Qruise,O,Quantum Control Physicist (remote-ish),A,DE
213,countRef,openDate,employer,employerType,jobTitle,type,countries
214,000108,20210217,Cambridge Quantum Computing,O,Ph.D. Scientists in Quantum Optimisation and Finance: Client & Product Development,A,GB
215,countRef,openDate,employer,employerType,jobTitle,type,countries
216,000109,20220323,Dresden University of Technology,U,Research Associate / Postdoc (m/f/x),P,DE
217,countRef,openDate,employer,employerType,jobTitle,type,countries
218,000110,20210716,University of Bristol,U,Research Associate/Senior Research Associate in Quantum Computing Theory,A,GB
219,countRef,openDate,employer,employerType,jobTitle,type,countries
220,000111,20220828,ArQit Limited,O,Events Manager,A,GB
221,countRef,openDate,employer,employerType,jobTitle,type,countries
222,000112,20220712,Council Of Scientific And Industrial Research–National Physical Laboratory (CSIR–NPL),O,Strategic Business Development Manager,A,GB
223,countRef,openDate,employer,employerType,jobTitle,type,countries
224,000113,20220424,Oxford Quantum Circuits,O,HR Business Partner,A,GB
225,countRef,openDate,employer,employerType,jobTitle,type,countries
226,000114,20210728,IBM,O,Senior Managing Consultant - Public Sector Strategy (General) (f/m/x),A,DE
227,countRef,openDate,employer,employerType,jobTitle,type,countries
228,000115,20220710,University of Bath,U,Research Associate in fibre photonics (fixed-term post),P,GB
229,countRef,openDate,employer,employerType,jobTitle,type,countries
230,000116,20220330,University of Glasgow,U,Professor: Centre for Quantum Technology,F,GB
231,countRef,openDate,employer,employerType,jobTitle,type,countries
232,000117,20210326,Helmholtz-Zentrum Dresden-Rossendorf,O,Postdoctoral Researcher (f/m/d) Multiscale Simulations for Matter under Extreme Conditions,P,DE
233,countRef,openDate,employer,employerType,jobTitle,type,countries
234,000118,20210217,Cambridge Quantum Computing,O,"Ph.D. Scientists in Quantum Machine Learning, Client & Product Development",A,GB
235,countRef,openDate,employer,employerType,jobTitle,type,countries
236,000119,20220602,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Master's thesis Quantum Hub project: Adaptation of the Hough algorithm to a quantum computer,A,DE
237,countRef,openDate,employer,employerType,jobTitle,type,countries
238,000120,20210603,IC Resources,O,Senior Embedded Software Engineer,A,GB
239,countRef,openDate,employer,employerType,jobTitle,type,countries
240,000121,20220112,DLR-(German Aerospace Center)Deutsches Zentrum fr Luft- und Raumfahrt,O,Investigation of quantum communication in a dynamic scenario,A,DE
241,countRef,openDate,employer,employerType,jobTitle,type,countries
242,000122,20210528,Toshiba,O,Product Development Manager,A,GB
243,countRef,openDate,employer,employerType,jobTitle,type,countries
244,000123,20220702,Oxford Quantum Circuits,O,Cleanroom Supervisor,A,GB
245,countRef,openDate,employer,employerType,jobTitle,type,countries
246,000124,20210811,Imperial College London,U,Research Associate in Experimental Quantum Optomechanics,A,GB
247,countRef,openDate,employer,employerType,jobTitle,type,countries
248,000125,20220819,Infleqtion / ColdQuanta,O,Quantum Mechanic,A,GB
249,countRef,openDate,employer,employerType,jobTitle,type,countries
250,000126,20220830,Julich Supercomputing Centre / Forschungszentrum Julich,O,Master Thesis - Simulating topological material-based quantum information processing devices,A,DE
251,countRef,openDate,employer,employerType,jobTitle,type,countries
252,000127,20210814,Cambridge Quantum Computing,O,Legal Internship,I,GB
253,countRef,openDate,employer,employerType,jobTitle,type,countries
254,000128,20220125,University of Portsmouth,U,Postdoctoral Research Fellow,P,GB
255,countRef,openDate,employer,employerType,jobTitle,type,countries
256,000129,20201115,University of Strathclyde,U,Research Associate,A,GB
257,countRef,openDate,employer,employerType,jobTitle,type,countries
258,000130,20221119,Atos,O,Technical Expert - Quantum Computing (m/f/d),A,DE
259,countRef,openDate,employer,employerType,jobTitle,type,countries
260,000131,20220629,Paul-Drude-Institut fr Festkrperelektronik (PDI),O,PhD Student Position (m/f/d) Towards quantum polaromechanics,A,DE
261,countRef,openDate,employer,employerType,jobTitle,type,countries
262,000132,20220613,De Beers Group of Companies,O,Research Scientist,A,GB
263,countRef,openDate,employer,employerType,jobTitle,type,countries
264,000133,20211130,Friedrich-Schiller-Universitt Jena,U,Junior Research Group Leader (m/f/d) in the Field of Theory of Optical Quantum Information,A,DE
265,countRef,openDate,employer,employerType,jobTitle,type,countries
266,000134,20220823,University of Bristol,U,Research Associate/Senior Research Associate in Quantum Computing Theory,A,GB
267,countRef,openDate,employer,employerType,jobTitle,type,countries
268,000135,20211102,Cambridge Quantum Computing,O,Senior Field-programmable gate array (FPGA) Engineer,A,GB
269,countRef,openDate,employer,employerType,jobTitle,type,countries
270,000136,20220225,kiutra GmbH,O,Production Team Member (f/m/d) in full or part time,A,DE
271,countRef,openDate,employer,employerType,jobTitle,type,countries
272,000137,20210918,Oxford Quantum Circuits,O,Operations Specialist,A,GB
273,countRef,openDate,employer,employerType,jobTitle,type,countries
274,000138,20220705,University of Warwick,U,Research Fellow,A,GB
275,countRef,openDate,employer,employerType,jobTitle,type,countries
276,000139,20220212,Technical University of Munich (TUM),U,Full-Time Research Assistant (m/f/d),A,DE
277,countRef,openDate,employer,employerType,jobTitle,type,countries
278,000140,20210416,University of Cambridge,U,Research Assistant/Associate (Fixed Term),A,GB
279,countRef,openDate,employer,employerType,jobTitle,type,countries
280,000141,20201010,Quantum Motion Technology,O,Quantum Integrated Circuit Engineer,A,GB
281,countRef,openDate,employer,employerType,jobTitle,type,countries
282,000142,20220423,Riverlane,O,Software Engineer,A,GB
283,countRef,openDate,employer,employerType,jobTitle,type,countries
284,000143,20220504,Quantagonia,O,Business Development Intern (m/w/d),I,DE
285,countRef,openDate,employer,employerType,jobTitle,type,countries
286,000144,20210227,UK Research & Innovation (UKRI),O,Deputy Director of Research - NQCC,A,GB
287,countRef,openDate,employer,employerType,jobTitle,type,countries
288,000145,20211122,Physikalisch-Technische Bundesanstalt (PTB),O,Open PhD and PostDoc Positions - Quantum Metrology with Optical Clocks,P,DE
289,countRef,openDate,employer,employerType,jobTitle,type,countries
290,000146,20220106,Oxford Quantum Circuits,O,Communications and Marketing Specialist,A,GB
291,countRef,openDate,employer,employerType,jobTitle,type,countries
292,000147,20220826,QDevil,O,Scientific Marketing Assistant,I,DK
293,countRef,openDate,employer,employerType,jobTitle,type,countries
294,000148,20210905,TOPTICA Photonics,O,Application Scientist (m/w/d) Quantum Technologies,A,DE
295,countRef,openDate,employer,employerType,jobTitle,type,countries
296,000149,20210814,Oxford Instrumentsi Plc,O,Customer Project and Sustaining Engineering Manager,A,GB
297,countRef,openDate,employer,employerType,jobTitle,type,countries
298,000150,20220711,Carl von Ossietzky Universitt Oldenburg,U,"PhD (m/f/d), E13",A,DE
299,countRef,openDate,employer,employerType,jobTitle,type,countries
300,000151,20210326,Imperial College London,U,Research Associate Cooling molecules to quantum degeneracy,A,GB
301,countRef,openDate,employer,employerType,jobTitle,type,countries
302,000152,20220312,Cambridge Quantum Computing,O,Quantum Photonics Engineers (Various levels),A,GB
303,countRef,openDate,employer,employerType,jobTitle,type,countries
304,000153,20211016,Fraunhofer-Institut fr Angewandte Optik und Feinmechanik,O,Systems Engineer for Photonic Quantum Computing,A,DE
305,countRef,openDate,employer,employerType,jobTitle,type,countries
306,000154,20211123,European Space Agency,O,Junior Professional in Cyber Security Mission Operations Domain,A,DE
307,countRef,openDate,employer,employerType,jobTitle,type,countries
308,000155,20210714,Saarland University,U,W2-Professorship for Theoretical Physics of Quantum Information Reference number W1901,F,DE
309,countRef,openDate,employer,employerType,jobTitle,type,countries
310,000156,20210520,Bosch Group,O,PhD Diamond NV magnetometry for detection of bio-magnetic signals in unshielded environments,A,DE
311,countRef,openDate,employer,employerType,jobTitle,type,countries
312,000157,20220630,Quantagonia,O,Marketing Intern (m/w/d),I,DE
313,countRef,openDate,employer,employerType,jobTitle,type,countries
314,000158,20220218,QAR-Lab – Quantum Applications and Research Laboratory,O,Research assistant (m/f/d) in the field of quantum computing,A,DE
315,countRef,openDate,employer,employerType,jobTitle,type,countries
316,000159,20210730,ArQit Limited,O,Senior Product Manager,A,GB
317,countRef,openDate,employer,employerType,jobTitle,type,countries
318,000160,20220809,Riverlane,O,DevOps Engineer,A,GB
319,countRef,openDate,employer,employerType,jobTitle,type,countries
320,000161,20220625,Quantum Brilliance,O,PMO Manager,A,DE
321,countRef,openDate,employer,employerType,jobTitle,type,countries
322,000162,20211020,Friedrich-Schiller-Universitt Jena,U,Professorship (W3 or W2 with tenure track to W3) in the theory of quantum information,F,DE
323,countRef,openDate,employer,employerType,jobTitle,type,countries
324,000163,20220519,University of Cambridge,U,Researcher: Quantum Gases & Collective Phenomena x 2 (Fixed Term),A,GB
325,countRef,openDate,employer,employerType,jobTitle,type,countries
326,000164,20220205,ETAS,O,Werkstudent Applied Post-Quantum Kryptographie (m/w/d),P,DE
327,countRef,openDate,employer,employerType,jobTitle,type,countries
328,000165,20210528,University of Birmingham,U,Research Fellow in Experimental Quantum Optomechanics,A,GB
329,countRef,openDate,employer,employerType,jobTitle,type,countries
330,000166,20210707,Fraunhofer-Institut fr Angewandte Optik und Feinmechanik,O,Technical employee in the field of Quantum Hardware,A,DE
331,countRef,openDate,employer,employerType,jobTitle,type,countries
332,000167,20220404,Oxford Quantum Circuits,O,IT & Network Engineer,A,GB
333,countRef,openDate,employer,employerType,jobTitle,type,countries
334,000168,20210508,Max Planck Institute of Quantum Optics (MPQ),O,Frequency comb spectrometer on a photonic chip,A,DE
335,countRef,openDate,employer,employerType,jobTitle,type,countries
336,000169,20220815,Quantum Machines,O,Electronics Engineer,A,DK
337,countRef,openDate,employer,employerType,jobTitle,type,countries
338,000170,20210529,Oxford Quantum Circuits,O,Lead Software Engineer,A,GB
339,countRef,openDate,employer,employerType,jobTitle,type,countries
340,000171,20220209,Bundesdruckerei GmbH,O,(Senior) Innovation Developer - Quantum Computer (m/w/d),A,DE
341,countRef,openDate,employer,employerType,jobTitle,type,countries
342,000172,20220504,Cambridge Quantum Computing,O,Talent Acquisition Manager / Senior Recruiter,A,GB
343,countRef,openDate,employer,employerType,jobTitle,type,countries
344,000173,20221026,Airbus,O,PhD for Quantum Secure Infrastructures (d/f/m),A,DE
345,countRef,openDate,employer,employerType,jobTitle,type,countries
346,000174,20220810,Fraunhofer-Gesellschaft (Fraunhofer Society),O,Student Assistant / Intern/ Thesis Photonic Quantum Technology Software Development (IOF-2022-38),I,DE
347,countRef,openDate,employer,employerType,jobTitle,type,countries
348,000175,20210625,Cambridge Quantum Computing,O,Quantum Machine Learning (QML) - Business Development Manager,A,GB
349,countRef,openDate,employer,employerType,jobTitle,type,countries
350,000176,20211120,IQM,O,Quantum Software Engineer,A,DE
351,countRef,openDate,employer,employerType,jobTitle,type,countries
352,000177,20210315,Technische Universitat (TU) Darmstadt,U,University Professorship W2 Experimental Quantum Optics in Condensed Matter,F,DE
353,countRef,openDate,employer,employerType,jobTitle,type,countries
354,000178,20210905,Oxford Quantum Circuits,O,Recruitment & HR Specialist,A,GB
355,countRef,openDate,employer,employerType,jobTitle,type,countries
356,000179,20220902,Berlin Institute of Technology (Technische Universitat Berlin),U,know Employee (PostDoc) (d/m/f),P,DE
357,countRef,openDate,employer,employerType,jobTitle,type,countries
358,000180,20211224,University of Nottingham,U,Research Associate/Fellow in Quantum Sensing and Optical Magnetometry (fixed term),A,GB
359,countRef,openDate,employer,employerType,jobTitle,type,countries
360,000181,20220209,Universitat Hamburg,U,Research Associate for the Project Quantum-Computer-Demonstrator Rymax The project aims to build a quantum computer based on Rydberg atoms in optical traps. The position is according to,A,DE
361,countRef,openDate,employer,employerType,jobTitle,type,countries
