,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
1148,1149,20210220,"a computing firm specialising in scalable quantum computers for a number of different industries, including aviation, climate tech, and drug discovery",Service Provider,company,universal quantum,O,analog ic layour engineer,A,GB
1149,1150,20220727,"a proven service provider for research promotion, innovation
support and innovation policy",,,vdi technologiezentrum gmbh,O,science communication and public affairs expert (m/f/d),A,DE
1150,1151,20220410,,,university,lancaster university,U,senior research associate in semiconductor materials and devices,A,GB
1151,1152,20220408,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,intern - quantum computing,I,DE
1152,1153,20220828,symmetric encryption reborn for the cloud,category other,,arqit limited,O,campaign lead,A,GB
1153,1154,20220204,,,university,university of bath,U,research associate (fixed term),A,GB
1154,1155,20210612,,category other,,siemens energy,O,senior contract manager / delay & quantum expert (f/m/d) (dqe),A,DE
1155,1156,20210415,red brick Russell Group research university,,university,university of bristol,U,research associate/senior research associate in quantum computing theory,A,GB
1156,1157,20211120,a quantum computing hardware and software company,,company,oxford quantum circuits,O,mechanical design engineer,A,GB
1157,1158,20210630,,,university,university of oxford,U,technology associate,A,GB
1158,1159,20220524,,,university,technical university of munich (tum),U,scientific staff,A,DE
1159,1160,20220221,independent quantum computing company,,company,cambridge quantum computing,O,software / data engineer,A,GB
1160,1161,20210306,,,university,universitat hamburg,U,research associate for the project & cluster of excellence cui: advanced imaging of matter - nonequilibrium quantum properties of hybrid mixtures of trapped ultracold gases,A,DE
1161,1162,20220830,,,university,queens university belfast,U,lecturers in photonics,F,GB
1162,1163,20211005,"develops, tests and implements components, devices and methods, up to entire machines and manufacturing plants",,,fraunhofer institute for manufacturing engineering and automation,O,research associate for quantum machine learning and quantum computing,A,DE
1163,1164,20210417,technology company,,company,microsoft,O,ultra-high vacuum hardware engineer quantum team,A,DK
1164,1165,20210527,,,university,universitat hamburg,U,research associate for the project compact laser interferometers for test mass readout in future gravitational wave detectors,A,DE
1165,1166,20210605,,Service Provider,,ic resources,O,analog ic design engineer - quantum computing,A,GB
1166,1167,20220222,a cutting edge technology company,,company,quantum detectors,O,warehouse technician,A,GB
1167,1168,20201205,,,,infleqtion / coldquanta,O,opto-mechanical engineer,A,GB
1168,1169,20211006,"a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services",,company,deloitte,O,(senior) consultant (m/w/d) the garage - quantum.link - schwerpunkt quantencomputing,A,DE
1169,1170,20220902,public research university,,university,university of nottingham,U,research associate/fellow (fixed term),A,GB
1170,1171,20210712,public technical university,,university,university of twente,U,phd position can vibronic coupling aid efficient photochemical conversion?,A,DE
1171,1172,20210422,a world-class manufacturer of high-quality solid-state and ultrafast laser sources,,company,laser quantum,O,optical development engineer,A,GB
1172,1173,20220902,,Service Provider,,ic resources,O,senior rf ic design engineer,A,GB
1173,1174,20220323,"a German educational
institution focused on research, teaching, and innovation",,,karlsruhe institute of technology (kit),O,"research associate (f/m/d), chemistry or physics",A,DE
1174,1175,20210217,independent quantum computing company,,company,cambridge quantum computing,O,product manager - cybersecurity,A,GB
1175,1176,20211120,German manufacturer of athletic shoes and apparel and sporting goods,,company,adidas,O,senior specialist quantum simulation,A,DE
1176,1177,20210618,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,frequency comb scientist,A,GB
1177,1178,20210806,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,head of delivery,A,GB
1178,1179,20220719,,,university,technical university of munich (tum),U,research assistant (hiwi) in project management as part of the munich quantum valley initiative (m/f/d),A,DE
1179,1180,20220621,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,working student: qa & test engineer,A,DE
1180,1181,20210605,independent quantum computing company,,company,cambridge quantum computing,O,"quantum software: technical support, training, and outreach officer",A,GB
1181,1182,20210408,,,university,university of st andrews,U,research fellow in experimental condensed matter physics (controlling emergent orders in quantum materials),A,GB
1182,1183,20210306,a leading global financial services firm,Service Provider,company,jp morgan chase,O,software engineering,A,GB
1183,1184,20210220,independent quantum computing company,,company,cambridge quantum computing,O,quantum computing: business development & product lead,A,GB
1184,1185,20210418,a quantum computing hardware and software company,,company,oxford quantum circuits,O,lead software engineer,A,GB
1185,1186,20220306,diamond company,,company,de beers group of companies,O,graduate scientist,A,GB
1186,1187,20221109,,,university,universitat hamburg,U,research associate for the project seeing excitons in motion,A,DE
1187,1188,20220601,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,administrative project manager photonic quantum computing (iof-2022-67),A,DE
1188,1189,20210730,symmetric encryption reborn for the cloud,category other,,arqit limited,O,senior software engineer - ogr,A,GB
1189,1190,20221114,a forefront research organizations in the fields of quantum physics and photonics,,,max planck institute of quantum optics (mpq),O,media designer - in image and sound (m/f/d) part-time 50%,A,DE
1190,1191,20220306,a spin-out company,,company,aquark technologies,O,scientist,A,GB
1191,1192,20220504,research universities,,university,universitt freiburg,U,phd position: miniaturization of optically pumped alkali magnetometers (opm),A,DE
1192,1193,20220718,quantum computing network,Agent/ Representative,,nodeq,O,python gui developer,A,GB
1193,1194,20220305,technology company,,company,microsoft,O,quantum measurement engineer,A,DK
1194,1195,20221125,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,student assistant (m/f/d) for the field of quantum computing,I,DE
1195,1196,20220218,,category other,,infineon technologies,O,senior engineer quantum technology (f/m/div)*,A,DE
1196,1197,20210301,,,university,king's college london,U,research associate in the department of physics,A,GB
1197,1198,20211224,,,university,universitat hamburg,U,research associate for the project rymax-one quantum optimizer - theory,A,DE
1198,1199,20220712,,,university,imperial college london,U,research associate in experimental quantum optomechanics,A,GB
1199,1200,20220902,American financial services company,,company,moody's,O,quantum computing engineer,A,DE
1200,1201,20220818,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,project manager,A,GB
1201,1202,20220204,,,university,technical university of munich (tum),U,research assistant (doctoral candidate; m/f/d) in the field of policy and governance of innovative technologies,A,DE
1202,1203,20210923,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,superconducting hardware technology development manager,A,GB
1203,1204,20221105,manufactures electronics test and measurement equipment and software,,company,keysight technologies,O,working student - quantum engineering solutions,I,DE
1204,1205,20220203,,,university,lancaster university,U,senior research associate (x2) in condensed-matter atomic clocks,A,GB
1205,1206,20221201,,,,deggendorf institute of technology (technische hochschule deggendorf),O,"professorship ""high performance computing/quantum computing""",F,DE
1206,1207,20210909,,,university,nottingham trent university,U,research assistant in quantum intelligence,A,GB
1207,1208,20210808,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,scientific writer,A,GB
1208,1209,20221117,a forefront research organizations in the fields of quantum physics and photonics,,,max planck institute of quantum optics (mpq),O,public outreach manager (m/f/d) full time,A,DE
1209,1210,20211008,a quantum computing hardware and software company,,company,oxford quantum circuits,O,executive assistant,A,GB
1210,1211,20220821,symmetric encryption reborn for the cloud,,company,arqit limited,O,technical presales engineer,A,GB
1211,1212,20210828,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,applications engineer,A,GB
1212,1213,20220630,multinational technology company,,company,intel,O,neuromorphic algorithms researcher (internship) (m/f/d),I,DE
1213,1214,20220511,a high-tech startup,,company,q.ant gmbh,O,ip manager (m/f/d),A,DE
1214,1215,20220409,quantum computing hardware company,,company,iqm,O,"software engineer, m/f/d",A,DE
1215,1216,20210410,symmetric encryption reborn for the cloud,category other,,arqit limited,O,senior developer,A,GB
1216,1217,20221130,,,,"leibniz supercomputing centre (leibniz-rechenzentrum, lrz)",O,high-performance computing (hpc) software engineer (f/m/d) for quantum software stack,A,DE
1217,1218,20210403,a leading global financial services firm,Service Provider,company,jp morgan chase,O,research engineer,A,GB
1218,1219,20220621,,,university,university of southampton,U,research fellow,A,GB
1219,1220,20210315,independent quantum computing company,,company,cambridge quantum computing,O,senior solutions architect - cybersecurity - uk. travel to offices in london and cambridge as required (remote working in uk),A,GB
1220,1221,20210512,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,technical project manager,A,GB
1221,1222,20210817,,,,"leibniz supercomputing centre (leibniz-rechenzentrum, lrz)",O,high-performance quantum computing specialist (f/m/d),A,DE
1222,1223,20220701,,,university,technical university of munich (tum),U,student assistant - quantum spaces,A,DE
1223,1224,20210930,international state-of-the-art competence center for science & technology as well as service & transfer for innovations in and by crystalline materials,,,leibniz institute for crystal growth (ikz),O,phd student position (m/f/d) - k 29/21,A,DE
1224,1225,20220412,the company developing III-V semiconductor-based quantum photonics,,company,aegiq,O,software engineer - data acquisition & hardware automation,A,GB
1225,1226,20220305,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,physical design engineer,A,GB
1226,1227,20220601,a national research center in Germany,,,deutsches elektronen-synchrotron (desy),O,phd student position in the excellence cluster - quantum universe,A,DE
1227,1228,20211208,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc in the domain of coherent spin shuttling for scaling semiconductor qubits,P,DE
1228,1229,20210722,technology company,,company,microsoft,O,optical researcher or engineer,A,GB
1229,1230,20211224,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,hpc/eda support engineer,A,GB
1230,1231,20211106,chemical company,,company,basf,O,postdoc data integration for materials simulation and catalysis (m/f/d),P,DE
1231,1232,20210921,,,university,university of edinburgh,U,research associate,A,GB
1232,1233,20220131,,,university,queens university belfast,U,research fellow,A,GB
1233,1234,20220409,a cutting edge technology company,,company,quantum detectors,O,research & development engineer,A,GB
1234,1235,20220414,,Service Provider,,ic resources,O,senior fpga engineer,A,GB
1235,1236,20201010,revolutionary technology platform,Manufacturer/ Producer,,quantum motion technology,O,fault tolerant quantum computer architects,A,GB
1236,1237,20220412,independent quantum computing company,,company,cambridge quantum computing,O,"midmarket sales executive, quantum software",A,GB
1237,1238,20220713,,,university,university of birmingham,U,research fellow in computational quantum materials research - school of chemistry - 99146,A,GB
1238,1239,20220113,,,university,university of southampton,U,research fellow in hybrid quantum/classical communications,A,GB
1239,1240,20211127,,,,fraunhofer-institut fr arbeitswirtschaft und organisation iao,O,project management for quantum computing with a focus on software engineering and machine learning,A,DE
1240,1241,20210827,"an independent, non-profit research organization",,,max planck institute for physics,O,postdoc position (f/m/d),P,DE
1241,1242,20220525,,,university,university of copenhagen,U,"phd fellowships in the operation of spin qubit processors at the niels bohr institute, center for quantum devices",A,DK
1242,1243,20220116,a leading provider of IT security solutions in embedded systems,Manufacturer/ Producer,,escrypt,O,working student applied post-quantum cryptography (m/f/d),P,DE
1243,1244,20210917,,,university,imperial college london,U,research associate in quantum imaging,A,GB
1244,1245,20220612,a technology company,,company,ibm,O,ibm quantum cloud devops engineer,A,GB
1245,1246,20211111,the high-tech recruitment experts,,company,ecm selection,O,senior software engineer,A,GB
1246,1247,20210422,"coordinates research on some of the most significant challenges facing society, such as future energy needs, monitoring and understanding climate change, and global security",,,science and technology facilities council (stfc),O,quality officer,A,GB
1247,1248,20220131,major Japanese manufacturer of computers and electronic devices for consumers and industry,,company,toshiba,O,firmware engineer,A,GB
1248,1249,20210629,,,university,johannes gutenberg-universitt mainz,U,research assistant product assurance / quality assurance (f/m/d),A,DE
1249,1250,20220930,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,phd quantum image processing,A,DE
1250,1251,20220121,communications services companies,Manufacturer/ Producer,,bt,O,quantum optics,A,GB
1251,1252,20220410,"a computing firm specialising in scalable quantum computers for a number of different industries, including aviation, climate tech, and drug discovery",Service Provider,company,universal quantum,O,electronics engineer,A,GB
1252,1253,20220623,,,university,imperial college london,U,research associate in quantum information,A,GB
1253,1254,20220809,,,university,universitat hamburg,U,research associate for the project cluster of excellence quantum universe interferometry for test mass readout with sub-femtometer level precision,A,DE
1254,1255,20211023,independent quantum computing company,,company,cambridge quantum computing,O,senior software developer,A,GB
1255,1256,20210317,research university,,university,technical university of braunschweig,U,postdoc (m / f / d) in the field of quantum technology,P,DE
1256,1257,20210213,telecommunications company,,company,nu quantum,O,scientist - semiconductor devices r&d,A,GB
1257,1258,20220809,a globally operating technology group,Manufacturer/ Producer,,jenoptik ag,O,working student innovation management,A,DE
1258,1259,20211120,intuitive and cloud-based simulation platform,,,quantistry gmbh,O,developer for quantum algorithms (m/f/d),A,DE
1259,1260,20210311,a leading global financial services firm,Service Provider,company,jp morgan chase,O,research engineer,A,GB
1260,1261,20210608,,,university,university of southampton,U,research fellow in polaritonics,A,GB
1261,1262,20210618,a cutting edge technology company,,company,quantum detectors,O,technician,A,GB
1262,1263,20220810,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,speculative application for the department emerging technologies (iof-2022-52),A,DE
1263,1264,20210621,,,university,queens university belfast,U,research fellow - high-field quantum electro-dynamics,A,GB
1264,1265,20220319,telecommunications company,,company,nu quantum,O,senior lab technician,A,GB
1265,1266,20211026,,,university,imperial college london,U,research associate in optimal control of trapped ions,A,GB
1266,1267,20220310,IoT security company,,company,angoka,O,senior embedded software engineer,A,GB
1267,1268,20220806,"an integrated business from the hardware development of quantum computers, software development and provision of services",,company,quantinuum,O,it support manager,A,GB
1268,1269,20210903,,,university,leibniz universitat hanover,U,research assistant (m / f / d) in the field of quantum technologies with a focus on topological quantum computing,A,DE
1269,1270,20220511,cloud infrastructure company for quantum computing,,company,quantum machines,O,senior full stack developer,A,DE
1270,1271,20220101,a quantum computing hardware and software company,,company,oxford quantum circuits,O,business development specialist,A,GB
1271,1272,20210311,,,company,kiutra gmbh,O,sales assistant,A,DE
1272,1273,20221111,"an educational
institute",,university,dresden university of technology,U,research associate (m/f/x),A,DE
1273,1274,20210805,research university,,university,berlin institute of technology (technische universitat berlin),U,knowledge employee (d / m / f),A,DE
1274,1275,20220601,public research university,,university,heriot watt university,U,research associate in quantum communications,A,GB
1275,1276,20220629,the newly founded ecosystem for breakthroughs in quantum technologies,,,quantum valley lower saxony (qvls),O,managing director (m/f/d),A,DE
1276,1277,20220226,,,university,university of birmingham,U,research fellow in computational quantum materials research - school of chemistry - 99146,A,GB
1277,1278,20210904,a quantum computing hardware and software company,,company,oxford quantum circuits,O,finance assistant,A,GB
1278,1279,20211120,intuitive and cloud-based simulation platform,,,quantistry gmbh,O,(senior) business development manager (m/f/d),A,DE
1279,1280,20220930,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,bt/mt: quantum computing - potential applications for the manufacturing industry,A,DE
1280,1281,20220615,public research university,,university,university of copenhagen,U,postdoc of quantum optomechanics,P,DK
1281,1282,20220710,Recruitment Agency,,,amazing prospects ltd,O,quantum computing software engineer,A,GB
1282,1283,20210422,,,,infleqtion / coldquanta,O,amo physicist,A,GB
1283,1284,20220211,,,university,durham university,U,postdoctoral research associate in quantum algorithms for fluid simulations,P,GB
1284,1285,20201010,a UK company developing a completely new approach towards quantum computing,,company,orca computing,O,quantum optics physicist,A,GB
1285,1286,20220216,a national research center in Germany,,,deutsches elektronen-synchrotron (desy),O,research associate (f/m/d) quantum computing,A,DE
1286,1287,20220305,Developer of quantum computing technologies,,,oxford ionics,O,photonics development engineer,A,GB
1287,1288,20220506,global pharmatech company,,company,exscientia,O,"summer intern - quantum mechanics (qm) (oxford, hybrid or remote)",I,GB
1288,1289,20210706,red brick Russell Group research university,,university,university of bristol,U,research associate / senior research associate in qet labs,A,GB
1289,1290,20210508,,category other,,emerson,O,manager technology r&d,A,GB
1290,1291,20220315,,Service Provider,,adva optical networking,O,senior engineer advanced technology (m/f/d),A,DE
1291,1292,20220412,independent quantum computing company,,company,cambridge quantum computing,O,"enterprise sales executive, quantum software",A,DE
1292,1293,20220203,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,digital design engineer,A,GB
1293,1294,20211018,British luxury automobile maker,category other,,rolls-royce,O,quantum computational science specialist,A,GB
1294,1295,20221207,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,researcher / doctoral candidate in the field of data protection & it security,P,DE
1295,1296,20210625,independent quantum computing company,,company,cambridge quantum computing,O,quantum algorithms and machine learning scientist,A,GB
1296,1297,20220807,"an integrated business from the hardware development of quantum computers, software development and provision of services",,company,quantinuum,O,technical project manager - quantum machine learning,A,GB
1297,1298,20210830,public research university,,university,heriot watt university,U,research associate/ assistant in nanosat engineering model comprising optoelectronic components,A,GB
1298,1299,20210603,red brick Russell Group research university,,university,university of bristol,U,senior lecture/associate professor in quantum communication technologies,F,GB
1299,1300,20220509,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,hr admin assistant,A,GB
1300,1301,20220923,,,university,universitat hamburg,U,research associate for the project cluster of excellence quantum universe platform for innovation in detector science,A,DE
1301,1302,20211209,public research university,,university,king's college london,U,research associate,A,GB
1302,1303,20211113,,,,kiutra gmbh,O,software developer (m/f/x),A,DE
1303,1304,20220217,aims to make the technology of quantum computing accessible to users in research and industry,,,qar-lab – quantum applications and research laboratory,O,research assistant (m/f/d) with a focus on quantum computing optimization problems,A,DE
1304,1305,20220624,independent quantum computing company,,company,cambridge quantum computing,O,"research scientist, quantum error correction",A,GB
1305,1306,20210805,,Service Provider,,ic resources,O,quantum engineer,A,GB
1306,1307,20220124,a technology company,,company,ibm,O,r&d development engineer processor logic designer (m/f/x),A,DE
1307,1308,20220116,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,strategic business development manager,A,GB
1308,1309,20220209,a leading IT service provider for network performance and data security in the DACH region,,company,dacoso data communication solutions gmbh,O,solution consultant (m/w/d) - quantum safe communications im bereich carrier,A,DE
1309,1310,20220129,a quantum computing hardware and software company,,company,oxford quantum circuits,O,qcaas developer,A,GB
1310,1311,20220225,,Service Provider,,helmholtz-zentrum dresden-rossendorf,O,phd student (f/m/d) developing a highly efficient gpu implementation of the ab initio path integral monte carlo (pimc) method,A,DE
1311,1312,20210807,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,dlr - daad doctoral fellowship - materials science & quantum computing,A,DE
1312,1313,20211026,public research university,,university,technical university of munich (tum),U,we are looking for a full-time research assistant (m/f/d) on the topic of &quot;quantum communication in 6g networks&quot;,A,DE
1313,1314,20211003,a cutting edge technology company,,company,quantum detectors,O,fpga engineer,A,GB
1314,1315,20210318,independent quantum computing company,,company,cambridge quantum computing,O,"research scientist, quantum error correction",A,GB
1315,1316,20210629,"a German educational
institution focused on research, teaching, and innovation",,,karlsruhe institute of technology (kit),O,tenure-track-professorship on quantum control of spins on surfaces (w1) at the physikalisches institut,F,DE
1316,1317,20210312,quantum computing hardware company,,company,iqm,O,"quantum engineer/grant manager - munich, germany (m/f/d)",A,DE
1317,1318,20220204,Recruitment Agency,,company,amazing prospects ltd,O,technology sales consultant machine learning quantum graduate,A,GB
1318,1319,20220607,,,university,universitt zu koln,U,phd position in sub-thz spectroscopy of quantum materials (f/m/d) crc 1238 | control and dynamics of quantum materials,A,DE
1319,1320,20220330,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,postdoc - ultra-high vacuum lithography of high-performance superconducting qubits,P,DE
1320,1321,20220530,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,senior digital design engineer,A,GB
1321,1322,20210324,,,,max planck institute for the science of light,O,phd student position (f/m/d) | quantum optics and quantum technologies,A,DE
1322,1323,20211018,a research institute in which scientists and engineers work together,,,leibniz institute for solid state and materials research dresden (ifw dresden),O,phd position (m/f/d) 630-21-40000,A,DE
1323,1324,20220620,,,university,newcastle university,U,lecturer/senior lecturer in astrophysics,F,GB
1324,1325,20220401,red brick Russell Group research university,,university,university of bristol,U,lecturer/senior lecturer/associate professor in quantum computing theory,F,GB
1325,1326,20211009,independent quantum computing company,,company,cambridge quantum computing,O,research scientist (quantum algorithms),A,GB
1326,1327,20220218,,,university,university of sheffield,U,research associate,A,GB
1327,1328,20210909,,,university,university of oxford,U,postdoctoral research associate in computational chemistry,P,GB
1328,1329,20220212,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,devops engineer und linux administrator (m/w/d),A,DE
1329,1330,20220703,,,,qruise,O,senior scientific python developer,A,DE
1330,1331,20220827,a technology company,,company,ibm,O,ibm quantum industry consultant communications (f/m/x),A,DE
1331,1332,20220511,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,phd vacancy - visualising thermal and spin currents at the nanoscale,A,GB
1332,1333,20220523,symmetric encryption reborn for the cloud,category other,,arqit limited,O,technical security engineer,A,GB
1333,1334,20220215,,,university,university of glasgow,U,research associate in cryoelectronics x 3,A,GB
1334,1335,20210508,,Service Provider,,bosch group,O,research scientist quantum sensors,A,DE
1335,1336,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,hr specialist,A,GB
1336,1337,20220414,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,it operations manager devops,A,DE
1337,1338,20210909,,,university,university of oxford,U,postdoctoral research associate in advanced numerical optimisation in magnetic resonance,P,GB
1338,1339,20211201,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,application-oriented algorithm and software development for quantum computers,A,DE
1339,1340,20210319,,Service Provider,,helmholtz-zentrum dresden-rossendorf,O,postdoctoral researcher (f/m/d) noisy quantum computing for matter under extreme conditions,P,DE
1340,1341,20210326,red brick Russell Group research university,,university,university of bristol,U,"post-doctoral research associate / senior research associate in quantum imaging, ranging and sensing",P,GB
1341,1342,20211215,a forefront research organizations in the fields of quantum physics and photonics,,,max planck institute of quantum optics (mpq),O,phd positions |quantum science and technology,A,DE
1342,1343,20210706,,,university,university of sheffield,U,research associate,A,GB
1343,1344,20210501,,,university,saarland university,U,academic research assistant (m/f/x),A,DE
1344,1345,20210612,offshore and onshore contract drilling and drilling-related services,Manufacturer/ Producer,,parker drilling company,O,engineer electronics for quantum sensors,A,DE
1345,1346,20220930,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,speculative application for the department of micro- and nanostructured optics (iof-2022-57),A,DE
1346,1347,20220904,"a higher education
teaching and research institute",,university,university of kent,U,lecturer in physics,F,GB
1347,1348,20220921,research university,,university,berlin institute of technology (technische universitat berlin),U,wiss. employee in (postdoc) (d/m/f),P,DE
1348,1349,20211122,an exempt charity and a common law corporation,,university,university of cambridge,U,leigh trapnell professorship of quantum physics,F,GB
1349,1350,20220724,,Manufacturer/ Producer,,nature research,O,"team manager (quantum, atomic, molecular and optical physics), nature communications",A,GB
1350,1351,20220305,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,cloud developer (m/f/d),A,DE
1351,1352,20220730,a technology company,,company,ibm,O,quantum industry consultant manufacturing (f/m/x),A,DE
1352,1353,20220306,,,university,universitat hamburg,U,research associates (2 positions) in higgs physics at atlas and cms,A,DE
1353,1354,20210828,,category other,,infineon technologies,O,principal system architect quantum computing (f/m/div)*,A,DE
1354,1355,20220810,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,project manager quantum technologies (iof-2022-3),A,DE
1355,1356,20210925,symmetric encryption reborn for the cloud,category other,,arqit limited,O,software engineers - all levels,A,GB
1356,1357,20210414,independent quantum computing company,,company,cambridge quantum computing,O,senior software developer,A,GB
1357,1358,20220429,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,cloud developer / software developer (m/f/d),A,DE
1358,1359,20211104,independent quantum computing company,,company,cambridge quantum computing,O,senior product manager - cybersecurity,A,GB
1359,1360,20221105,,,university,technische universitt hamburg,U,office assistant (m/f/d),A,DE
1360,1361,20210615,public research university,,university,university of nottingham,U,research associate/fellow: diamond based quantum sensing (fixed term),A,GB
1361,1362,20210217,"provides software for materials scientists in the chemical industry, as well as in academia",Distributor,,hqs quantum simulations,O,assistant in personnel management (german-language),A,DE
1362,1363,20220715,,,university,universitat hamburg,U,research associate for the project engineering many-body states atom by atom and exploring non-equilibrium dynamics therein,A,DE
1363,1364,20210727,a manufacturer,,company,teledyne e2v space imaging,O,principle engineer - systems and quantum,A,GB
1364,1365,20220228,,Manufacturer/ Producer,,physikalisch-technische bundesanstalt (ptb),O,phd student (m/f/d) in the field of quantum technologies,A,DE
1365,1366,20220805,public research university,,university,university of warwick,U,research fellow,A,GB
1366,1367,20221205,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,project coordinator & science communicator photonic quantum technologies (iof-2022-123),A,DE
1367,1368,20220614,,,university,university of oxford,U,postdoctoral research associate in mathematical physics,P,GB
1368,1369,20220517,major German automobile manufacturer,,company,volkswagen ag,O,internship or writing a master's thesis (f/m/d) in the field of quantum computing,I,DE
1369,1370,20220408,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,master thesis - simulating topological material-based quantum information processing devices,A,DE
1370,1371,20220113,Recruitment Agency,,company,amazing prospects ltd,O,machine learning consultant phd,A,GB
1371,1372,20210409,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,rf/electrical engineer or physicist - superconducting quantum computing,A,GB
1372,1373,20220830,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,praktikant*in- quantum computing for circuits,A,DE
1373,1374,20211013,,,,"leibniz supercomputing centre (leibniz-rechenzentrum, lrz)",O,expert (m/f/d) in high performance and parallel computing for life science,A,DE
1374,1375,20211029,,,university,technical university of munich (tum),U,optimizing compilers for digital quantum computing,A,DE
1375,1376,20210622,,,university,university of oxford,U,marie skodowska-curie early-stage researcher in experimental quantum and optical technology,A,GB
1376,1377,20220705,symmetric encryption reborn for the cloud,category other,,arqit limited,O,integration and test engineer,A,GB
1377,1378,20210605,global professional services company,,company,accenture,O,blockchain solution architect,A,GB
1378,1379,20220220,aims to make the technology of quantum computing accessible to users in research and industry,,,qar-lab – quantum applications and research laboratory,O,project coordinator (m/f/d) in the field of quantum computing,A,DE
1379,1380,20210306,a quantum computing hardware and software company,,company,oxford quantum circuits,O,communications & marketing specialist,A,GB
1380,1381,20210727,global pharmatech company,,company,exscientia,O,research scientist - quantum mechanics,A,GB
1381,1382,20220913,a university,,university,carl von ossietzky universitt oldenburg,U,"postdoc-position in electrophysiology (m,f,d), e13",P,DE
1382,1383,20210326,integrated systems company,,company,rigetti,O,infrastructure software engineer,A,GB
1383,1384,20211030,symmetric encryption reborn for the cloud,category other,,arqit limited,O,systems engineering manager,A,GB
1384,1385,20210531,,,university,university of edinburgh,U,senior research programmer,A,GB
1385,1386,20211201,"a German educational
institution focused on research, teaching, and innovation",,,karlsruhe institute of technology (kit),O,postdoctoral researcher (f/m/d) project a11 electromagnetic fields interacting with quantum matter,P,DE
1386,1387,20220822,,,university,university of glasgow,U,research associate,A,GB
1387,1388,20210623,,,university,saarland university,U,w2-professor of physical and theoretical chemistry (reference w1913),F,DE
1388,1389,20220325,independent quantum computing company,,company,cambridge quantum computing,O,software quality assurance engineer,A,GB
1389,1390,20210228,,,,q-ctrl,O,senior quantum control engineer,A,DE
1390,1391,20220715,,,,infleqtion / coldquanta,O,office manager,A,GB
1391,1392,20220329,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,project management of quantum computing with a focus on software engineering and machine learning,A,DE
1392,1393,20220830,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,phd position multi-qubit control,A,DE
1393,1394,20210414,,,,"leibniz supercomputing centre (leibniz-rechenzentrum, lrz)",O,quantum computing specialist (f/m/d),A,DE
1394,1395,20220423,independent quantum computing company,,company,cambridge quantum computing,O,"partner manager, quantum software",A,GB
1395,1396,20220108,"a computing firm specialising in scalable quantum computers for a number of different industries, including aviation, climate tech, and drug discovery",Service Provider,company,universal quantum,O,quantum hardware engineer,A,GB
