,code,context,work_context
62,19-3091.00,71,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
63,19-3091.00,67,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
64,19-3091.00,65,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
65,19-3091.00,64,Letters and Memos — How often does the job require written letters and memos?
66,19-3091.00,62,Spend Time Sitting — How much does this job require sitting?
67,19-3091.00,59,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
68,19-3091.00,58,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
69,19-3091.00,56,Time Pressure — How often does this job require the worker to meet strict deadlines?
70,19-3091.00,55,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
71,19-3091.00,55,Public Speaking — How often do you have to perform public speaking in this job?
72,19-3091.00,52,Deal With External Customers — How important is it to work with external customers or the public in this job?
73,19-3091.00,51,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
74,19-3091.00,45,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
75,19-3091.00,44,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
76,19-3091.00,43,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
77,19-3091.00,43,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
78,19-3091.00,42,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
79,19-3091.00,40,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
80,19-3091.00,39,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
81,19-3091.00,39,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
82,19-3091.00,37,Spend Time Standing — How much does this job require standing?
83,19-3091.00,36,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
84,19-3091.00,34,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
85,19-3091.00,33,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
86,19-3091.00,31,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
87,19-3091.00,31,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
88,19-3091.00,30,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
89,19-3091.00,30,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
90,19-3091.00,29,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
91,19-3091.00,27,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
92,19-3091.00,27,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
93,19-3091.00,26,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
94,19-3091.00,24,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
95,19-3091.00,24,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
96,19-3091.00,24,Spend Time Walking and Running — How much does this job require walking and running?
97,19-3091.00,17,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
98,19-3091.00,16,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
99,19-3091.00,14,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
100,19-3091.00,12,Exposed to High Places — How often does this job require exposure to high places?
101,19-3091.00,11,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
102,19-3091.00,9,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
103,19-3091.00,9,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
104,19-3091.00,8,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
105,19-3091.00,8,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
106,19-3091.00,6,Degree of Automation — How automated is the job?
107,19-3091.00,5,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
108,19-3091.00,3,Exposed to Radiation — How often does this job require exposure to radiation?
109,19-3091.00,2,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
110,13-2023.00,93,Telephone — How often do you have telephone conversations in this job?
111,13-2023.00,87,Electronic Mail — How often do you use electronic mail in this job?
112,13-2023.00,87,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
113,13-2023.00,84,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
114,13-2023.00,82,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
115,13-2023.00,80,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
116,13-2023.00,79,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
117,13-2023.00,74,Spend Time Sitting — How much does this job require sitting?
118,13-2023.00,74,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
119,13-2023.00,73,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
120,13-2023.00,72,Deal With External Customers — How important is it to work with external customers or the public in this job?
121,13-2023.00,72,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
122,13-2023.00,72,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
123,13-2023.00,68,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
124,13-2023.00,68,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
125,13-2023.00,63,Time Pressure — How often does this job require the worker to meet strict deadlines?
126,13-2023.00,59,Letters and Memos — How often does the job require written letters and memos?
127,13-2023.00,55,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
128,13-2023.00,47,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
129,13-2023.00,47,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
130,13-2023.00,46,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
131,13-2023.00,44,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
132,13-2023.00,44,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
133,13-2023.00,39,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
134,13-2023.00,38,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
135,13-2023.00,36,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
136,13-2023.00,33,Degree of Automation — How automated is the job?
137,13-2023.00,33,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
138,13-2023.00,31,Spend Time Standing — How much does this job require standing?
139,13-2023.00,30,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
140,13-2023.00,28,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
141,13-2023.00,28,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
142,13-2023.00,28,Spend Time Walking and Running — How much does this job require walking and running?
143,13-2023.00,26,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
144,13-2023.00,23,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
145,13-2023.00,19,Public Speaking — How often do you have to perform public speaking in this job?
146,13-2023.00,18,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
147,13-2023.00,15,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
148,13-2023.00,15,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
149,13-2023.00,14,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
150,13-2023.00,14,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
151,13-2023.00,14,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
152,13-2023.00,14,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
153,13-2023.00,13,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
154,13-2023.00,9,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
155,13-2023.00,5,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
156,13-2023.00,5,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
157,13-2023.00,5,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
158,13-2023.00,4,Exposed to High Places — How often does this job require exposure to high places?
159,13-2023.00,3,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
160,13-2023.00,3,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
161,13-2023.00,2,Exposed to Radiation — How often does this job require exposure to radiation?
162,13-2023.00,1,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
163,13-2023.00,1,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
164,13-2023.00,0,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
165,17-3011.00,98,Electronic Mail — How often do you use electronic mail in this job?
166,17-3011.00,97,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
167,17-3011.00,92,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
168,17-3011.00,91,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
169,17-3011.00,88,Spend Time Sitting — How much does this job require sitting?
170,17-3011.00,86,Telephone — How often do you have telephone conversations in this job?
171,17-3011.00,86,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
172,17-3011.00,85,Time Pressure — How often does this job require the worker to meet strict deadlines?
173,17-3011.00,75,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
174,17-3011.00,68,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
175,17-3011.00,67,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
176,17-3011.00,65,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
177,17-3011.00,64,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
178,17-3011.00,61,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
179,17-3011.00,60,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
180,17-3011.00,58,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
181,17-3011.00,57,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
182,17-3011.00,57,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
183,17-3011.00,56,Letters and Memos — How often does the job require written letters and memos?
184,17-3011.00,56,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
185,17-3011.00,52,Deal With External Customers — How important is it to work with external customers or the public in this job?
186,17-3011.00,48,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
187,17-3011.00,44,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
188,17-3011.00,38,Public Speaking — How often do you have to perform public speaking in this job?
189,17-3011.00,37,Degree of Automation — How automated is the job?
190,17-3011.00,37,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
191,17-3011.00,34,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
192,17-3011.00,32,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
193,17-3011.00,31,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
194,17-3011.00,30,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
195,17-3011.00,29,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
196,17-3011.00,29,Spend Time Standing — How much does this job require standing?
197,17-3011.00,21,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
198,17-3011.00,20,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
199,17-3011.00,20,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
200,17-3011.00,18,"Outdoors, Under Cover — How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?"
201,17-3011.00,17,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
202,17-3011.00,17,Spend Time Walking and Running — How much does this job require walking and running?
203,17-3011.00,14,Exposed to High Places — How often does this job require exposure to high places?
204,17-3011.00,13,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
205,17-3011.00,13,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
206,17-3011.00,12,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
207,17-3011.00,10,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
208,17-3011.00,8,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
209,17-3011.00,8,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
210,17-3011.00,8,"Spend Time Climbing Ladders, Scaffolds, or Poles — How much does this job require climbing ladders, scaffolds, or poles?"
211,17-3011.00,7,Pace Determined by Speed of Equipment — How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
212,17-3011.00,6,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
213,17-3011.00,6,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection — How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?"
214,17-3011.00,5,Spend Time Keeping or Regaining Balance — How much does this job require keeping or regaining your balance?
215,17-3011.00,4,Exposed to Disease or Infections — How often does this job require exposure to disease/infections?
216,17-3011.00,4,"In an Open Vehicle or Equipment — How often does this job require working in an open vehicle or equipment (e.g., tractor)?"
217,17-3011.00,0,Deal With Physically Aggressive People — How frequently does this job require the worker to deal with physical aggression of violent individuals?
218,17-3011.00,0,Exposed to Radiation — How often does this job require exposure to radiation?
219,17-3011.00,0,"Exposed to Whole Body Vibration — How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?"
220,49-3023.00,97,"Exposed to Contaminants — How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
221,49-3023.00,95,"Sounds, Noise Levels Are Distracting or Uncomfortable — How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?"
222,49-3023.00,95,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls — How much does this job require using your hands to handle, control, or feel objects, tools or controls?"
223,49-3023.00,92,"In an Enclosed Vehicle or Equipment — How often does this job require working in a closed vehicle or equipment (e.g., car)?"
224,49-3023.00,91,Spend Time Standing — How much does this job require standing?
225,49-3023.00,91,Time Pressure — How often does this job require the worker to meet strict deadlines?
226,49-3023.00,91,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets — How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?"
227,49-3023.00,90,Face-to-Face Discussions — How often do you have to have face-to-face discussions with individuals or teams in this job?
228,49-3023.00,86,"Frequency of Decision Making — How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?"
229,49-3023.00,86,Importance of Being Exact or Accurate — How important is being very exact or highly accurate in performing this job?
230,49-3023.00,85,Exposed to Hazardous Conditions — How often does this job require exposure to hazardous conditions?
231,49-3023.00,81,Exposed to Hazardous Equipment — How often does this job require exposure to hazardous equipment?
232,49-3023.00,81,"Exposed to Minor Burns, Cuts, Bites, or Stings — How often does this job require exposure to minor burns, cuts, bites, or stings?"
233,49-3023.00,80,"Contact With Others — How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
234,49-3023.00,79,"Freedom to Make Decisions — How much decision making freedom, without supervision, does the job offer?"
235,49-3023.00,76,Impact of Decisions on Co-workers or Company Results — What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
236,49-3023.00,75,"Cramped Work Space, Awkward Positions — How often does this job require working in cramped work spaces that requires getting into awkward positions?"
237,49-3023.00,74,"Indoors, Not Environmentally Controlled — How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
238,49-3023.00,74,"Structured versus Unstructured Work — To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
239,49-3023.00,74,Very Hot or Cold Temperatures — How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
240,49-3023.00,71,Telephone — How often do you have telephone conversations in this job?
241,49-3023.00,66,Work With Work Group or Team — How important is it to work with others in a group or team in this job?
242,49-3023.00,65,Spend Time Bending or Twisting the Body — How much does this job require bending or twisting your body?
243,49-3023.00,64,Consequence of Error — How serious would the result usually be if the worker made a mistake that was not readily correctable?
244,49-3023.00,63,Level of Competition — To what extent does this job require the worker to compete or to be aware of competitive pressures?
245,49-3023.00,62,Responsible for Others' Health and Safety — How much responsibility is there for the health and safety of others in this job?
246,49-3023.00,62,Spend Time Making Repetitive Motions — How much does this job require making repetitive motions?
247,49-3023.00,55,Coordinate or Lead Others — How important is it to coordinate or lead others in accomplishing work activities in this job?
248,49-3023.00,55,Deal With External Customers — How important is it to work with external customers or the public in this job?
249,49-3023.00,55,Extremely Bright or Inadequate Lighting — How often does this job require working in extremely bright or inadequate lighting conditions?
250,49-3023.00,54,Frequency of Conflict Situations — How often are there conflict situations the employee has to face in this job?
251,49-3023.00,54,"Importance of Repeating Same Tasks — How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?"
252,49-3023.00,54,Physical Proximity — To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
253,49-3023.00,54,Spend Time Walking and Running — How much does this job require walking and running?
254,49-3023.00,53,"Deal With Unpleasant or Angry People — How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?"
255,49-3023.00,50,Responsibility for Outcomes and Results — How responsible is the worker for work outcomes and results of other workers?
256,49-3023.00,49,Electronic Mail — How often do you use electronic mail in this job?
257,49-3023.00,49,"Outdoors, Exposed to Weather — How often does this job require working outdoors, exposed to all weather conditions?"
258,49-3023.00,49,"Spend Time Kneeling, Crouching, Stooping, or Crawling — How much does this job require kneeling, crouching, stooping or crawling?"
259,49-3023.00,42,Letters and Memos — How often does the job require written letters and memos?
260,49-3023.00,36,"Indoors, Environmentally Controlled — How often does this job require working indoors in environmentally controlled conditions?"
