,code,imortance,work_style
25,27-2011.00,79,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
26,27-2011.00,77,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
27,27-2011.00,76,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
28,27-2011.00,73,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
29,27-2011.00,73,Integrity — Job requires being honest and ethical.
30,27-2011.00,68,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
31,27-2011.00,56,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
32,15-2011.00,95,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
33,15-2011.00,94,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
34,15-2011.00,92,Integrity — Job requires being honest and ethical.
35,15-2011.00,86,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
36,15-2011.00,85,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
37,15-2011.00,80,Persistence — Job requires persistence in the face of obstacles.
38,15-2011.00,79,Initiative — Job requires a willingness to take on responsibilities and challenges.
39,15-2011.00,74,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
40,15-2011.00,70,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
41,15-2011.00,70,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
42,15-2011.00,64,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
43,15-2011.00,61,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
44,15-2011.00,59,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
45,15-2011.00,56,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
46,15-2011.00,40,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
47,15-2011.00,32,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
48,29-1291.00,97,Integrity — Job requires being honest and ethical.
49,29-1291.00,90,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
50,29-1291.00,88,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
51,29-1291.00,86,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
52,29-1291.00,74,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
53,29-1291.00,74,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
54,29-1291.00,73,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
55,29-1291.00,72,Persistence — Job requires persistence in the face of obstacles.
56,29-1291.00,71,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
57,29-1291.00,67,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
58,29-1291.00,66,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
59,29-1291.00,65,Initiative — Job requires a willingness to take on responsibilities and challenges.
60,29-1291.00,61,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
61,29-1291.00,60,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
62,29-1291.00,58,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
63,29-1291.00,56,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
64,29-1141.01,97,Integrity — Job requires being honest and ethical.
65,29-1141.01,97,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
66,29-1141.01,94,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
67,29-1141.01,94,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
68,29-1141.01,93,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
69,29-1141.01,93,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
70,29-1141.01,92,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
71,29-1141.01,90,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
72,29-1141.01,86,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
73,29-1141.01,85,Initiative — Job requires a willingness to take on responsibilities and challenges.
74,29-1141.01,81,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
75,29-1141.01,78,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
76,29-1141.01,78,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
77,29-1141.01,78,Persistence — Job requires persistence in the face of obstacles.
78,29-1141.01,74,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
79,29-1141.01,63,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
80,25-2059.01,93,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
81,25-2059.01,92,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
82,25-2059.01,89,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
83,25-2059.01,89,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
84,25-2059.01,89,Integrity — Job requires being honest and ethical.
85,25-2059.01,88,Initiative — Job requires a willingness to take on responsibilities and challenges.
86,25-2059.01,85,Persistence — Job requires persistence in the face of obstacles.
87,25-2059.01,83,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
88,25-2059.01,83,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
89,25-2059.01,82,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
90,25-2059.01,79,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
91,25-2059.01,78,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
92,25-2059.01,78,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
93,25-2059.01,76,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
94,25-2059.01,76,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
95,25-2059.01,72,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
96,51-9191.00,87,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
97,51-9191.00,80,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
98,51-9191.00,74,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
99,51-9191.00,73,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
100,51-9191.00,71,Integrity — Job requires being honest and ethical.
101,51-9191.00,71,Persistence — Job requires persistence in the face of obstacles.
102,51-9191.00,68,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
103,51-9191.00,67,Initiative — Job requires a willingness to take on responsibilities and challenges.
104,51-9191.00,65,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
105,51-9191.00,64,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
106,51-9191.00,58,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
107,51-9191.00,57,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
108,51-9191.00,55,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
109,51-9191.00,54,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
110,51-9191.00,51,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
111,51-9191.00,49,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
112,23-1021.00,97,Integrity — Job requires being honest and ethical.
113,23-1021.00,94,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
114,23-1021.00,94,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
115,23-1021.00,90,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
116,23-1021.00,89,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
117,23-1021.00,88,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
118,23-1021.00,88,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
119,23-1021.00,86,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
120,23-1021.00,81,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
121,23-1021.00,80,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
122,23-1021.00,76,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
123,23-1021.00,75,Initiative — Job requires a willingness to take on responsibilities and challenges.
124,23-1021.00,72,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
125,23-1021.00,71,Persistence — Job requires persistence in the face of obstacles.
126,23-1021.00,54,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
127,23-1021.00,52,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
128,11-3012.00,93,Integrity — Job requires being honest and ethical.
129,11-3012.00,92,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
130,11-3012.00,88,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
131,11-3012.00,86,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
132,11-3012.00,84,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
133,11-3012.00,83,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
134,11-3012.00,81,Initiative — Job requires a willingness to take on responsibilities and challenges.
135,11-3012.00,80,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
136,11-3012.00,78,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
137,11-3012.00,76,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
138,11-3012.00,76,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
139,11-3012.00,75,Persistence — Job requires persistence in the face of obstacles.
140,11-3012.00,74,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
141,11-3012.00,74,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
142,11-3012.00,71,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
143,11-3012.00,66,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
144,25-3011.00,90,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
145,25-3011.00,88,Integrity — Job requires being honest and ethical.
146,25-3011.00,86,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
147,25-3011.00,83,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
148,25-3011.00,82,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
149,25-3011.00,82,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
150,25-3011.00,81,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
151,25-3011.00,79,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
152,25-3011.00,73,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
153,25-3011.00,73,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
154,25-3011.00,70,Initiative — Job requires a willingness to take on responsibilities and challenges.
155,25-3011.00,70,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
156,25-3011.00,69,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
157,25-3011.00,69,Persistence — Job requires persistence in the face of obstacles.
158,25-3011.00,68,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
159,25-3011.00,65,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
160,29-1141.02,97,Integrity — Job requires being honest and ethical.
161,29-1141.02,95,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
162,29-1141.02,95,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
163,29-1141.02,94,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
164,29-1141.02,94,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
165,29-1141.02,94,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
166,29-1141.02,92,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
167,29-1141.02,88,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
168,29-1141.02,88,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
169,29-1141.02,87,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
170,29-1141.02,86,Initiative — Job requires a willingness to take on responsibilities and challenges.
171,29-1141.02,85,Persistence — Job requires persistence in the face of obstacles.
172,29-1141.02,83,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
173,29-1141.02,81,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
174,29-1141.02,79,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
175,29-1141.02,75,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
176,11-2011.00,89,Initiative — Job requires a willingness to take on responsibilities and challenges.
177,11-2011.00,88,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
178,11-2011.00,88,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
179,11-2011.00,87,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
180,11-2011.00,86,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
181,11-2011.00,84,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
182,11-2011.00,83,Persistence — Job requires persistence in the face of obstacles.
183,11-2011.00,80,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
184,11-2011.00,79,Integrity — Job requires being honest and ethical.
185,11-2011.00,78,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
186,11-2011.00,76,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
187,11-2011.00,76,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
188,11-2011.00,75,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
189,11-2011.00,72,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
190,11-2011.00,70,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
191,11-2011.00,68,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
192,41-3011.00,88,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
193,41-3011.00,88,Initiative — Job requires a willingness to take on responsibilities and challenges.
194,41-3011.00,87,Persistence — Job requires persistence in the face of obstacles.
195,41-3011.00,86,Integrity — Job requires being honest and ethical.
196,41-3011.00,85,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
197,41-3011.00,84,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
198,41-3011.00,84,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
199,41-3011.00,79,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
200,41-3011.00,77,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
201,41-3011.00,74,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
202,41-3011.00,70,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
203,41-3011.00,70,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
204,41-3011.00,70,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
205,41-3011.00,66,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
206,41-3011.00,66,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
207,41-3011.00,63,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
208,17-3021.00,94,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
209,17-3021.00,90,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
210,17-3021.00,87,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
211,17-3021.00,86,Integrity — Job requires being honest and ethical.
212,17-3021.00,84,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
213,17-3021.00,81,Initiative — Job requires a willingness to take on responsibilities and challenges.
214,17-3021.00,81,Persistence — Job requires persistence in the face of obstacles.
215,17-3021.00,79,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
216,17-3021.00,77,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
217,17-3021.00,70,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
218,17-3021.00,68,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
219,17-3021.00,65,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
220,17-3021.00,59,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
221,17-3021.00,56,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
222,17-3021.00,49,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
223,17-3021.00,48,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
224,17-2011.00,92,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
225,17-2011.00,88,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
226,17-2011.00,79,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
227,17-2011.00,78,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
228,17-2011.00,78,Initiative — Job requires a willingness to take on responsibilities and challenges.
229,17-2011.00,78,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
230,17-2011.00,77,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
231,17-2011.00,76,Persistence — Job requires persistence in the face of obstacles.
232,17-2011.00,74,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
233,17-2011.00,72,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
234,17-2011.00,72,Integrity — Job requires being honest and ethical.
235,17-2011.00,69,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
236,17-2011.00,60,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
237,17-2011.00,55,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
238,17-2011.00,49,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
239,17-2011.00,44,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
240,13-1011.00,90,Persistence — Job requires persistence in the face of obstacles.
241,13-1011.00,85,Initiative — Job requires a willingness to take on responsibilities and challenges.
242,13-1011.00,84,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
243,13-1011.00,84,Integrity — Job requires being honest and ethical.
244,13-1011.00,83,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
245,13-1011.00,81,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
246,13-1011.00,75,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
247,13-1011.00,73,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
248,13-1011.00,70,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
249,13-1011.00,69,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
250,13-1011.00,69,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
251,13-1011.00,68,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
252,13-1011.00,67,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
253,13-1011.00,66,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
254,13-1011.00,66,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
255,13-1011.00,60,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
256,17-2021.00,90,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
257,17-2021.00,87,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
258,17-2021.00,87,Integrity — Job requires being honest and ethical.
259,17-2021.00,85,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
260,17-2021.00,79,Initiative — Job requires a willingness to take on responsibilities and challenges.
261,17-2021.00,77,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
262,17-2021.00,76,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
263,17-2021.00,76,Persistence — Job requires persistence in the face of obstacles.
264,17-2021.00,75,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
265,17-2021.00,71,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
266,17-2021.00,70,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
267,17-2021.00,67,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
268,17-2021.00,64,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
269,17-2021.00,62,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
270,17-2021.00,58,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
271,17-2021.00,46,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
272,45-2091.00,71,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
273,45-2091.00,71,Persistence — Job requires persistence in the face of obstacles.
274,45-2091.00,70,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
275,45-2091.00,69,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
276,45-2091.00,69,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
277,45-2091.00,66,Initiative — Job requires a willingness to take on responsibilities and challenges.
278,45-2091.00,63,Integrity — Job requires being honest and ethical.
279,45-2091.00,61,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
280,45-2091.00,60,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
281,45-2091.00,58,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
282,45-2091.00,58,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
283,45-2091.00,57,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
284,45-2091.00,56,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
285,45-2091.00,56,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
286,45-2091.00,53,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
287,45-2091.00,52,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
288,45-2011.00,92,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
289,45-2011.00,91,Integrity — Job requires being honest and ethical.
290,45-2011.00,87,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
291,45-2011.00,82,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
292,45-2011.00,80,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
