,code,importance,skill
29,13-2011.00,3,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
30,13-2011.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
31,13-2011.00,0,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
32,13-2011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
33,13-2011.00,0,Operation and Control — Controlling operations of equipment or systems.
34,13-2011.00,0,Repairing — Repairing machines or systems using the needed tools.
35,27-2011.00,72,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
36,27-2011.00,72,Speaking — Talking to others to convey information effectively.
37,27-2011.00,69,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
38,27-2011.00,69,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
39,27-2011.00,50,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
40,27-2011.00,50,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
41,27-2011.00,50,Time Management — Managing one's own time and the time of others.
42,27-2011.00,47,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
43,27-2011.00,47,Coordination — Adjusting actions in relation to others' actions.
44,27-2011.00,47,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
45,27-2011.00,47,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
46,27-2011.00,44,Instructing — Teaching others how to do something.
47,27-2011.00,44,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
48,27-2011.00,41,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
49,27-2011.00,38,Negotiation — Bringing others together and trying to reconcile differences.
50,27-2011.00,38,Persuasion — Persuading others to change their minds or behavior.
51,27-2011.00,35,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
52,27-2011.00,28,Service Orientation — Actively looking for ways to help people.
53,27-2011.00,25,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
54,27-2011.00,25,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
55,27-2011.00,19,Operations Analysis — Analyzing needs and product requirements to create a design.
56,27-2011.00,13,Science — Using scientific rules and methods to solve problems.
57,27-2011.00,6,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
58,27-2011.00,6,Technology Design — Generating or adapting equipment and technology to serve user needs.
59,27-2011.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
60,27-2011.00,0,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
61,27-2011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
62,27-2011.00,0,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
63,27-2011.00,0,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
64,27-2011.00,0,Mathematics — Using mathematics to solve problems.
65,27-2011.00,0,Operation and Control — Controlling operations of equipment or systems.
66,27-2011.00,0,Programming — Writing computer programs for various purposes.
67,27-2011.00,0,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
68,27-2011.00,0,Repairing — Repairing machines or systems using the needed tools.
69,27-2011.00,0,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
70,15-2011.00,81,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
71,15-2011.00,81,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
72,15-2011.00,81,Mathematics — Using mathematics to solve problems.
73,15-2011.00,78,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
74,15-2011.00,75,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
75,15-2011.00,75,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
76,15-2011.00,75,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
77,15-2011.00,72,Speaking — Talking to others to convey information effectively.
78,15-2011.00,72,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
79,15-2011.00,60,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
80,15-2011.00,60,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
81,15-2011.00,56,Operations Analysis — Analyzing needs and product requirements to create a design.
82,15-2011.00,53,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
83,15-2011.00,53,Time Management — Managing one's own time and the time of others.
84,15-2011.00,50,Coordination — Adjusting actions in relation to others' actions.
85,15-2011.00,50,Instructing — Teaching others how to do something.
86,15-2011.00,50,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
87,15-2011.00,50,Negotiation — Bringing others together and trying to reconcile differences.
88,15-2011.00,50,Persuasion — Persuading others to change their minds or behavior.
89,15-2011.00,47,Service Orientation — Actively looking for ways to help people.
90,15-2011.00,47,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
91,15-2011.00,44,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
92,15-2011.00,41,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
93,15-2011.00,38,Programming — Writing computer programs for various purposes.
94,15-2011.00,28,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
95,15-2011.00,28,Science — Using scientific rules and methods to solve problems.
96,15-2011.00,25,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
97,15-2011.00,22,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
98,15-2011.00,19,Technology Design — Generating or adapting equipment and technology to serve user needs.
99,15-2011.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
100,15-2011.00,0,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
101,15-2011.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
102,15-2011.00,0,Operation and Control — Controlling operations of equipment or systems.
103,15-2011.00,0,Repairing — Repairing machines or systems using the needed tools.
104,15-2011.00,0,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
105,29-1291.00,72,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
106,29-1291.00,69,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
107,29-1291.00,69,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
108,29-1291.00,66,Service Orientation — Actively looking for ways to help people.
109,29-1291.00,63,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
110,29-1291.00,63,Speaking — Talking to others to convey information effectively.
111,29-1291.00,60,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
112,29-1291.00,56,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
113,29-1291.00,53,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
114,29-1291.00,53,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
115,29-1291.00,53,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
116,29-1291.00,50,Coordination — Adjusting actions in relation to others' actions.
117,29-1291.00,50,Time Management — Managing one's own time and the time of others.
118,29-1291.00,47,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
119,29-1291.00,47,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
120,29-1291.00,44,Instructing — Teaching others how to do something.
121,29-1291.00,41,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
122,29-1291.00,41,Persuasion — Persuading others to change their minds or behavior.
123,29-1291.00,38,Science — Using scientific rules and methods to solve problems.
124,29-1291.00,31,Negotiation — Bringing others together and trying to reconcile differences.
125,29-1291.00,28,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
126,29-1291.00,25,Mathematics — Using mathematics to solve problems.
127,29-1291.00,25,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
128,29-1291.00,25,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
129,29-1291.00,19,Operation and Control — Controlling operations of equipment or systems.
130,29-1291.00,19,Operations Analysis — Analyzing needs and product requirements to create a design.
131,29-1291.00,19,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
132,29-1291.00,16,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
133,29-1291.00,13,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
134,29-1291.00,13,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
135,29-1291.00,13,Technology Design — Generating or adapting equipment and technology to serve user needs.
136,29-1291.00,6,Programming — Writing computer programs for various purposes.
137,29-1291.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
138,29-1291.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
139,29-1291.00,0,Repairing — Repairing machines or systems using the needed tools.
140,29-1141.01,75,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
141,29-1141.01,75,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
142,29-1141.01,75,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
143,29-1141.01,75,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
144,29-1141.01,75,Service Orientation — Actively looking for ways to help people.
145,29-1141.01,75,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
146,29-1141.01,75,Speaking — Talking to others to convey information effectively.
147,29-1141.01,69,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
148,29-1141.01,69,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
149,29-1141.01,69,Coordination — Adjusting actions in relation to others' actions.
150,29-1141.01,69,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
151,29-1141.01,63,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
152,29-1141.01,60,Instructing — Teaching others how to do something.
153,29-1141.01,53,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
154,29-1141.01,53,Time Management — Managing one's own time and the time of others.
155,29-1141.01,50,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
156,29-1141.01,50,Negotiation — Bringing others together and trying to reconcile differences.
157,29-1141.01,50,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
158,29-1141.01,50,Persuasion — Persuading others to change their minds or behavior.
159,29-1141.01,50,Science — Using scientific rules and methods to solve problems.
160,29-1141.01,50,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
161,29-1141.01,50,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
162,29-1141.01,47,Operation and Control — Controlling operations of equipment or systems.
163,29-1141.01,44,Mathematics — Using mathematics to solve problems.
164,29-1141.01,38,Operations Analysis — Analyzing needs and product requirements to create a design.
165,29-1141.01,35,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
166,29-1141.01,28,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
167,29-1141.01,25,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
168,29-1141.01,25,Technology Design — Generating or adapting equipment and technology to serve user needs.
169,29-1141.01,25,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
170,29-1141.01,22,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
171,29-1141.01,16,Programming — Writing computer programs for various purposes.
172,29-1141.01,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
173,29-1141.01,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
174,29-1141.01,0,Repairing — Repairing machines or systems using the needed tools.
175,25-2059.01,78,Instructing — Teaching others how to do something.
176,25-2059.01,75,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
177,25-2059.01,75,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
178,25-2059.01,75,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
179,25-2059.01,75,Speaking — Talking to others to convey information effectively.
180,25-2059.01,72,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
181,25-2059.01,72,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
182,25-2059.01,72,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
183,25-2059.01,72,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
184,25-2059.01,72,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
185,25-2059.01,72,Service Orientation — Actively looking for ways to help people.
186,25-2059.01,72,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
187,25-2059.01,63,Coordination — Adjusting actions in relation to others' actions.
188,25-2059.01,56,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
189,25-2059.01,53,Persuasion — Persuading others to change their minds or behavior.
190,25-2059.01,53,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
191,25-2059.01,53,Time Management — Managing one's own time and the time of others.
192,25-2059.01,50,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
193,25-2059.01,50,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
194,25-2059.01,47,Negotiation — Bringing others together and trying to reconcile differences.
195,25-2059.01,28,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
196,25-2059.01,25,Mathematics — Using mathematics to solve problems.
197,25-2059.01,25,Operations Analysis — Analyzing needs and product requirements to create a design.
198,25-2059.01,25,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
199,25-2059.01,22,Technology Design — Generating or adapting equipment and technology to serve user needs.
200,25-2059.01,22,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
201,25-2059.01,19,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
202,25-2059.01,13,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
203,25-2059.01,13,Operation and Control — Controlling operations of equipment or systems.
204,25-2059.01,13,Science — Using scientific rules and methods to solve problems.
205,25-2059.01,6,Programming — Writing computer programs for various purposes.
206,25-2059.01,3,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
207,25-2059.01,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
208,25-2059.01,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
209,25-2059.01,0,Repairing — Repairing machines or systems using the needed tools.
210,51-9191.00,72,Operation and Control — Controlling operations of equipment or systems.
211,51-9191.00,69,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
212,51-9191.00,53,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
213,51-9191.00,53,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
214,51-9191.00,53,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
215,51-9191.00,53,Speaking — Talking to others to convey information effectively.
216,51-9191.00,50,Coordination — Adjusting actions in relation to others' actions.
217,51-9191.00,50,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
218,51-9191.00,50,Repairing — Repairing machines or systems using the needed tools.
219,51-9191.00,50,Time Management — Managing one's own time and the time of others.
220,51-9191.00,50,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
221,51-9191.00,47,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
222,51-9191.00,47,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
223,51-9191.00,47,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
224,51-9191.00,44,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
225,51-9191.00,44,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
226,51-9191.00,44,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
227,51-9191.00,41,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
228,51-9191.00,41,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
229,51-9191.00,38,Mathematics — Using mathematics to solve problems.
230,51-9191.00,31,Instructing — Teaching others how to do something.
231,51-9191.00,31,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
232,51-9191.00,31,Service Orientation — Actively looking for ways to help people.
233,51-9191.00,28,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
234,51-9191.00,28,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
235,51-9191.00,25,Persuasion — Persuading others to change their minds or behavior.
236,51-9191.00,22,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
237,51-9191.00,22,Negotiation — Bringing others together and trying to reconcile differences.
238,51-9191.00,19,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
239,51-9191.00,19,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
240,51-9191.00,19,Operations Analysis — Analyzing needs and product requirements to create a design.
241,51-9191.00,16,Programming — Writing computer programs for various purposes.
242,51-9191.00,13,Science — Using scientific rules and methods to solve problems.
243,51-9191.00,6,Technology Design — Generating or adapting equipment and technology to serve user needs.
244,51-9191.00,3,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
245,23-1021.00,81,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
246,23-1021.00,81,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
247,23-1021.00,81,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
248,23-1021.00,78,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
249,23-1021.00,78,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
250,23-1021.00,75,Speaking — Talking to others to convey information effectively.
251,23-1021.00,72,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
252,23-1021.00,72,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
253,23-1021.00,69,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
254,23-1021.00,66,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
255,23-1021.00,56,Negotiation — Bringing others together and trying to reconcile differences.
256,23-1021.00,56,Time Management — Managing one's own time and the time of others.
257,23-1021.00,50,Coordination — Adjusting actions in relation to others' actions.
258,23-1021.00,50,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
259,23-1021.00,50,Persuasion — Persuading others to change their minds or behavior.
260,23-1021.00,50,Service Orientation — Actively looking for ways to help people.
261,23-1021.00,44,Instructing — Teaching others how to do something.
262,23-1021.00,44,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
263,23-1021.00,44,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
264,23-1021.00,41,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
265,23-1021.00,28,Mathematics — Using mathematics to solve problems.
266,23-1021.00,22,Operations Analysis — Analyzing needs and product requirements to create a design.
267,23-1021.00,19,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
268,23-1021.00,19,Technology Design — Generating or adapting equipment and technology to serve user needs.
269,23-1021.00,16,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
270,23-1021.00,16,Science — Using scientific rules and methods to solve problems.
271,23-1021.00,13,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
272,23-1021.00,13,Programming — Writing computer programs for various purposes.
273,23-1021.00,3,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
274,23-1021.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
275,23-1021.00,0,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
276,23-1021.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
277,23-1021.00,0,Operation and Control — Controlling operations of equipment or systems.
278,23-1021.00,0,Repairing — Repairing machines or systems using the needed tools.
279,23-1021.00,0,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
280,11-3012.00,75,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
281,11-3012.00,75,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
282,11-3012.00,75,Time Management — Managing one's own time and the time of others.
283,11-3012.00,72,Speaking — Talking to others to convey information effectively.
284,11-3012.00,69,Coordination — Adjusting actions in relation to others' actions.
285,11-3012.00,69,"Critical Thinking — Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
286,11-3012.00,69,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
287,11-3012.00,66,Negotiation — Bringing others together and trying to reconcile differences.
288,11-3012.00,60,"Management of Personnel Resources — Motivating, developing, and directing people as they work, identifying the best people for the job."
289,11-3012.00,60,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
290,11-3012.00,56,Complex Problem Solving — Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
291,11-3012.00,56,Judgment and Decision Making — Considering the relative costs and benefits of potential actions to choose the most appropriate one.
292,11-3012.00,56,Service Orientation — Actively looking for ways to help people.
293,11-3012.00,56,Social Perceptiveness — Being aware of others' reactions and understanding why they react as they do.
294,11-3012.00,53,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
295,11-3012.00,53,"Systems Analysis — Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
296,11-3012.00,50,Instructing — Teaching others how to do something.
297,11-3012.00,50,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
298,11-3012.00,50,Persuasion — Persuading others to change their minds or behavior.
299,11-3012.00,47,"Management of Financial Resources — Determining how money will be spent to get the work done, and accounting for these expenditures."
300,11-3012.00,47,"Management of Material Resources — Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
301,11-3012.00,44,Operations Analysis — Analyzing needs and product requirements to create a design.
302,11-3012.00,44,"Systems Evaluation — Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
303,11-3012.00,31,Mathematics — Using mathematics to solve problems.
304,11-3012.00,31,"Operations Monitoring — Watching gauges, dials, or other indicators to make sure a machine is working properly."
305,11-3012.00,31,"Quality Control Analysis — Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
306,11-3012.00,22,Troubleshooting — Determining causes of operating errors and deciding what to do about it.
307,11-3012.00,16,Operation and Control — Controlling operations of equipment or systems.
308,11-3012.00,13,Technology Design — Generating or adapting equipment and technology to serve user needs.
309,11-3012.00,10,Programming — Writing computer programs for various purposes.
310,11-3012.00,3,Equipment Selection — Determining the kind of tools and equipment needed to do a job.
311,11-3012.00,0,Equipment Maintenance — Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
312,11-3012.00,0,"Installation — Installing equipment, machines, wiring, or programs to meet specifications."
313,11-3012.00,0,Repairing — Repairing machines or systems using the needed tools.
314,11-3012.00,0,Science — Using scientific rules and methods to solve problems.
315,25-3011.00,81,Instructing — Teaching others how to do something.
316,25-3011.00,69,"Active Listening — Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
317,25-3011.00,69,Learning Strategies — Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
318,25-3011.00,69,Reading Comprehension — Understanding written sentences and paragraphs in work-related documents.
319,25-3011.00,69,Speaking — Talking to others to convey information effectively.
320,25-3011.00,66,"Monitoring — Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
321,25-3011.00,66,Writing — Communicating effectively in writing as appropriate for the needs of the audience.
322,25-3011.00,63,Active Learning — Understanding the implications of new information for both current and future problem-solving and decision-making.
