,code,detailed_work_activity
77,29-1141.01,Establish nursing policies or standards.
78,25-2059.01,Modify teaching methods or materials to accommodate student needs.
79,25-2059.01,Teach physical education.
80,25-2059.01,Encourage students.
81,25-2059.01,Establish rules or policies governing student behavior.
82,25-2059.01,Assist students with special educational needs.
83,25-2059.01,Assess educational needs of students.
84,25-2059.01,Administer tests to assess educational needs or progress.
85,25-2059.01,Collaborate with other professionals to develop education or assistance programs.
86,25-2059.01,"Advise educators on curricula, instructional methods, or policies."
87,25-2059.01,Maintain student records.
88,25-2059.01,Develop strategies or programs for students with special needs.
89,25-2059.01,Discuss problems or issues with supervisors.
90,25-2059.01,Discuss student progress with parents or guardians.
91,25-2059.01,Prepare reports detailing student activities or performance.
92,25-2059.01,Document lesson plans.
93,25-2059.01,Attend training sessions or professional meetings to develop or maintain professional knowledge.
94,25-2059.01,Determine operational compliance with regulations or standards.
95,25-2059.01,Evaluate effectiveness of educational programs.
96,25-2059.01,Order instructional or library materials or equipment.
97,25-2059.01,"Maintain inventories of materials, equipment, or products."
98,51-9191.00,Align parts or workpieces to ensure proper assembly.
99,51-9191.00,Adjust equipment controls to regulate flow of production materials or products.
100,51-9191.00,Notify others of equipment repair or maintenance needs.
101,51-9191.00,Watch operating equipment to detect malfunctions.
102,51-9191.00,Adjust temperature controls of ovens or other heating equipment.
103,51-9191.00,Load materials into production equipment.
104,51-9191.00,Conduct test runs of production equipment.
105,51-9191.00,Exchange information with colleagues.
106,51-9191.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
107,51-9191.00,Read work orders or other instructions to determine product specifications or materials requirements.
108,51-9191.00,Study blueprints or other instructions to determine equipment setup requirements.
109,51-9191.00,Remove products or workpieces from production equipment.
110,51-9191.00,Stack finished items for further processing or shipment.
111,51-9191.00,Clear equipment jams.
112,51-9191.00,Monitor instruments to ensure proper production conditions.
113,51-9191.00,Record operational or production data.
114,51-9191.00,Mount materials or workpieces onto production equipment.
115,51-9191.00,Clean production equipment.
116,51-9191.00,Maintain production or processing equipment.
117,51-9191.00,"Move products, materials, or equipment between work areas."
118,51-9191.00,Operate forklifts or other loaders.
119,51-9191.00,Measure ingredients or substances to be used in production processes.
120,51-9191.00,Mix substances to create chemical solutions.
121,51-9191.00,Operate heating or drying equipment.
122,23-1021.00,Make decisions in legal cases.
123,23-1021.00,Direct courtroom activities or procedures.
124,23-1021.00,Prepare written decisions for legal proceedings.
125,23-1021.00,Authorize payments to settle legal disputes.
126,23-1021.00,Conduct hearings to investigate legal issues.
127,23-1021.00,Research relevant legal materials to aid decision making.
128,23-1021.00,Evaluate information related to legal matters in public or personal records.
129,23-1021.00,Identify implications for cases from legal precedents or other legal information.
130,23-1021.00,Provide legal advice to clients.
131,23-1021.00,Rule on admissibility of legal proceedings.
132,23-1021.00,Coordinate legal schedules or activities.
133,23-1021.00,Interview claimants to get information related to legal proceedings.
134,23-1021.00,Administer oaths to court participants.
135,23-1021.00,Prepare legal documents.
136,11-3012.00,Prepare operational budgets.
137,11-3012.00,Hire personnel.
138,11-3012.00,Direct administrative or support services.
139,11-3012.00,Develop organizational goals or objectives.
140,11-3012.00,Prepare operational progress or status reports.
141,11-3012.00,Manage inventories of products or organizational resources.
142,11-3012.00,"Purchase materials, equipment, or other resources."
143,11-3012.00,Analyze data to inform operational decisions or activities.
144,11-3012.00,Recommend organizational process or policy changes.
145,11-3012.00,Conduct employee training programs.
146,11-3012.00,"Communicate technical information to suppliers, contractors, or regulatory agencies."
147,11-3012.00,Confer with managers to make operational decisions.
148,11-3012.00,Develop organizational policies or programs.
149,11-3012.00,"Establish standards for products, processes, or procedures."
150,11-3012.00,Evaluate information related to legal matters in public or personal records.
151,11-3012.00,Maintain current knowledge related to work activities.
152,11-3012.00,"Maintain records, documents, or other files."
153,11-3012.00,Manage human resources activities.
154,11-3012.00,Prepare employee work schedules.
155,11-3012.00,Read documents to gather technical information.
156,11-3012.00,Respond to customer problems or complaints.
157,11-3012.00,Select resources needed to accomplish tasks.
158,11-3012.00,Supervise clerical or administrative personnel.
159,25-3011.00,Evaluate student work.
160,25-3011.00,Monitor student performance.
161,25-3011.00,Assess educational needs of students.
162,25-3011.00,Develop instructional objectives.
163,25-3011.00,Modify teaching methods or materials to accommodate student needs.
164,25-3011.00,Encourage students.
165,25-3011.00,Set up classroom materials or equipment.
166,25-3011.00,Plan educational activities.
167,25-3011.00,Apply multiple teaching methods.
168,25-3011.00,Assign class work to students.
169,25-3011.00,Maintain student records.
170,25-3011.00,Establish rules or policies governing student behavior.
171,25-3011.00,Assist students with special educational needs.
172,25-3011.00,Administer tests to assess educational needs or progress.
173,25-3011.00,Prepare tests.
174,25-3011.00,Advise students on academic or career matters.
175,25-3011.00,Develop strategies or programs for students with special needs.
176,25-3011.00,Document lesson plans.
177,25-3011.00,Enforce rules or policies governing student behavior.
178,25-3011.00,Create technology-based learning materials.
179,25-3011.00,Prepare reports detailing student activities or performance.
180,25-3011.00,Evaluate effectiveness of educational programs.
181,25-3011.00,Schedule instructional activities.
182,25-3011.00,Perform student enrollment or registration activities.
183,25-3011.00,Collaborate with other teaching professionals to develop educational programs.
184,25-3011.00,Train staff members.
185,25-3011.00,Serve on institutional or departmental committees.
186,25-3011.00,Discuss problems or issues with supervisors.
187,25-3011.00,Distribute instructional or library materials.
188,25-3011.00,Order instructional or library materials or equipment.
189,25-3011.00,Select educational materials or equipment.
190,25-3011.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
191,25-3011.00,Plan experiential learning activities.
192,25-3011.00,Collaborate with other agencies and institutions to coordinate educational matters.
193,25-3011.00,Evaluate performance of educational staff.
194,25-3011.00,Promote educational institutions or programs.
195,25-3011.00,Write grant proposals.
196,25-3011.00,"Write articles, books or other original materials in area of expertise."
197,29-1141.02,Monitor patient progress or responses to treatments.
198,29-1141.02,Record patient medical histories.
199,29-1141.02,Analyze patient data to determine patient needs or treatment goals.
200,29-1141.02,Diagnose medical conditions.
201,29-1141.02,"Evaluate patient functioning, capabilities, or health."
202,29-1141.02,Explain medical procedures or test results to patients or family members.
203,29-1141.02,Collaborate with healthcare professionals to plan or provide treatment.
204,29-1141.02,Prescribe medications.
205,29-1141.02,Develop medical treatment plans.
206,29-1141.02,Maintain medical or professional knowledge.
207,29-1141.02,Analyze test data or images to inform diagnosis or treatment.
208,29-1141.02,Treat patients using psychological therapies.
209,29-1141.02,Establish nursing policies or standards.
210,29-1141.02,Refer patients to other healthcare practitioners or health resources.
211,29-1141.02,Examine patients to assess general physical condition.
212,29-1141.02,Administer basic health care or medical treatments.
213,29-1141.02,Design public or employee health programs.
214,29-1141.02,Teach health management classes.
215,29-1141.02,Administer intravenous medications.
216,29-1141.02,Maintain inventory of medical supplies or equipment.
217,11-2011.00,Develop promotional materials.
218,11-2011.00,Examine marketing materials to ensure compliance with policies or regulations.
219,11-2011.00,Confer with organizational members to accomplish work activities.
220,11-2011.00,Coordinate operational activities with external stakeholders.
221,11-2011.00,Evaluate employee performance.
222,11-2011.00,Supervise employees.
223,11-2011.00,"Direct organizational operations, projects, or services."
224,11-2011.00,Direct financial operations.
225,11-2011.00,"Direct sales, marketing, or customer service activities."
226,11-2011.00,Develop marketing plans or strategies.
227,11-2011.00,Coordinate special events or programs.
228,11-2011.00,Implement organizational process or policy changes.
229,11-2011.00,Monitor performance of organizational members or partners.
230,11-2011.00,Negotiate sales or lease agreements for products or services.
231,11-2011.00,"Prepare financial documents, reports, or budgets."
232,11-2011.00,Prepare operational budgets.
233,11-2011.00,Conduct employee training programs.
234,11-2011.00,Establish interpersonal business relationships to facilitate work activities.
235,11-2011.00,Analyze data to assess operational or project effectiveness.
236,11-2011.00,"Promote products, services, or programs."
237,11-2011.00,Manage organizational or project budgets.
238,11-2011.00,Advise customers on technical or procedural issues.
239,11-2011.00,Represent the organization in external relations.
240,11-2011.00,"Manage operations, research, or logistics projects."
241,11-2011.00,Maintain knowledge of current developments in area of expertise.
242,11-2011.00,Analyze market research data.
243,11-2011.00,Analyze forecasting data to improve business decisions.
244,11-2011.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
245,11-2011.00,Conduct market research.
246,11-2011.00,Develop marketing plans or strategies for environmental initiatives.
247,11-2011.00,Develop procedures to evaluate organizational activities.
248,11-2011.00,Evaluate program effectiveness.
249,11-2011.00,Maintain operational records for green energy processes or other environmentally-sustainable activities.
250,41-3011.00,Develop content for sales presentations or other materials.
251,41-3011.00,Deliver promotional presentations to current or prospective customers.
252,41-3011.00,Identify potential customers.
253,41-3011.00,Develop professional relationships or networks.
254,41-3011.00,Estimate costs or terms of sales.
255,41-3011.00,Contact current or potential customers to promote products or services.
256,41-3011.00,Explain technical product or service information to customers.
257,41-3011.00,Gather customer or product information to determine customer needs.
258,41-3011.00,Study product information to acquire professional knowledge.
259,41-3011.00,Prepare sales or other contracts.
260,41-3011.00,"Prepare documentation for contracts, transactions, or regulatory compliance."
261,41-3011.00,Process sales or other transactions.
262,41-3011.00,Present work to clients for approval.
263,41-3011.00,Distribute promotional literature or samples to customers.
264,41-3011.00,Develop marketing plans or strategies.
265,41-3011.00,Develop proposals for current or prospective customers.
266,41-3011.00,Negotiate sales or lease agreements for products or services.
267,41-3011.00,Accompany patients or clients on outings to provide assistance.
268,41-3011.00,Schedule operational activities.
269,41-3011.00,Attend events to develop professional knowledge.
270,17-3021.00,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
271,17-3021.00,Estimate technical or resource requirements for development or production projects.
272,17-3021.00,Inspect equipment or systems.
273,17-3021.00,Confer with technical personnel to prepare designs or operational plans.
274,17-3021.00,Document design or operational test results.
275,17-3021.00,Interpret design or operational test results.
276,17-3021.00,Operate computer systems.
277,17-3021.00,Maintain test equipment.
278,17-3021.00,Calibrate scientific or technical equipment.
279,17-3021.00,Fabricate devices or components.
280,17-3021.00,Install production equipment or systems.
281,17-3021.00,Assemble equipment or components.
282,17-3021.00,Design electrical equipment or systems.
283,17-3021.00,Document technical design details.
284,17-3021.00,Maintain mechanical equipment.
285,17-2011.00,Create models of engineering designs or methods.
286,17-2011.00,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
287,17-2011.00,Design electromechanical equipment or systems.
288,17-2011.00,Direct quality control activities.
289,17-2011.00,Prepare procedural documents.
290,17-2011.00,Direct design or development activities.
291,17-2011.00,Evaluate designs or specifications to ensure quality.
292,17-2011.00,Inspect equipment or systems.
293,17-2011.00,"Investigate system, equipment, or product failures."
294,17-2011.00,Determine design criteria or specifications.
295,17-2011.00,Analyze design or requirements information for mechanical equipment or systems.
296,17-2011.00,Maintain operational records or records systems.
297,17-2011.00,Research engineering applications of emerging technologies.
298,17-2011.00,Evaluate plans or specifications to determine technological or environmental implications.
299,17-2011.00,Design systems to reduce harmful emissions.
300,17-2011.00,Research design or application of green technologies.
301,13-1011.00,Collect payments for goods or services.
302,13-1011.00,Distribute promotional literature or samples to customers.
303,13-1011.00,Perform marketing activities.
304,13-1011.00,Update professional knowledge.
305,13-1011.00,Arrange collective bargaining agreements.
306,13-1011.00,Conduct eligibility or selection interviews.
307,13-1011.00,Correspond with customers to answer questions or resolve complaints.
308,13-1011.00,Develop business relationships.
309,13-1011.00,Organize special events.
310,13-1011.00,Implement financial decisions.
311,13-1011.00,"Market products, services, or events."
312,13-1011.00,Administer personnel recruitment or hiring activities.
313,13-1011.00,Prepare financial documents.
314,13-1011.00,Inspect facilities or equipment to ensure specifications are met.
315,13-1011.00,Advise others on legal or regulatory compliance matters.
316,13-1011.00,Recommend investments to clients.
317,17-2021.00,Create graphical representations of mechanical equipment.
318,17-2021.00,Document technical design details.
319,17-2021.00,Prepare proposal documents.
320,17-2021.00,Discuss designs or plans with clients.
321,17-2021.00,"Communicate technical information to suppliers, contractors, or regulatory agencies."
322,17-2021.00,Advise others regarding green practices or environmental concerns.
323,17-2021.00,Prepare detailed work plans.
324,17-2021.00,Confer with other personnel to resolve design or operational problems.
325,17-2021.00,Design industrial processing systems.
326,17-2021.00,Investigate the environmental impact of projects.
327,17-2021.00,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
328,17-2021.00,Design structures or facilities.
329,17-2021.00,Direct construction activities.
330,17-2021.00,Develop operational methods or processes that use green materials or emphasize sustainability.
331,17-2021.00,Direct environmental development activities.
332,17-2021.00,Design electronic or computer equipment or instrumentation.
333,17-2021.00,Train personnel on proper operational procedures.
334,17-2021.00,Direct industrial production activities.
335,45-2091.00,Load agricultural or forestry products for shipment.
336,45-2091.00,Prepare materials or solutions for animal or plant use.
337,45-2091.00,Apply chemical solutions to plants to protect against disease or insects or to enhance growth.
338,45-2091.00,Inspect equipment or facilities to determine condition or maintenance needs.
339,45-2091.00,Operate farming equipment.
340,45-2091.00,Load materials into equipment for processing.
341,45-2091.00,"Direct activities of agricultural, forestry, or fishery employees."
342,45-2091.00,"Maintain forestry, hunting, or agricultural equipment."
343,45-2091.00,Confer with managers to make operational decisions.
344,45-2091.00,Measure physical characteristics of forestry or agricultural products.
345,45-2091.00,"Plant crops, trees, or other plants."
346,45-2091.00,Record agricultural or forestry inventory data.
347,45-2091.00,Operate conveyors or other industrial material moving equipment.
348,45-2091.00,Attach equipment extensions or accessories.
349,45-2091.00,Operate irrigation systems.
350,45-2011.00,"Establish standards for products, processes, or procedures."
351,45-2011.00,Inspect products or operations to ensure that standards are met.
352,45-2011.00,Mark agricultural or forestry products for identification.
353,45-2011.00,Package agricultural products for shipment or further processing.
354,45-2011.00,Warn individuals about rule violations or safety concerns.
355,45-2011.00,"Advise others on farming or forestry operations, regulations, or equipment."
356,45-2011.00,Measure physical characteristics of forestry or agricultural products.
357,45-2011.00,"Examine animals to detect illness, injury or other problems."
358,45-2011.00,Maintain operational records.
359,45-2011.00,"Direct activities of agricultural, forestry, or fishery employees."
360,45-2011.00,Collect biological specimens.
361,45-2011.00,"Send information, materials or documentation."
362,45-2011.00,Identify environmental concerns.
363,45-2011.00,Testify at legal or legislative proceedings.
364,25-1041.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
365,25-1041.00,Stay informed about current developments in field of specialization.
366,25-1041.00,Advise students on academic or career matters.
367,25-1041.00,Supervise student research or internship work.
368,25-1041.00,Supervise laboratory work.
369,25-1041.00,Research topics in area of expertise.
370,25-1041.00,Teach physical science or mathematics courses at the college level.
371,25-1041.00,"Write articles, books or other original materials in area of expertise."
372,25-1041.00,Develop instructional materials.
373,25-1041.00,Evaluate student work.
374,25-1041.00,Guide class discussions.
375,25-1041.00,Develop instructional objectives.
376,25-1041.00,Evaluate effectiveness of educational programs.
377,25-1041.00,Direct department activities.
378,25-1041.00,Administer tests to assess educational needs or progress.
379,25-1041.00,Maintain student records.
380,25-1041.00,Prepare tests.
381,25-1041.00,Perform student enrollment or registration activities.
382,25-1041.00,Promote educational institutions or programs.
383,25-1041.00,Order instructional or library materials or equipment.
384,25-1041.00,Select educational materials or equipment.
385,25-1041.00,Write grant proposals.
386,25-1041.00,Serve on institutional or departmental committees.
387,25-1041.00,Plan community programs or activities for the general public.
388,25-1041.00,"Advise educators on curricula, instructional methods, or policies."
389,25-1041.00,Compile specialized bibliographies or lists of materials.
390,19-4012.00,Record research or operational data.
391,19-4012.00,Measure ingredients.
392,19-4012.00,Prepare scientific or technical reports or presentations.
393,19-4012.00,Cultivate land.
394,19-4012.00,Prepare biological samples for testing or analysis.
395,19-4012.00,Set up laboratory or field equipment.
396,19-4012.00,Examine characteristics or behavior of living organisms.
397,19-4012.00,Collect biological specimens.
398,19-4012.00,Manage agricultural or forestry operations.
399,19-4012.00,Supervise scientific or technical personnel.
400,19-4012.00,Train personnel in technical or scientific procedures.
401,19-4012.00,Research sustainable agricultural processes or practices.
402,19-4012.00,Research diseases or parasites.
403,19-4012.00,Maintain laboratory or technical equipment.
404,19-4012.00,Operate farming equipment.
405,19-4012.00,Operate laboratory or field equipment.
406,19-4012.00,Test quality of materials or finished products.
407,19-4012.00,Care for plants or animals.
408,19-4012.00,Provide technical information or assistance to public.
409,19-4012.00,Develop sustainable industrial or development methods.
410,19-4012.00,Prepare compounds or solutions for products or testing.
411,19-4012.00,Research crop management methods.
412,53-2021.00,"Notify others of emergencies, problems, or hazards."
413,53-2021.00,Communicate with others to coordinate vehicle movement.
414,53-2021.00,Coordinate flight control or management activities.
415,53-2021.00,Respond to transportation emergencies.
416,53-2021.00,Direct vehicle traffic.
417,53-2021.00,Monitor vehicle movement or location.
418,53-2021.00,Adjust routes or speeds as necessary.
419,53-2021.00,Direct emergency management activities.
420,53-2021.00,Train transportation or material moving personnel.
421,53-2021.00,Monitor surroundings to detect potential hazards.
422,53-2021.00,Operate communications equipment or systems.
423,53-2021.00,Compile operational data.
424,53-2021.00,Plan flight operations.
425,53-2021.00,Meet with coworkers to communicate work orders or plans.
426,53-2021.00,Choose optimal transportation routes or speeds.
427,53-2021.00,Record operational details of travel.
428,53-2021.00,Review documents or materials for compliance with policies or regulations.
429,49-3011.00,Inspect mechanical components of vehicles to identify problems.
430,49-3011.00,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities."
431,49-3011.00,Inspect completed work to ensure proper functioning.
432,49-3011.00,Maintain repair or maintenance records.
433,49-3011.00,Read technical information needed to perform maintenance or repairs.
434,49-3011.00,Inspect structural components of vehicles to identify problems.
435,49-3011.00,"Operate cranes, hoists, or other moving or lifting equipment."
436,49-3011.00,"Repair worn, damaged, or defective mechanical parts."
437,49-3011.00,Test fluids to identify contamination or other problems.
438,49-3011.00,Read work orders or descriptions of problems to determine repairs or modifications needed.
439,49-3011.00,"Replace worn, damaged, or defective mechanical parts."
440,49-3011.00,Disassemble equipment to inspect for deficiencies.
441,49-3011.00,Test mechanical equipment to ensure proper functioning.
442,49-3011.00,Apply protective coverings to objects or surfaces near work areas.
443,49-3011.00,"Inspect mechanical equipment to locate damage, defects, or wear."
444,49-3011.00,"Assemble electrical components, subsystems, or systems."
445,49-3011.00,"Install electrical components, equipment, or systems."
446,49-3011.00,Install piping for installation or maintenance activities.
447,49-3011.00,Move large objects using heavy equipment.
448,49-3011.00,Fabricate parts or components.
449,49-3011.00,Lay out work according to specifications.
450,49-3011.00,"Clean equipment, parts, or tools to repair or maintain them in good working order."
451,49-3011.00,Service vehicles to maintain functionality.
452,49-3011.00,Lubricate equipment to allow proper functioning.
453,49-3011.00,Reassemble equipment after repair.
454,49-3011.00,Operate heating or drying equipment.
455,49-3011.00,Cut materials according to specifications or needs.
456,49-3011.00,Remove parts or components from equipment.
457,49-3011.00,Align equipment or machinery.
458,49-3011.00,"Drill holes in parts, equipment, or materials."
459,49-3011.00,Install machine or equipment replacement parts.
460,49-3011.00,Troubleshoot equipment or systems operation problems.
461,49-3011.00,Observe equipment in operation to detect potential problems.
462,49-3011.00,"Maintain inventories of materials, equipment, or products."
463,49-3011.00,"Order materials, supplies, or equipment."
464,49-3011.00,Determine operational criteria or specifications.
465,49-3011.00,Communicate with coworkers to coordinate installations or repairs.
466,49-3011.00,Paint surfaces or equipment.
467,53-6032.00,Clean vehicles or vehicle components.
468,53-6032.00,Service vehicles to maintain functionality.
469,53-6032.00,Communicate with others to coordinate vehicle movement.
470,53-6032.00,Perform manual service or maintenance tasks.
471,53-6032.00,Clean facilities or equipment.
472,53-6032.00,Climb ladders or vehicles to perform duties.
473,53-6032.00,Drive trucks or truck-mounted equipment.
474,53-6032.00,Handle luggage or other possessions for patrons.
475,53-6032.00,Inspect mechanical components of vehicles to identify problems.
476,53-6032.00,Maintain plumbing structures or fixtures.
477,53-6032.00,Maintain repair or maintenance records.
478,53-6032.00,Mix ingredients.
479,53-6032.00,Mix substances to create chemical solutions.
480,53-6032.00,"Polish materials, workpieces, or finished products."
481,53-6032.00,Signal others to coordinate vehicle movement.
482,51-2011.00,Assemble metal or plastic parts or products.
483,51-2011.00,Assemble metal structures.
484,51-2011.00,Review blueprints or other instructions to determine operational methods or sequences.
485,51-2011.00,Adjust vehicle components according to specifications.
486,51-2011.00,Cut industrial materials in preparation for fabrication or processing.
487,51-2011.00,Align parts or workpieces to ensure proper assembly.
488,51-2011.00,Inspect installed components or assemblies.
489,51-2011.00,Repair parts or assemblies.
490,51-2011.00,Replace worn equipment components.
491,51-2011.00,Reshape metal workpieces to established specifications.
492,51-2011.00,Trim excess material from workpieces.
493,51-2011.00,Operate metal or plastic forming equipment.
494,51-2011.00,Draw guide lines or markings on materials or workpieces using patterns or other references.
495,51-2011.00,Clean workpieces or finished products.
496,51-2011.00,Assemble electrical or electronic equipment.
497,51-2011.00,Apply lubricants or coolants to workpieces.
498,51-2011.00,Install mechanical components in production equipment.
499,51-2011.00,Signal others to coordinate work activities.
500,51-2011.00,Operate cutting equipment.
501,51-2011.00,Connect supply lines to production equipment or tools.
502,51-2011.00,Assemble electromechanical or hydraulic systems.
503,51-2011.00,Mount attachments or tools onto production equipment.
504,51-2011.00,"Mark products, workpieces, or equipment with identifying information."
505,51-2011.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
506,51-2011.00,Operate welding equipment.
507,51-2011.00,Solder parts or workpieces.
508,51-2011.00,Sort recyclable materials.
509,51-2011.00,Monitor equipment operation to ensure proper functioning.
510,53-2022.00,"Inspect facilities, equipment or supplies to ensure conformance to standards."
511,53-2022.00,Inspect facilities.
512,53-2022.00,Plan flight operations.
513,53-2022.00,Assist others during emergencies.
514,53-2022.00,Inspect facilities to ensure compliance with security or safety regulations.
515,53-2022.00,Inspect work sites to identify potential environmental or safety hazards.
516,53-2022.00,Confer with coworkers to coordinate maintenance or cleaning activities.
517,53-2022.00,Coordinate operational activities.
518,53-2022.00,Maintain facilities.
519,53-2022.00,Remove snow.
520,53-2022.00,Communicate with others to coordinate vehicle movement.
521,53-2022.00,Coordinate flight control or management activities.
522,53-2022.00,Plan work operations.
523,53-2022.00,Monitor vehicle movement or location.
524,53-2022.00,Pilot aircraft.
525,53-2022.00,Train transportation or material moving personnel.
526,53-2022.00,Record operational details of travel.
527,53-2022.00,Meet with coworkers to communicate work orders or plans.
528,53-2022.00,Review work orders or schedules to determine operations or procedures.
529,53-2011.00,Pilot aircraft.
530,53-2011.00,"Notify others of emergencies, problems, or hazards."
531,53-2011.00,Report vehicle or equipment malfunctions.
532,53-2011.00,Respond to transportation emergencies.
533,53-2011.00,Inspect aircraft or aircraft components.
534,53-2011.00,Communicate with others to coordinate vehicle movement.
535,53-2011.00,Monitor engine operation or functioning.
536,53-2011.00,Monitor equipment gauges or displays to ensure proper operation.
537,53-2011.00,Monitor work environment to ensure safety or adherence to specifications.
538,53-2011.00,Coordinate flight control or management activities.
539,53-2011.00,Meet with coworkers to communicate work orders or plans.
540,53-2011.00,Resolve issues affecting transportation operations.
541,53-2011.00,Test performance of aircraft equipment.
542,53-2011.00,Arrange maintenance activities.
543,53-2011.00,Maintain locomotives or other rail equipment in good working condition.
544,53-2011.00,Choose optimal transportation routes or speeds.
545,53-2011.00,"Evaluate performance of applicants, trainees, or employees."
546,53-2011.00,Record operational details of travel.
547,53-2011.00,Train transportation or material moving personnel.
548,53-2011.00,Direct material handling or moving activities.
549,53-2011.00,"Load shipments, belongings, or materials."
550,53-2011.00,Provide transportation information to passengers or customers.
551,53-2011.00,Plan flight operations.
552,29-1229.01,Treat chronic diseases or disorders.
553,29-1229.01,Diagnose medical conditions.
554,29-1229.01,Explain medical procedures or test results to patients or family members.
555,29-1229.01,Order medical diagnostic or clinical tests.
556,29-1229.01,Develop medical treatment plans.
557,29-1229.01,Prescribe medications.
558,29-1229.01,Record patient medical histories.
559,29-1229.01,Evaluate treatment options to guide medical decisions.
560,29-1229.01,Examine patients to assess general physical condition.
561,29-1229.01,Analyze test data or images to inform diagnosis or treatment.
562,29-1229.01,Collaborate with healthcare professionals to plan or provide treatment.
563,29-1229.01,Maintain medical or professional knowledge.
564,29-1229.01,Advise medical personnel regarding healthcare issues.
565,29-1229.01,Train medical providers.
566,29-1229.01,Conduct research to increase knowledge about medical issues.
