,code,importance,category,task
48,27-2011.00,,Supplemental,"Manipulate strings, wires, rods, or fingers to animate puppets or dummies in synchronization with talking, singing, or recorded programs."
49,15-2011.00,92,Core,Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.
50,15-2011.00,90,Core,"Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums."
51,15-2011.00,85,Core,"Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public."
52,15-2011.00,83,Core,"Provide advice to clients on a contract basis, working as a consultant."
53,15-2011.00,81,Core,"Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates."
54,15-2011.00,77,Core,"Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information."
55,15-2011.00,72,Core,Negotiate terms and conditions of reinsurance with other companies.
56,15-2011.00,71,Core,"Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business."
57,15-2011.00,64,Core,Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.
58,15-2011.00,62,Core,Testify before public agencies on proposed legislation affecting businesses.
59,15-2011.00,54,Core,Determine policy contract provisions for each type of insurance.
60,15-2011.00,51,Core,Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.
61,15-2011.00,64,Supplemental,Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.
62,15-2011.00,44,Supplemental,Manage credit and help price corporate security offerings.
63,15-2011.00,42,Supplemental,Explain changes in contract provisions to customers.
64,29-1291.00,95,Core,Develop individual treatment plans and strategies.
65,29-1291.00,95,Core,"Adhere to local, state, and federal laws, regulations, and statutes."
66,29-1291.00,94,Core,Insert needles to provide acupuncture treatment.
67,29-1291.00,94,Core,"Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding."
68,29-1291.00,93,Core,Collect medical histories and general health and lifestyle information from patients.
69,29-1291.00,92,Core,"Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements."
70,29-1291.00,91,Core,Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.
71,29-1291.00,90,Core,"Maintain and follow standard quality, safety, environmental, and infection control policies and procedures."
72,29-1291.00,89,Core,"Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques."
73,29-1291.00,89,Core,"Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions."
74,29-1291.00,89,Core,Maintain detailed and complete records of health care plans and prognoses.
75,29-1291.00,89,Core,Assess patients' general physical appearance to make diagnoses.
76,29-1291.00,85,Core,"Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities."
77,29-1291.00,84,Core,"Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants."
78,29-1291.00,83,Core,"Consider Western medical procedures in health assessment, health care team communication, and care referrals."
79,29-1291.00,83,Core,"Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health."
80,29-1291.00,79,Core,"Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina."
81,29-1291.00,67,Core,"Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa."
82,29-1141.01,97,Core,"Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions."
83,29-1141.01,96,Core,"Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly."
84,29-1141.01,96,Core,"Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes."
85,29-1141.01,94,Core,Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.
86,29-1141.01,94,Core,"Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions."
87,29-1141.01,94,Core,"Assess urgent and emergent health conditions, using both physiologically and technologically derived data."
88,29-1141.01,89,Core,"Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships."
89,29-1141.01,86,Core,Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).
90,29-1141.01,85,Core,Obtain specimens or samples for laboratory work.
91,29-1141.01,85,Core,Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.
92,29-1141.01,85,Core,Refer patients for specialty consultations or treatments.
93,29-1141.01,84,Core,"Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines."
94,29-1141.01,83,Core,Discuss illnesses and treatments with patients and family members.
95,29-1141.01,83,Core,"Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness."
96,29-1141.01,80,Core,"Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments."
97,29-1141.01,77,Core,Assess the needs of patients' family members or caregivers.
98,29-1141.01,76,Core,"Perform administrative duties that facilitate admission, transfer, or discharge of patients."
99,29-1141.01,75,Core,Provide formal and informal education to other staff members.
100,29-1141.01,75,Core,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care."
101,29-1141.01,73,Core,Treat wounds or superficial lacerations.
102,29-1141.01,71,Core,Participate in patients' care meetings and conferences.
103,29-1141.01,64,Core,Participate in the development of practice protocols.
104,29-1141.01,92,Supplemental,"Adjust settings on patients' assistive devices, such as temporary pacemakers."
105,29-1141.01,88,Supplemental,"Prescribe medications and observe patients' reactions, modifying prescriptions as needed."
106,29-1141.01,81,Supplemental,"Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients."
107,29-1141.01,73,Supplemental,"Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions."
108,29-1141.01,71,Supplemental,Assist patients in organizing their health care system activities.
109,25-2059.01,98,Core,Adapt instructional techniques to the age and skill levels of students.
110,25-2059.01,95,Core,"Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement."
111,25-2059.01,95,Core,Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.
112,25-2059.01,94,Core,Provide students positive feedback to encourage them and help them develop an appreciation for physical education.
113,25-2059.01,92,Core,"Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning."
114,25-2059.01,91,Core,"Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition."
115,25-2059.01,83,Core,Assess students' physical progress or needs.
116,25-2059.01,82,Core,Assist in screening or placement of students in adapted physical education programs.
117,25-2059.01,81,Core,Evaluate the motor needs of individual students to determine their need for adapted physical education services.
118,25-2059.01,81,Core,Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.
119,25-2059.01,79,Core,"Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records."
120,25-2059.01,79,Core,Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.
121,25-2059.01,78,Core,"Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators."
122,25-2059.01,78,Core,Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.
123,25-2059.01,76,Core,"Write reports to summarize student performance, social growth, or physical development."
124,25-2059.01,75,Core,Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.
125,25-2059.01,74,Core,"Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education."
126,25-2059.01,63,Core,Review adapted physical education programs or practices to ensure compliance with government or other regulations.
127,25-2059.01,62,Core,"Request or order physical education equipment, following standard procedures."
128,25-2059.01,58,Core,"Maintain inventory of instructional equipment, materials, or aids."
129,51-9191.00,90,Core,Align and position materials being joined to ensure accurate application of adhesive or heat sealing.
130,51-9191.00,89,Core,"Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required."
131,51-9191.00,89,Core,Monitor machine operations to detect malfunctions and report or resolve problems.
132,51-9191.00,88,Core,"Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings."
133,51-9191.00,87,Core,"Fill machines with glue, cement, or adhesives."
134,51-9191.00,85,Core,Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.
135,51-9191.00,84,Core,"Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers."
136,51-9191.00,84,Core,Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
137,51-9191.00,81,Core,"Remove and stack completed materials or products, and restock materials to be joined."
138,51-9191.00,80,Core,"Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors."
139,51-9191.00,80,Core,"Maintain production records such as quantities, dimensions, and thicknesses of materials processed."
140,51-9191.00,80,Core,Remove jammed materials from machines and readjust components as necessary to resume normal operations.
141,51-9191.00,79,Core,"Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines."
142,51-9191.00,71,Core,"Transport materials, supplies, and finished products between storage and work areas, using forklifts."
143,51-9191.00,77,Supplemental,"Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers."
144,51-9191.00,51,Supplemental,Measure and mix ingredients to prepare glue.
145,51-9191.00,35,Supplemental,Depress pedals to lower electrodes that heat and seal edges of material.
146,23-1021.00,92,Core,"Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence."
147,23-1021.00,92,Core,Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.
148,23-1021.00,91,Core,Prepare written opinions and decisions.
149,23-1021.00,90,Core,Authorize payment of valid claims and determine method of payment.
150,23-1021.00,90,Core,"Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations."
151,23-1021.00,88,Core,"Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions."
152,23-1021.00,84,Core,"Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records."
153,23-1021.00,84,Core,"Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions."
154,23-1021.00,83,Core,"Rule on exceptions, motions, and admissibility of evidence."
155,23-1021.00,81,Core,Explain to claimants how they can appeal rulings that go against them.
156,23-1021.00,74,Core,Confer with individuals or organizations involved in cases to obtain relevant information.
157,23-1021.00,69,Core,Issue subpoenas and administer oaths in preparation for formal hearings.
158,23-1021.00,78,Supplemental,Schedule hearings.
159,23-1021.00,65,Supplemental,Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.
160,11-3012.00,68,Core,Prepare and review operational reports and schedules to ensure accuracy and efficiency.
161,11-3012.00,68,Core,Set goals and deadlines for the department.
162,11-3012.00,60,Core,"Acquire, distribute and store supplies."
163,11-3012.00,58,Core,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."
164,11-3012.00,55,Core,Conduct classes to teach procedures to staff.
165,11-3012.00,77,Supplemental,"Plan, administer, and control budgets for contracts, equipment, and supplies."
166,11-3012.00,74,Supplemental,Hire and terminate clerical and administrative personnel.
167,11-3012.00,73,Supplemental,"Direct or coordinate the supportive services department of a business, agency, or organization."
168,11-3012.00,,Not available,"Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met."
169,11-3012.00,,Not available,Develop operational standards and procedures for the work unit or department.
170,11-3012.00,,Not available,Establish work procedures or schedules to organize the daily work of administrative staff.
171,11-3012.00,,Not available,Learn to operate new office technologies as they are developed and implemented.
172,11-3012.00,,Not available,"Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence."
173,11-3012.00,,Not available,"Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs."
174,11-3012.00,,Not available,"Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll."
175,11-3012.00,,Not available,"Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance."
176,11-3012.00,,Not available,Represent work unit at meetings or conferences and serve as liaison for requests or complaints.
177,11-3012.00,,Not available,Supervise administrative staff and provide training and orientation to new staff.
178,25-3011.00,85,Core,Observe and evaluate students' work to determine progress and make suggestions for improvement.
179,25-3011.00,83,Core,"Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics."
180,25-3011.00,82,Core,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students."
181,25-3011.00,81,Core,"Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests."
182,25-3011.00,80,Core,Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.
183,25-3011.00,80,Core,Prepare materials and classrooms for class activities.
184,25-3011.00,79,Core,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations."
185,25-3011.00,79,Core,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate."
186,25-3011.00,79,Core,Assign and grade class work and homework.
187,25-3011.00,78,Core,Maintain accurate and complete student records as required by laws or administrative policies.
188,25-3011.00,77,Core,"Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills."
189,25-3011.00,74,Core,Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.
190,25-3011.00,69,Core,"Prepare and administer written, oral, and performance tests and issue grades in accordance with performance."
191,25-3011.00,67,Core,Prepare and implement remedial programs for students requiring extra help.
192,25-3011.00,67,Core,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.
193,25-3011.00,67,Core,Enforce administration policies and rules governing students.
194,25-3011.00,66,Core,"Use computers, audio-visual aids, and other equipment and materials to supplement presentations."
195,25-3011.00,66,Core,"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools."
196,25-3011.00,65,Core,Prepare reports on students and activities as required by administration.
197,25-3011.00,64,Core,"Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination."
198,25-3011.00,63,Core,"Register, orient, and assess new students according to standards and procedures."
199,25-3011.00,62,Core,Collaborate with other teachers and professionals in the development of instructional programs.
200,25-3011.00,61,Core,"Attend staff meetings and serve on committees, as required."
201,25-3011.00,59,Core,Meet with other professionals to discuss individual students' needs and progress.
202,25-3011.00,58,Core,Guide and counsel students with adjustment or academic problems or special academic interests.
203,25-3011.00,56,Core,"Select, order, and issue books, materials, and supplies for courses or projects."
204,25-3011.00,55,Core,"Attend professional meetings, conferences, and workshops to maintain and improve professional competence."
205,25-3011.00,54,Core,"Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula."
206,25-3011.00,52,Core,"Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities."
207,25-3011.00,73,Supplemental,"Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms."
208,25-3011.00,68,Supplemental,"Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination."
209,25-3011.00,64,Supplemental,Select and schedule class times to ensure maximum attendance.
210,25-3011.00,62,Supplemental,Train and assist tutors and community literacy volunteers.
211,25-3011.00,52,Supplemental,Observe and evaluate the performance of other instructors.
212,25-3011.00,52,Supplemental,Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements.
213,25-3011.00,52,Supplemental,"Participate in publicity planning, community awareness efforts, and student recruitment."
214,25-3011.00,51,Supplemental,"Advise students on internships, prospective employers, and job placement services."
215,25-3011.00,50,Supplemental,Write grants to obtain program funding.
216,25-3011.00,46,Supplemental,Write instructional articles on designated subjects.
217,29-1141.02,99,Core,Monitor patients' medication usage and results.
218,29-1141.02,98,Core,"Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes."
219,29-1141.02,97,Core,Diagnose psychiatric disorders and mental health conditions.
220,29-1141.02,97,Core,Evaluate patients' behavior to formulate diagnoses or assess treatments.
221,29-1141.02,96,Core,"Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately."
222,29-1141.02,95,Core,"Assess patients' mental and physical status, based on the presenting symptoms and complaints."
223,29-1141.02,94,Core,"Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans."
224,29-1141.02,90,Core,Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.
225,29-1141.02,90,Core,"Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans."
226,29-1141.02,86,Core,Develop and implement treatment plans.
227,29-1141.02,84,Core,"Participate in activities aimed at professional growth and development, including conferences or continuing education activities."
228,29-1141.02,83,Core,"Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders."
229,29-1141.02,83,Core,"Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests."
230,29-1141.02,81,Core,Consult with psychiatrists or other professionals when unusual or complex cases are encountered.
231,29-1141.02,80,Core,Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.
232,29-1141.02,79,Core,"Develop practice protocols for mental health problems, based on review and evaluation of published research."
233,29-1141.02,79,Core,"Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists."
234,29-1141.02,71,Core,"Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities."
235,29-1141.02,64,Core,"Teach classes in mental health topics, such as stress reduction."
236,29-1141.02,62,Core,"Administer medications, including those administered by injection."
237,29-1141.02,57,Core,Monitor the use and status of medical and pharmaceutical supplies.
238,29-1141.02,79,Supplemental,Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.
239,29-1141.02,73,Supplemental,Treat patients for routine physical health problems.
240,29-1141.02,65,Supplemental,Direct or provide home health services.
241,11-2011.00,78,Core,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."
242,11-2011.00,77,Core,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications."
243,11-2011.00,73,Core,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."
244,11-2011.00,72,Core,Coordinate with the media to disseminate advertising.
245,11-2011.00,71,Core,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."
246,11-2011.00,70,Core,Plan and execute advertising policies and strategies for organizations.
247,11-2011.00,70,Core,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."
248,11-2011.00,67,Core,Prepare budgets and submit estimates for program costs as part of campaign plan development.
249,11-2011.00,65,Core,Contact organizations to explain services and facilities offered.
250,11-2011.00,65,Core,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.
251,11-2011.00,64,Core,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers."
252,11-2011.00,64,Core,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms."
253,11-2011.00,56,Core,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."
254,11-2011.00,72,Supplemental,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance."
255,11-2011.00,70,Supplemental,Prepare and negotiate advertising and sales contracts.
256,11-2011.00,67,Supplemental,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.
257,11-2011.00,66,Supplemental,Train and direct workers engaged in developing and producing advertisements.
258,11-2011.00,65,Supplemental,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals."
259,11-2011.00,63,Supplemental,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.
260,11-2011.00,61,Supplemental,Represent company at trade association meetings to promote products.
261,11-2011.00,59,Supplemental,Direct and coordinate product research and development.
262,11-2011.00,,Not available,Analyze marketing or sales trends to forecast future conditions.
263,11-2011.00,,Not available,Analyze the effectiveness of marketing tactics or channels.
264,11-2011.00,,Not available,"Attend or participate in conferences, community events, and promotional events related to products or technologies."
265,11-2011.00,,Not available,"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies."
266,11-2011.00,,Not available,"Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs."
267,11-2011.00,,Not available,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services."
268,11-2011.00,,Not available,"Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations."
269,11-2011.00,,Not available,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires."
270,11-2011.00,,Not available,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas."
271,41-3011.00,89,Core,Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.
272,41-3011.00,88,Core,Maintain assigned account bases while developing new accounts.
273,41-3011.00,88,Core,Provide clients with estimates of the costs of advertising products or services.
274,41-3011.00,87,Core,Locate and contact potential clients to offer advertising services.
275,41-3011.00,86,Core,Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.
276,41-3011.00,85,Core,"Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance."
277,41-3011.00,84,Core,"Prepare promotional plans, sales literature, media kits, and sales contracts, using computer."
278,41-3011.00,84,Core,Process all correspondence and paperwork related to accounts.
279,41-3011.00,83,Core,"Draw up contracts for advertising work, and collect payments due."
280,41-3011.00,82,Core,Deliver advertising or illustration proofs to customers for approval.
281,41-3011.00,80,Core,"Inform customers of available options for advertisement artwork, and provide samples."
282,41-3011.00,80,Core,"Recommend appropriate sizes and formats for advertising, depending on medium used."
283,41-3011.00,79,Core,Write copy as part of layout.
284,41-3011.00,77,Core,"Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers."
285,41-3011.00,76,Core,"Gather all relevant material for bid processes, and coordinate bidding and contract approval."
286,41-3011.00,74,Core,"Consult with company officials, sales departments, and advertising agencies to develop promotional plans."
287,41-3011.00,72,Core,"Identify new advertising markets, and propose products to serve them."
288,41-3011.00,71,Core,"Arrange for commercial taping sessions, and accompany clients to sessions."
289,41-3011.00,69,Core,"Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge."
290,41-3011.00,48,Supplemental,Write sales outlines for use by staff.
291,17-3021.00,91,Core,"Test aircraft systems under simulated operational conditions, performing systems readiness tests and pre- and post-operational checkouts, to establish design or fabrication parameters."
292,17-3021.00,90,Core,"Identify required data, data acquisition plans, and test parameters, setting up equipment to conform to these specifications."
293,17-3021.00,87,Core,"Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions."
294,17-3021.00,86,Core,Confer with engineering personnel regarding details and implications of test procedures and results.
295,17-3021.00,86,Core,Operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis.
296,17-3021.00,86,Core,"Record and interpret test data on parts, assemblies, and mechanisms."
297,17-3021.00,81,Core,"Adjust, repair, or replace faulty components of test setups and equipment."
