,Unnamed: 0,title,company,location,description,date_posted,link
12,12,PhD fellowship in Experimental Quantum Optics,University of Copenhagen,Denmark,The Niels Bohr Institute invites applicants for a PhD fellowship in Experimental Quantum Optics. Start date is (expected to be) 1 June 2023 or as soon as possible thereafter. The project The project,1 day ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Fellowship-In-Experimental-Quantum-Optics-University-Of-Copenhagen=wLyivLpl7RGUYQAlkGUTnw.html
13,13,Postdoctoral Researcher – Quantum Computing Algorithms for Energy Systems,National Renewable Energy Laboratory NREL,United States,Posting Title Postdoctoral Researcher – Quantum Computing Algorithms for Energy Systems . Location CO - Golden . Position Type Postdoc (Fixed Term) . Hours Per Week 40 . Mandatory COVID-19,"Golden, Colorado",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Researcher-Quantum-Computing-Algorithms-For-Energy-Systems-National-Renewable-Energy-Laboratory-Nrel=MnC18Rxl7RGUYQAlkGUTnw.html
14,14,Postdoc position on Quantum Acoustics,University of Twente,Netherlands,"Vacancies Postdoc position on Quantum Acoustics Key takeaways Hours40 hr. Salary indication€ 3,557 - € 4,670 Deadline31 Dec 2022 This postdoc project is part of the national program on Quantum",about 18 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-Position-On-Quantum-Acoustics-University-Of-Twente=LNEKHw5m7RGUYQAlkGUTnw.html
15,15,Assistant/Associate Professor Quantum Computer Science,Delft University of Technology (TU Delft),Netherlands,TU Delft’s Faculty of EEMCS invites applications for tenure-track faculty in the area of Quantum Computer Science (QCS). The Faculty includes two Computer Science (CS) departments (Intelligent,about 14 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Associate-Professor-Quantum-Computer-Science-Delft-University-Of-Technology-Tu-Delft=cjyoNFNi7RGUYQAlkGUTnw.html
16,16,PhD position: Quantum Batteries,Monash University,Australia,to find those fundamental limits using the tools of quantum information theory.We will consider many-body systems as energy storage devices with the aim of enhancing performance as a battery using quantum,3 days ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Quantum-Batteries-Monash-University=Zi0Y49Jj7RGUYQAlkGUTnw.html
17,17,Postdoctoral Fellows in Quantum Mathematics,University of Southern Denmark (SDU),Denmark,"The Centre for Quantum Mathematics (QM) at the Department of Mathematics and Computer Science, University of Southern Denmark (SDU) invites applications for a number of two-year positions as",about 10 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoctoral-Fellows-In-Quantum-Mathematics-University-Of-Southern-Denmark-Sdu=4MF2rsdc7RGUYQAlkGUTnw.html
18,18,PhD student in integrated quantum photonics,ETH Zurich,Switzerland,"100%, Zurich, fixed-term The Optical Nanomaterial Laboratory in the Physics Department at ETH Zurich is looking for a PhD student in integrated quantum photonics. Project background Linear optical",9 days ago,https://scholarshipdb.net/scholarships-in-Switzerland/Ph-D-Student-In-Integrated-Quantum-Photonics-Eth-Zurich=ynANVQti7RGUYQAlkGUTnw.html
19,19,Postdoc Quantum Engineering Systems,The Design Society,Worldwide,Closing Date: April 16th 2022 Job description Research on quantum technologies is currently scaling up from laboratory research to implementation of first applications. This postdoc position aims,3 days ago,https://scholarshipdb.net/jobs-in-Worldwide/Postdoc-Quantum-Engineering-Systems-The-Design-Society=NzdNcrVj7RGUYQAlkGUTnw.html
20,20,Assistant/Associate Professor Quantum Computer Science,Delft University of Technology,Netherlands,Activeer hoog contrast Ga naar hoofdcontent Home van TU Delft Werken bij TU Delft Vacatures Wetenschapper PhD Tenure track Postdoc Professional Zoeken Werken bij TU Delft Vacatures Menu sluiten Wetenschapper PhD Tenure track Postdoc Professional Dit is het social media...,about 13 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Associate-Professor-Quantum-Computer-Science-Delft-University-Of-Technology=9U2bmFVj7RGUYQAlkGUTnw.html
21,21,Postdoctoral Researcher in Quantum Machine Learning,Helmholtz,Germany,"Your Job: You will work in an interdisciplinary project team on quantum enhanced machine learning methods. This includes: the extension, development and analysis of new quantum machine learning",about 21 hours ago,https://scholarshipdb.net/jobs-in-Germany/Postdoctoral-Researcher-In-Quantum-Machine-Learning-Helmholtz=ty-8Ffll7RGUYQAlkGUTnw.html
23,23,"Research Associate, “Quantum Critical Matter”",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,"to the success of the whole institution. At the Faculty of Physics, Institute of Theoretical Physics, the Junior Research Group “Quantum Critical Matter” offers a position as Research Associate (m/f/x) (subject to","Layer de la Haye, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Quantum-Critical-Matter-Technische-Universitat-Dresden-Tu-Dresden=xB_WzBBi7RGUYQAlkGUTnw.html
24,24,"Assistant, Associate, or Full Professor, Quantum Photonics (Multiple Positions)",The University of Arizona,United States,"Sign In Create Profile Assistant, Associate, or Full Professor, Quantum Photonics (Multiple Positions) Tucson, AZ, United States | req12472 Apply Now Share Save Job Back to Search Assistant",3 days ago,https://scholarshipdb.net/jobs-in-United-States/Assistant-Associate-Or-Full-Professor-Quantum-Photonics-Multiple-Positions-The-University-Of-Arizona=FMdA7ZZh7RGUYQAlkGUTnw.html
25,25,Postdoctoral Appointee – Atomic-Scale Quantum Information Surface Science,Argonne,United States,A postdoctoral opening on the experimental development of optically-active spins for Quantum Information Science at surfaces is available in the Quantum and Energy Materials group (Center,"Tucson, Arizona",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Atomic-Scale-Quantum-Information-Surface-Science-Argonne=hHoAJwVm7RGUYQAlkGUTnw.html
26,26,"International Max Planck Research School for Quantum Dynamics in Physics, Chemistry and Biology (IMPRS-QD) IMPRS-Quantum Dynamics",Max Planck Institute for Nuclear Physics •,Germany,"in Quantum Science, Quantum Dynamics in Complex Systems, Quantum Optics and Photonics, Advanced Quantum Chemistry, Biological Quantum Dynamics, Advanced Quantum Theory, Quantum Matter and Quantum",2 days ago,https://scholarshipdb.net/scholarships-in-Germany/International-Max-Planck-Research-School-For-Quantum-Dynamics-In-Physics-Chemistry-And-Biology-Imprs-Qd-Imprs-Quantum-Dynamics-Max-Planck-Institute-For-Nuclear-Physics=zVt5Iqxj7RGUYQAlkGUTnw.html
27,27,"PhD vacancy in quantum optics / quantum information at ULB, Brussels.",Université Libre de Bruxelles,Belgium,PhD vacancy at the Centre for Quantum Information and Communication (QuIC) at the Université Libre de Bruxelles (ULB) in Belgium. The general research topic will be the theoretical study of photonic,"Lemont, Illinois",https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Vacancy-In-Quantum-Optics-Quantum-Information-At-Ulb-Brussels-Universit-Libre-De-Bruxelles=HgzcY1hZ7RGUYQAlkGUTnw.html
28,28,Research Fellow (Silicon Quantum Computing),Nanyang Technological University,Singapore,• Spin-orbit interaction in donor qubits • Operation and readout in 1D and 2D qubit arrays • Quantum noise spectroscopy and mitigation strategies • Spin-photon coupling in qubit-resonator systems Job,about 15 hours ago,https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Silicon-Quantum-Computing-Nanyang-Technological-University=VALGv6Zl7RGUYQAlkGUTnw.html
29,29,PhD Quantum Sensor H/F,CNRS,Niue,"Optical phase measurement with interferometers is one of the most advanced techniques in classical metrology and most recently led to the detection of gravitational waves. On the other hand, quantum","Heidelberg, Baden W rttemberg",https://scholarshipdb.net/scholarships-in-Niue/Ph-D-Quantum-Sensor-H-F-Cnrs=AMSvivFR7RGUYQAlkGUTnw.html
30,30,PhD Position in Quantum Physics and Precision Spectroscopy,University of Amsterdam (UvA),Netherlands,Are you a highly-motivated student for performing state-of-the-art atomic physics experiments and developing quantum technology? Then we are looking for you. The hybrid atom-ion quantum systems lab,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Quantum-Physics-And-Precision-Spectroscopy-University-Of-Amsterdam-Uv-A=cxqnxdll7RGUYQAlkGUTnw.html
31,31,"Research Assistant- Quantum Black Holes, Islands and Holography",Swansea University,United Kingdom,"The University is committed to supporting and promoting equality and diversity in all of its practices and activities. We aim to establish an inclusive environment and welcome diverse applications from the following protected characteristics: age, disability, gender reassignment, marriage and...",17 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Assistant-Quantum-Black-Holes-Islands-And-Holography-Swansea-University=ZGhAT1dm7RGUYQAlkGUTnw.html
32,32,Research Associate in Evolving quantum mechanical tunnelling in enzymes (TC/CO),University of Manchester,United Kingdom,"mechanism involving some degree of quantum mechanical tunnelling (QMT), and thus are a feature of quantum biology. The QMT contribution is highly variable and an open question remains whether there has been","Singapore,",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-In-Evolving-Quantum-Mechanical-Tunnelling-In-Enzymes-Tc-Co-University-Of-Manchester=ya3lpCpm7RGUYQAlkGUTnw.html
40,40,Staff Research Physicist- Diamond Quantum Devices and Microelectronics,Princeton University,United States,"The Princeton Plasma Physics Laboratory (PPPL) is looking for a research scientist to lead research on the operation, diagnosis, simulation, and optimization of plasma processing for quantum and","Princeton, New Jersey",https://scholarshipdb.net/jobs-in-United-States/Staff-Research-Physicist-Diamond-Quantum-Devices-And-Microelectronics-Princeton-University=SqFM8NZl7RGUYQAlkGUTnw.html
41,41,Postdoctoral Research Associate - Quantum Sensing of 2D Magnetic Materials,Oak Ridge National Laboratory,United States,solutions to compelling problems in energy and security. We are seeking a Postdoctoral Research Associate who will support the Quantum Heterostructures Group in the Materials Sciences and Technology Division,about 9 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Quantum-Sensing-Of-2-D-Magnetic-Materials-Oak-Ridge-National-Laboratory=bKlMKGtk7RGUYQAlkGUTnw.html
42,42,"Research Scientist, Quantum Information Sciences",Purdue University,United States,"What You'll Be Doing: As the Research Scientist, Quantum Information Science (QIS), you will explore/research, recommend, obtain funding for, and execute cyberinfrastructure projects that leverage","Oak Ridge, Tennessee",https://scholarshipdb.net/jobs-in-United-States/Research-Scientist-Quantum-Information-Sciences-Purdue-University=UXMZsIFf7RGUYQAlkGUTnw.html
43,43,Postdoctoral Research Fellow in Applied Quantum Computing,OsloMet,Norway,"initiatives across the university. Job Description A Postdoctoral Fellow position in the field of Quantum Computing (QC) is offered for a period of two years, with a possible extension for another year, at",about 15 hours ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Applied-Quantum-Computing-Oslo-Met=tru9OTlk7RGUYQAlkGUTnw.html
44,44,PhD position: Quantum microscopy and magnetometry of 2D materials,Monash University,Australia,The quantum microscope in our lab utilises a spatial array of electron spins as qubits to image the weak signals from the sample we are targeting [1]. These signals are perturbations which modify,"West Lafayette, Indiana",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Quantum-Microscopy-And-Magnetometry-Of-2-D-Materials-Monash-University=Zy0Y49Jj7RGUYQAlkGUTnw.html
45,45,Research Software Engineer / Quantum Cloud Engineer for the JUNIQ cloud platform,Forschungszentrum Jülich,Germany,Your Job: Within the research group Quantum Information Processing we are looking for a Research Software Engineer / Quantum Cloud Engineer willing to help extend the JUNIQ cloud platform required,7 days ago,https://scholarshipdb.net/jobs-in-Germany/Research-Software-Engineer-Quantum-Cloud-Engineer-For-The-Juniq-Cloud-Platform-Forschungszentrum-J-lich=RgJwgb5i7RGUYQAlkGUTnw.html
46,46,Postdoc in Quantum Sensing Technology,Technical University of Denmark,Denmark,Do you want to drive an experimental project in the highly topical field of quantum-enhanced Raman spectroscopy? Do you wish to use state-of-the-art squeezed light sources in close collaboration,about 22 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-In-Quantum-Sensing-Technology-Technical-University-Of-Denmark=_L0T-zxk7RGUYQAlkGUTnw.html
47,47,Research Assistant (Quantum Photonics),Nanyang Technological University,Singapore,Management and Research activities related to Quantum photonics Job Requirements Hold a Bachelor degree in either material science or applied physics or relevant subject from well-established universities,about 11 hours ago,https://scholarshipdb.net/jobs-in-Singapore/Research-Assistant-Quantum-Photonics-Nanyang-Technological-University=Z6di1DhV7RGUYQAlkGUTnw.html
48,48,Doctoral student in Physics in quantum information theory and quantum technology (PA2022/3424),University of Lund,Sweden,"the fields of quantum many-body systems, which includes theoretical research in nuclear physics, nanometer physics, quantum information, atomic physics, and modeling of materials, with several collaborations",about 17 hours ago,https://scholarshipdb.net/jobs-in-Sweden/Doctoral-Student-In-Physics-In-Quantum-Information-Theory-And-Quantum-Technology-Pa2022-3424-University-Of-Lund=P9RntP5f7RGUYQAlkGUTnw.html
49,49,PhD candidate - quantum & society: empirical outreach on quantum science and technology for communication and attitude measurements,Leiden University,Netherlands,Apply now The Faculty of Science is looking for a: PhD candidate - quantum & society: empirical outreach on quantum science and technology for communication and attitude measurements Vacancy number,2 days ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Candidate-Quantum-Society-Empirical-Outreach-On-Quantum-Science-And-Technology-For-Communication-And-Attitude-Measurements-Leiden-University=15fllQxl7RGUYQAlkGUTnw.html
54,54,Postdoctoral researcher - quantum & society: metaphors for quantum science and technology,Leiden University,Netherlands,Apply now The Faculty of Science is looking for a: Postdoctoral researcher - quantum & society: metaphors for quantum science and technology Vacancy number: 22-759 Project description This project,about 21 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Researcher-Quantum-Society-Metaphors-For-Quantum-Science-And-Technology-Leiden-University=xV1uogxl7RGUYQAlkGUTnw.html
55,55,Assistant Professor in Materials Science and NanoEngineering – Quantum,William Marsh Rice University - Department of Materials Science and NanoEngineering,United States,"tenure-track faculty position at the assistant professor level in the area of quantum materials, broadly defined. This appointment will be in the department of Materials Science and NanoEngineering (MSNE","Houston, Texas",https://scholarshipdb.net/jobs-in-United-States/Assistant-Professor-In-Materials-Science-And-Nano-Engineering-Quantum-William-Marsh-Rice-University-Department-Of-Materials-Science-And-Nano-Engineering=1-twtkRh7RGUYQAlkGUTnw.html
56,56,Faculty position for experimental Physics of Quantum Device,Delft University of Technology (TU Delft),Netherlands,interested in teaching can participate the development of courses offered by the university both at the undergraduate and at the graduate level. This can happen in collaboration with the department of Quantum,7 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Faculty-Position-For-Experimental-Physics-Of-Quantum-Device-Delft-University-Of-Technology-Tu-Delft=1JiqrRlg7RGUYQAlkGUTnw.html
57,57,PhD Studentship: Quantum Nanoplasmonics: Theory for the Interaction of Plasmons with Quantum Emitters,University of Birmingham ;,United Kingdom,"-metallic structures, one can direct and concentrate light at small enough volumes to enclose even single molecules or quantum emitters. Quantum emitters placed within these small volumes, absorb the plasmons",8 days ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Quantum-Nanoplasmonics-Theory-For-The-Interaction-Of-Plasmons-With-Quantum-Emitters-University-Of-Birmingham=BFbfxFZW7RGUYQAlkGUTnw.html
58,58,Postdoc positions in Experimental Quantum Engineering group,ETH Zurich,Switzerland,"100%, Zurich, fixed-term The Experimental Quantum Engineering (EQE) group seeks for one or two highly motivated postdoctoral researchers to start a project aiming for building a new architecture for","Birmingham, England",https://scholarshipdb.net/jobs-in-Switzerland/Postdoc-Positions-In-Experimental-Quantum-Engineering-Group-Eth-Zurich=jVwSBgti7RGUYQAlkGUTnw.html
59,59,"Postdoctoral position on simulation, emulation, benchmark and certification of noisy quantum devices",Institut de Physique Theorique,France,"Position ID:CEA-Saclay -IPhT -PD_EPIQ [#23656] Position Title: Position Type:Postdoctoral Position Location:Gif sur Yvette, Ile de France 91191, France [map ] Subject Areas: Quantum",17 days ago,https://scholarshipdb.net/jobs-in-France/Postdoctoral-Position-On-Simulation-Emulation-Benchmark-And-Certification-Of-Noisy-Quantum-Devices-Institut-De-Physique-Theorique=Acnmiutg7RGUYQAlkGUTnw.html
60,60,Postdoctoral Fellowship in Experimental Quantum Matter,University of Copenhagen,Denmark,"The Center for Quantum Devices at the Niels Bohr Institut, University of Copenhagen invites applicants for a postdoctoral fellows to investigate 1D and 2D arrays of semiconductor-superconductor",about 11 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoctoral-Fellowship-In-Experimental-Quantum-Matter-University-Of-Copenhagen=lkY2t4hi7RGUYQAlkGUTnw.html
61,61,PhD Studentship: Scalable Quantum Machine Learning with NISQ Devices: Theoretic and Algorithmic Foundations,University of Birmingham ;,United Kingdom,"Quantum information theory has long since promised a quantum advantage over classical computing paradigm. However, achieving this remains a distant reality as it requires the availability of fault","Gif sur Yvette, le de France",https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Scalable-Quantum-Machine-Learning-With-Nisq-Devices-Theoretic-And-Algorithmic-Foundations-University-Of-Birmingham=iWZjlvhk7RGUYQAlkGUTnw.html
62,62,Postdoctoral Appointee - Quantum Emitter Electron Nanomaterial Microscope (QuEEN-M) TG,Argonne,United States,The Nanoscience and Technology division at Argonne National Laboratory is seeking three Postdoctoral Appointees to develop and conduct independent research related to quantum information science,about 16 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Quantum-Emitter-Electron-Nanomaterial-Microscope-Qu-Een-M-Tg-Argonne=dEAEqgVm7RGUYQAlkGUTnw.html
63,63,Faculty position for experimental Physics of Quantum Device,Delft University of Technology,Netherlands,"Come join QuTech and create the Quantum Future! At QuTech, we are actively looking for an experimental scientist to help our efforts towards building protected qubits. The existing research focuses",1 day ago,https://scholarshipdb.net/jobs-in-Netherlands/Faculty-Position-For-Experimental-Physics-Of-Quantum-Device-Delft-University-Of-Technology=jvWJZtJg7RGUYQAlkGUTnw.html
69,69,Postdoctoral Researcher in Quantum-Engineered Precision Measurements of Simple Atoms and Molecules,University of Amsterdam,Netherlands,Are youa theorist looking for an opportunity to develop new theoretical and computational tools for quantum logic spectroscopy and work closely with experiments? The theory group of Arghavan Safavi,1 day ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Researcher-In-Quantum-Engineered-Precision-Measurements-Of-Simple-Atoms-And-Molecules-University-Of-Amsterdam=u0Xkmi1k7RGUYQAlkGUTnw.html
70,70,PhD Position in Quantum Physics and Precision Spectroscopy,University of Amsterdam,Netherlands,Are you ahighly-motivated student for performing state-of-the-art atomic physics experiments and developing quantum technology? Then we are looking for you. The hybrid atom-ion quantum systems lab,1 day ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Quantum-Physics-And-Precision-Spectroscopy-University-Of-Amsterdam=yiNvRi1k7RGUYQAlkGUTnw.html
71,71,"Professor, Quantum, Electrical Engineering",Binghamton University,United States,"of the broad areas of Quantum Communication, Quantum Computation or Quantum Information Science, including (but not limited to) realization of quantum circuits, applications of quantum computing and algorithms","Binghamton, New York",https://scholarshipdb.net/jobs-in-United-States/Professor-Quantum-Electrical-Engineering-Binghamton-University=tfdnwhtd7RGUYQAlkGUTnw.html
72,72,Postdocs positions in “Hybrid Quantum Chemistry on Hybrid Quantum Computers”,University of Copenhagen,Denmark,"Within the focused research project “Hybrid Quantum Chemistry on Hybrid Quantum Computers”, recently funded by the Novo Nordisk Foundation, we are seeking several postdoctoral fellows to work on the",about 20 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Postdocs-Positions-In-Hybrid-Quantum-Chemistry-On-Hybrid-Quantum-Computers-University-Of-Copenhagen=KB5j8PtQ7RGUYQAlkGUTnw.html
73,73,Associate Professor in experimental quantum communications,NTNU,Norway,) About the position The focus of the tenure track position is to establish a research program addressing secure quantum communication. We are looking for someone motivated in establishing how advances,1 day ago,https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Experimental-Quantum-Communications-Ntnu=NhZWfHJQ7RGUYQAlkGUTnw.html
74,74,PhD position: Unravelling the photophysics of quantum dot/molecule hybrids,University of Melbourne,Australia,Unravelling the photophysics of quantum dot/molecule hybrids 3 minute read Triplet-fusion upconversion is a rising strategy that harnesses spin-dependent molecular interactions to transform pairs,about 5 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Unravelling-The-Photophysics-Of-Quantum-Dot-Molecule-Hybrids-University-Of-Melbourne=qSIEDgNi7RGUYQAlkGUTnw.html
75,75,PhD Candidate in Quantum Artificial Intelligence,Maastricht University,Netherlands,PhD Candidate in Quantum Artificial Intelligence PhD Candidate in Quantum Artificial Intelligence Published Deadline Location 31 Oct 15 Nov Maastricht The Department of Advanced Computing Sciences,"Melbourne, Victoria",https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Candidate-In-Quantum-Artificial-Intelligence-Maastricht-University=-4unrjBZ7RGUYQAlkGUTnw.html
76,76,Postdoc in optimal control for quantum gate error reduction - a…,Chalmers University of Technology,Sweden,"Quantum gate error reduction – materials and circuit architectures for superconducting quantum computers, a collaboration between Chalmers University, Sweden and Aalto University, Finland. Come to",3 days ago,https://scholarshipdb.net/jobs-in-Sweden/Postdoc-In-Optimal-Control-For-Quantum-Gate-Error-Reduction-A-Chalmers-University-Of-Technology=oeby3lxk7RGUYQAlkGUTnw.html
77,77,"Research Fellow, Post Quantum Cryptography",QUEENS UNIVERSITY BELFAST,United Kingdom,"implementation of practical, robust and physically secure post-quantum cryptographic architectures at the Centre for Secure Information Technology (CSIT), at the Institute of Electronics, Communication and",13 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Post-Quantum-Cryptography-Queens-University-Belfast=1Q6TzKtk7RGUYQAlkGUTnw.html
78,78,Research Fellow - Post Quantum Cryptography,Queen's University Belfast,United Kingdom,"of practical, robust and physically secure post-quantum cryptographic architectures at the Centre for Secure Information Technology (CSIT), at the Institute of Electronics, Communication and Information",about 15 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Post-Quantum-Cryptography-Queen-s-University-Belfast=amqraWBk7RGUYQAlkGUTnw.html
83,83,Postdoctoral position in theoretical many-body quantum physics (PA2022/3342),University of Lund,Sweden,"primarily in the field of quantum mechanical many particle physics, which includes theoretical nuclear structure physics, nanometer physics, ultra-cold quantum gases, quantum information, atomic theory and",about 3 hours ago,https://scholarshipdb.net/jobs-in-Sweden/Postdoctoral-Position-In-Theoretical-Many-Body-Quantum-Physics-Pa2022-3342-University-Of-Lund=m_G138tg7RGUYQAlkGUTnw.html
84,84,CSIRO Postdoctoral Fellowship in Quantum Sensing Modified Biosystems,CSIRO,Australia,Do you have a PhD in engineering biological systems? Contribute to the Quantum Technologies Future Science Platform Join CSIRO – Australia’s leading scientific research organisation! CSIRO Early,about 7 hours ago,https://scholarshipdb.net/jobs-in-Australia/Csiro-Postdoctoral-Fellowship-In-Quantum-Sensing-Modified-Biosystems-Csiro=IDwbJORa7RGUYQAlkGUTnw.html
85,85,PhD position: Low-dimensional electronic and optoelectronic organic quantum materials,Monash University,Australia,"Modern electronics and optoelectronics rely on the nanoscale behaviour of electrons in materials. This quantum mechanical behaviour is dictated by the dimensionality, chemistry and atomic-scale",about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Low-Dimensional-Electronic-And-Optoelectronic-Organic-Quantum-Materials-Monash-University=OBnl1tJj7RGUYQAlkGUTnw.html
86,86,"Assistant Professor in Physics, Experimental Quantum Information Science",Binghamton University,United States,"program in experimental condensed matter physics with emphasis on quantum materials/quantum computation/AMO, contribute effectively to the Physics undergraduate and graduate teaching programs, and to","Binghamton, New York",https://scholarshipdb.net/jobs-in-United-States/Assistant-Professor-In-Physics-Experimental-Quantum-Information-Science-Binghamton-University=SHV1K6hi7RGUYQAlkGUTnw.html
