,Unnamed: 0,title,company,location,description,date_posted,link
11,11,PhD Studentship: Scalable Quantum Machine Learning with NISQ Devices: Theoretic and Algorithmic Foundations,University of Birmingham ;,United Kingdom,"Quantum information theory has long since promised a quantum advantage over classical computing paradigm. However, achieving this remains a distant reality as it requires the availability of fault","Birmingham, England",https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Scalable-Quantum-Machine-Learning-With-Nisq-Devices-Theoretic-And-Algorithmic-Foundations-University-Of-Birmingham=iWZjlvhk7RGUYQAlkGUTnw.html
12,12,PhD candidate - quantum & society: empirical outreach on quantum science and technology for communication and attitude measurements,Leiden University,Netherlands,Apply now The Faculty of Science is looking for a: PhD candidate - quantum & society: empirical outreach on quantum science and technology for communication and attitude measurements Vacancy number,about 23 hours ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Candidate-Quantum-Society-Empirical-Outreach-On-Quantum-Science-And-Technology-For-Communication-And-Attitude-Measurements-Leiden-University=15fllQxl7RGUYQAlkGUTnw.html
13,13,PhD Studentship: Quantum Nanoplasmonics: Theory for the Interaction of Plasmons with Quantum Emitters,University of Birmingham ;,United Kingdom,"and quantum information processing [1,2,3,4]. This PhD project will focus on (i) building the necessary theoretical models to understand the energy exchange dynamics between plasmons and quantum",about 21 hours ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Quantum-Nanoplasmonics-Theory-For-The-Interaction-Of-Plasmons-With-Quantum-Emitters-University-Of-Birmingham=BFbfxFZW7RGUYQAlkGUTnw.html
14,14,PhD position: Low-dimensional electronic and optoelectronic organic quantum materials,Monash University,Australia,"Modern electronics and optoelectronics rely on the nanoscale behaviour of electrons in materials. This quantum mechanical behaviour is dictated by the dimensionality, chemistry and atomic-scale","Birmingham, England",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Low-Dimensional-Electronic-And-Optoelectronic-Organic-Quantum-Materials-Monash-University=OBnl1tJj7RGUYQAlkGUTnw.html
15,15,Full PhD Scholarship in Quantum Computing Architecture,Universitat Politècnica de Catalunya (UPC) - BarcelonaTECH,Spain,"revolution in computer architecture enabled by the implementation of integrated quantum-coherent in quantum computers. Technical Scope N3Cat offers a full PhD scholarship for one highly qualified, motivated",17 days ago,https://scholarshipdb.net/scholarships-in-Spain/Full-Ph-D-Scholarship-In-Quantum-Computing-Architecture-Universitat-Polit-cnica-De-Catalunya-Upc-Barcelona-Tech=vHua_3lV7RGUYQAlkGUTnw.html
16,16,PhD Studentship: Atomic Quantum Magnetometry for Healthcare and Fundamental Physics,University of Birmingham ;,United Kingdom,"mechanics and atomic physics, an interest in applications of quantum technologies, and a good sense of humour! To find out more about studying for a PhD at the University of Birmingham, including full details",about 11 hours ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Atomic-Quantum-Magnetometry-For-Healthcare-And-Fundamental-Physics-University-Of-Birmingham=gnpwiyBb7RGUYQAlkGUTnw.html
17,17,PhD positions at Max Planck Graduate Center for Quantum Materials,Max Planck Graduate Center for Quantum Materials,Germany,"The term “quantum materials” refers to a rapidly evolving research frontier that aims to understand, control, and ultimately design materials in which quantum physics enables novel functionalities",22 days ago,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Positions-At-Max-Planck-Graduate-Center-For-Quantum-Materials-Max-Planck-Graduate-Center-For-Quantum-Materials=FuI1Bu9j7RGUYQAlkGUTnw.html
18,18,PhD scholarship in Quantum Communication using High-Order Modes,Technical University of Denmark,Denmark,$name Back $name To job list PhD scholarship in Quantum Communication using High-Order Modes DTU Electro Friday 04 Nov 22 Apply for this job Apply no later than 1 January 2023 Apply for the job at DTU,"Birmingham, England",https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Quantum-Communication-Using-High-Order-Modes-Technical-University-Of-Denmark=XeW7ET5k7RGUYQAlkGUTnw.html
19,19,PhD position: Artificial-intelligence-controlled atom-by-atom synthesis of 2D quantum materials,Monash University,Australia,"atomically precise functional materials with tailored quantum mechanical properties, and paving the way for novel electronic, optoelectronic, spintronic and catalytic functionalities. The PhD candidate will",13 days ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Artificial-Intelligence-Controlled-Atom-By-Atom-Synthesis-Of-2-D-Quantum-Materials-Monash-University=fQnC0NJj7RGUYQAlkGUTnw.html
20,20,PhD Studentship: Surface Plasmons for Enhanced Mid-Infrared Quantum Dots Photodetection,University of Southampton ;,United Kingdom,. Experimental quantum nanotechnology is the main area of research for our team. We are particularly interested in quantum dots and 2D materials applications We have diverse expertise ranging from devices,"Stuttgart, Baden W rttemberg",https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Surface-Plasmons-For-Enhanced-Mid-Infrared-Quantum-Dots-Photodetection-University-Of-Southampton=EWQTJ9BT7RGUYQAlkGUTnw.html
26,26,PhD position in Mode Conversion of Quantum State,Technical University of Denmark,Denmark,in multi-mode optical fibers for application in classical as well as quantum communication. The PhD student will participate in an international team in an EU-funded Doctoral Network project called,3 days ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Position-In-Mode-Conversion-Of-Quantum-State-Technical-University-Of-Denmark=cWPONDxk7RGUYQAlkGUTnw.html
27,27,PhD Studentship: Imaging Quantum Materials with an XFEL,University of Southampton ;,United Kingdom,"Supervisory Team: Professor Marcus Newton Project description Quantum materials can often exhibit novel and multifunctional properties due to strong coupling between lattice, charge, spin and","Southampton, England",https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Imaging-Quantum-Materials-With-An-Xfel-University-Of-Southampton=fEoQe95O7RGUYQAlkGUTnw.html
28,28,SFI CoQREATE PhD Studentship in Adaptive Optics and Satellite Component Design for Quantum...,South East Technological University,Ireland,"Post summary Applications are invites for a PhD position funded scholar in the Walton Institute, South East Technological University, Ireland. The candidate is expected to be highly self-motivated",about 1 month ago,https://scholarshipdb.net/scholarships-in-Ireland/Sfi-Co-Qreate-Ph-D-Studentship-In-Adaptive-Optics-And-Satellite-Component-Design-For-Quantum-South-East-Technological-University=YJoncPJk7RGUYQAlkGUTnw.html
29,29,PhD Position in Quantum Coding and Information Theory,Simula UiB AS,Norway,"A PhD position in the area of quantum information theory is available at the Information Theory Section of Simula UiB, Bergen, Norway. The position is for a fixed-term period of four years","Ireland,",https://scholarshipdb.net/scholarships-in-Norway/Ph-D-Position-In-Quantum-Coding-And-Information-Theory-Simula-Ui-B-As=nA5LAVVZ7RGUYQAlkGUTnw.html
30,30,PhD position: Using quantum microscopy to image the phase of a nanoscale magnetic field,Monash University,Australia,"components to be separated. Combined with imaging, lossy regions of the materials can be spatially examined. The quantum microscope in our lab uses the electron spin qubits from optical defects in diamond (NV",1 day ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Using-Quantum-Microscopy-To-Image-The-Phase-Of-A-Nanoscale-Magnetic-Field-Monash-University=fS0Y49Jj7RGUYQAlkGUTnw.html
31,31,PhD Position Quantum Computer Science,Delft University of Technology,Netherlands,We have open PhD positions at TU Delft in the exciting new area of Quantum Computer Science for Quantum Networks. Quantum Networks and their real-world realization pose a host of new Computer,17 days ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-Quantum-Computer-Science-Delft-University-Of-Technology=wRCR5rRP7RGUYQAlkGUTnw.html
32,32,PhD position - Quantum-based Energy Grid Simulation,Forschungszentrum Jülich,Germany,"Your Job: Quantum computing is a promising, disruptive technology for solving optimization and simulation problems which is at the heart of energy grid design and operation. Your work should first",about 11 hours ago,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-Quantum-Based-Energy-Grid-Simulation-Forschungszentrum-J-lich=oLCvyn1R7RGUYQAlkGUTnw.html
33,33,PhD Position Quantum Computer Science,Delft University of Technology (TU Delft),Netherlands,PhD Position Quantum Computer Science PhD Position Quantum Computer Science Published Deadline Location today 31 Dec Delft We have open PhD positions at TU Delft in the exciting new area of Quantum,about 21 hours ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-Quantum-Computer-Science-Delft-University-Of-Technology-Tu-Delft=0jEZzpFP7RGUYQAlkGUTnw.html
34,34,PhD Positions (m/f/d) | Quantum Science and Technology,"Max Planck Institute of Quantum Optics, Garching",Germany,"Job Offer from November 04, 2022 The International Max Planck Research School for Quantum Science and Technology is opening new PhD positions in fall 2023. The IMPRS is a joint program of the Max",about 17 hours ago,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Positions-M-F-D-Quantum-Science-And-Technology-Max-Planck-Institute-Of-Quantum-Optics-Garching=anpM2GRc7RGUYQAlkGUTnw.html
35,35,PhD student position in theory of dynamics in quantum materials,Chalmers University of Technology,Sweden,State-of-the-art techniques in the ultrafast control of matter reveal exciting dynamical phases and quantum phenomena. Join us at Chalmers for a PhD project and make a significant contribution to,29 days ago,https://scholarshipdb.net/scholarships-in-Sweden/Ph-D-Student-Position-In-Theory-Of-Dynamics-In-Quantum-Materials-Chalmers-University-Of-Technology=rYVbD_BW7RGUYQAlkGUTnw.html
39,39,PhD position in Mode conversion of Quantum state,DTU Electro,Denmark,in multi-mode optical fibers for application in classical as well as quantum communication The PhD student will participate in an international team in an EU-funded Doctoral Network project called,16 days ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Position-In-Mode-Conversion-Of-Quantum-State-Dtu-Electro=xHQZqVZZ7RGUYQAlkGUTnw.html
40,40,Doctoral researcher (PhD student) in Quantum Machine Learning Force…,University of Luxembourg,Luxembourg,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions (Valid from 01/11/2022 to 03/01/2023) Language: English (UK) Country: Luxembourg,7 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-University-Of-Luxembourg=SMxtyL9c7RGUYQAlkGUTnw.html
41,41,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions,University of Luxembourg,Luxembourg,"/ ) within its Faculty of Science, Technology and Medicine: Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions The University of Luxembourg is looking",17 minutes ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-Fields-For-Molecule-Protein-Interactions-University-Of-Luxembourg=cPJGUUZa7RGUYQAlkGUTnw.html
42,42,PhD position in the field of Theoretical Physics (Quantum Mechanics),University of Hamburg,Germany,Skip to main content European Commission › EURAXESS › Jobs & Funding › PhD position in the field of Theoretical Physics (Quantum Mechanics) EURAXESS Toggle navigation Jobs & Funding More Working,"Hamburg, Hamburg",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-In-The-Field-Of-Theoretical-Physics-Quantum-Mechanics-University-Of-Hamburg=YVZKygZV7RGUYQAlkGUTnw.html
43,43,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein...,University of Luxembourg,Luxembourg,"/ ) within its Faculty of Science, Technology and Medicine: Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions The University of Luxembourg is looking",22 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-Fields-For-Molecule-Protein-University-Of-Luxembourg=JLqx9jla7RGUYQAlkGUTnw.html
44,44,Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein...,University of Luxembourg,Luxembourg,"/ ) within its Faculty of Science, Technology and Medicine: Doctoral researcher (PhD student) in Quantum Machine Learning Force Fields for Molecule-Protein Interactions The University of Luxembourg is looking",14 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Researcher-Ph-D-Student-In-Quantum-Machine-Learning-Force-Fields-For-Molecule-Protein-University-Of-Luxembourg=SXvje7Ja7RGUYQAlkGUTnw.html
45,45,PhD Studentship: Theory for Generating Quantum Entangled States in Hybrid Nanophotonic Cavities,University of Birmingham ;,United Kingdom,"the energy exchange occurs, and tailor the properties of the combined system. Such systems form the basis for many future applications in quantum technologies and quantum information processing. This PhD",14 days ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Theory-For-Generating-Quantum-Entangled-States-In-Hybrid-Nanophotonic-Cavities-University-Of-Birmingham=wxr2BVdW7RGUYQAlkGUTnw.html
46,46,PhD scholarship in Quantum Communication using High-Order Modes at DTU Electro,DTU Electro,Denmark,"We offer DTU is a leading technical university globally recognized for the excellence of its research, education, innovation and scientific advice. We offer a rewarding and challenging job in an international environment. We strive for academic excellence in an environment characterized by...","Birmingham, England",https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Quantum-Communication-Using-High-Order-Modes-At-Dtu-Electro-Dtu-Electro=dbmIFH5c7RGUYQAlkGUTnw.html
47,47,"M/F: PhD Student - Ab initio Control of Defects for Quantum Bits: Screening, Quantifying,...",CNRS,France,Richard). This PhD thesis will be attached to the University of Toulouse III-Paul Sabatier. The doctoral student will therefore carry out his/her thesis in Trieste and in Toulouse. To carry out his/her work,19 days ago,https://scholarshipdb.net/scholarships-in-France/M-F-Ph-D-Student-Ab-Initio-Control-Of-Defects-For-Quantum-Bits-Screening-Quantifying-Cnrs=Rb3nUERa7RGUYQAlkGUTnw.html
48,48,Postdoctoral Appointee - Quantum Information Science,Argonne,United States,"this interdisciplinary research team. Position Requirements PhD (typically completed within 3 years or soon-to-be completed) in computing, engineering, physics, or a related discipline and interest in quantum",10 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Quantum-Information-Science-Argonne=VU363QBm7RGUYQAlkGUTnw.html
53,53,"Visiting Research Associate Professor, Centre for Quantum Technologies",NATIONAL UNIVERSITY OF SINGAPORE,Europe,"is to foster advances on algorithms detecting entanglement in quantum states or quantum channels, as well as on quantum parameter estimation and more generally quantum metrology. Job requirements PhD",3 days ago,https://scholarshipdb.net/jobs-in-Europe/Visiting-Research-Associate-Professor-Centre-For-Quantum-Technologies-National-University-Of-Singapore=Cr4NRDth7RGUYQAlkGUTnw.html
54,54,POSTDOC POSITION (F*M),"Austrian Academy of Sciences, The Institute for Quantum Optics and Quantum Information – Vienna (IQOQI-Vienna)",Austria,"Job ID: IQOQIVIE155PD222 The Institute for Quantum Optics and Quantum Information – Vienna (IQOQI-Vienna ) of the Austrian Academy of Sciences (OeAW ), Austria's leading non-university research and",3 days ago,https://scholarshipdb.net/jobs-in-Austria/Postdoc-Position-F-M-Austrian-Academy-Of-Sciences-The-Institute-For-Quantum-Optics-And-Quantum-Information-Vienna-Iqoqi-Vienna=HakNGxlk7RGUYQAlkGUTnw.html
55,55,Quantum Photonic Engineer,University of Copenhagen,Denmark,NNF Quantum Computing Programme (NQCP) Niels Bohr Institute Faculty of Science University of Copenhagen NQCP is establishing a talented and diverse international team to create a cutting-edge,10 minutes ago,https://scholarshipdb.net/jobs-in-Denmark/Quantum-Photonic-Engineer-University-Of-Copenhagen=g2ny9Lpl7RGUYQAlkGUTnw.html
56,56,Postdoc position on Quantum Acoustics,University of Twente,Netherlands,"Vacancies Postdoc position on Quantum Acoustics Key takeaways Hours40 hr. Salary indication€ 3,557 - € 4,670 Deadline31 Dec 2022 This postdoc project is part of the national program on Quantum",about 15 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-Position-On-Quantum-Acoustics-University-Of-Twente=LNEKHw5m7RGUYQAlkGUTnw.html
57,57,Assistant/Associate Professor Quantum Computer Science,TU Delft,Netherlands,"Applicants must have completed a PhD in quantum computer or information science, as well as show evidence of exceptional research potential. Individuals with a research focus in applied areas of QCS, quantum",2 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-Associate-Professor-Quantum-Computer-Science-Tu-Delft=D-tXWvRk7RGUYQAlkGUTnw.html
58,58,Optics Technical Engineer,Delft University of Technology (TU Delft),Netherlands,"radically new technology with world-changing potential, developing scalable prototypes of a quantum computer and an intrinsically safe quantum internet. We are creating the quantum future and we believe",about 3 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Optics-Technical-Engineer-Delft-University-Of-Technology-Tu-Delft=1KOSIfVk7RGUYQAlkGUTnw.html
59,59,Postdoc in optimal control for quantum gate error reduction - a…,Chalmers University of Technology,Sweden,"Quantum gate error reduction – materials and circuit architectures for superconducting quantum computers, a collaboration between Chalmers University, Sweden and Aalto University, Finland. Come to",about 15 hours ago,https://scholarshipdb.net/jobs-in-Sweden/Postdoc-In-Optimal-Control-For-Quantum-Gate-Error-Reduction-A-Chalmers-University-Of-Technology=oeby3lxk7RGUYQAlkGUTnw.html
60,60,Postdoc in Hybrid Quantum Chemistry on Hybrid Quantum Computers,Technical University of Denmark,Denmark,"methods and software for the prediction of molecular properties on hybrid classic-quantum architectures involving IBM’s NISQ quantum computers. As a formal qualification, you must hold a PhD degree (or",2 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-In-Hybrid-Quantum-Chemistry-On-Hybrid-Quantum-Computers-Technical-University-Of-Denmark=gL5RK3Fj7RGUYQAlkGUTnw.html
61,61,Postdoctoral position in theoretical many-body quantum physics (PA2022/3342),University of Lund,Sweden,aspects of quantum many-particle problems. Experience to assist with the supervision of diploma students and PhD students. Very good communication skills. Consideration will also be given to how,about 3 hours ago,https://scholarshipdb.net/jobs-in-Sweden/Postdoctoral-Position-In-Theoretical-Many-Body-Quantum-Physics-Pa2022-3342-University-Of-Lund=m_G138tg7RGUYQAlkGUTnw.html
62,62,Postdoctoral Researcher in Quantum Machine Learning,Helmholtz,Germany,"Your Job: You will work in an interdisciplinary project team on quantum enhanced machine learning methods. This includes: the extension, development and analysis of new quantum machine learning",about 3 hours ago,https://scholarshipdb.net/jobs-in-Germany/Postdoctoral-Researcher-In-Quantum-Machine-Learning-Helmholtz=ty-8Ffll7RGUYQAlkGUTnw.html
63,63,Postdoc position on Quantum Acoustics,University of Twente (UT),Netherlands,"quantum acousto-electronic devices, and measure those at (milli)Kelvin temperatures; You have a PhD degree in (applied) physics, nanotechnology, electrical engineering or a related topic; You have a keen",1 day ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-Position-On-Quantum-Acoustics-University-Of-Twente-Ut=q1fIypxl7RGUYQAlkGUTnw.html
64,64,Postdoctoral researcher - quantum & society: metaphors for quantum science and technology,Leiden University,Netherlands,Apply now The Faculty of Science is looking for a: Postdoctoral researcher - quantum & society: metaphors for quantum science and technology Vacancy number: 22-759 Project description This project,about 21 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Researcher-Quantum-Society-Metaphors-For-Quantum-Science-And-Technology-Leiden-University=xV1uogxl7RGUYQAlkGUTnw.html
65,65,PHD STUDENT POSITION (F*M),"Austrian Academy of Sciences, The Institute for Quantum Optics and Quantum Information Vienna (IQOQI-Vienna)",Austria,"science institution, dedicates its work to theoretical and experimental basic research in the areas of quantum science. We currently offer a Phd Student position (f*m) (part-time, 30h per week) in",10 days ago,https://scholarshipdb.net/scholarships-in-Austria/Phd-Student-Position-F-M-Austrian-Academy-Of-Sciences-The-Institute-For-Quantum-Optics-And-Quantum-Information-Vienna-Iqoqi-Vienna=kHMWRYFc7RGUYQAlkGUTnw.html
66,66,CSIRO Postdoctoral Fellowship in Quantum Sensing Modified Biosystems,CSIRO,Australia,Do you have a PhD in engineering biological systems? Contribute to the Quantum Technologies Future Science Platform Join CSIRO – Australia’s leading scientific research organisation! CSIRO Early,about 7 hours ago,https://scholarshipdb.net/jobs-in-Australia/Csiro-Postdoctoral-Fellowship-In-Quantum-Sensing-Modified-Biosystems-Csiro=IDwbJORa7RGUYQAlkGUTnw.html
67,67,"International Max Planck Research School for Quantum Dynamics in Physics, Chemistry and Biology (IMPRS-QD) IMPRS-Quantum Dynamics",Max Planck Institute for Nuclear Physics •,Germany,"fees per semester in EUR None Combined Master's degree / PhD programme No Joint degree / double degree programme No Description/content Structure and Dynamics of Atoms and Molecules, Experimental Methods","Heidelberg, Baden W rttemberg",https://scholarshipdb.net/scholarships-in-Germany/International-Max-Planck-Research-School-For-Quantum-Dynamics-In-Physics-Chemistry-And-Biology-Imprs-Qd-Imprs-Quantum-Dynamics-Max-Planck-Institute-For-Nuclear-Physics=zVt5Iqxj7RGUYQAlkGUTnw.html
68,68,PhD position: Graphene as a platform for new topological phases of electronic matter,Monash University,Australia,"of magnetic order, a quantum anomalous Hall phase. Such phases could carry dissipationless edge currents at room temperature and could be used in future electronics or quantum computing technologies. This PhD",about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Graphene-As-A-Platform-For-New-Topological-Phases-Of-Electronic-Matter-Monash-University=Kxnl1tJj7RGUYQAlkGUTnw.html
69,69,Postdoctoral Researcher – Quantum Computing Algorithms for Energy Systems,National Renewable Energy Laboratory NREL,United States,Posting Title Postdoctoral Researcher – Quantum Computing Algorithms for Energy Systems . Location CO - Golden . Position Type Postdoc (Fixed Term) . Hours Per Week 40 . Mandatory COVID-19,about 11 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Researcher-Quantum-Computing-Algorithms-For-Energy-Systems-National-Renewable-Energy-Laboratory-Nrel=MnC18Rxl7RGUYQAlkGUTnw.html
70,70,Postdoctoral Fellows in Quantum Mathematics,University of Southern Denmark (SDU),Denmark,"The Centre for Quantum Mathematics (QM) at the Department of Mathematics and Computer Science, University of Southern Denmark (SDU) invites applications for a number of two-year positions as","Golden, Colorado",https://scholarshipdb.net/jobs-in-Denmark/Postdoctoral-Fellows-In-Quantum-Mathematics-University-Of-Southern-Denmark-Sdu=4MF2rsdc7RGUYQAlkGUTnw.html
71,71,PhD position: Few- and many-body physics in ultracold atomic gases,Monash University,Australia,Ultracold atomic gases have emerged as an ideal platform for investigating the physics of strongly correlated materials in a highly controllable environment. The Theory of Quantum Matter group,about 19 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Few-And-Many-Body-Physics-In-Ultracold-Atomic-Gases-Monash-University=Khnl1tJj7RGUYQAlkGUTnw.html
72,72,Science and Communication Manager (m/w/d),Center for Integrated Quantum Science and Technology,Germany,"We are looking for a Science and Communication Manager (m/w/d) at the Centre for Integrated Quantum Science and Technology. Are you interested in scientific writing, management, outreach and",9 days ago,https://scholarshipdb.net/jobs-in-Germany/Science-And-Communication-Manager-M-W-D-Center-For-Integrated-Quantum-Science-And-Technology=27Ui1Nhl7RGUYQAlkGUTnw.html
76,76,Research Fellow (Quantum Information and Data Analytics),Nanyang Technological University,Singapore,of students in key areas of quantum information science To initiate collaborations with international experts in quantum information science Job Requirements PhD in theoretical quantum information or related,"Singapore,",https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Quantum-Information-And-Data-Analytics-Nanyang-Technological-University=w_c3TaxO7RGUYQAlkGUTnw.html
77,77,Postdoctoral Research Fellow,University of Exeter,United Kingdom,"Postdoctoral Research Fellow working in the area of quantum computing and simulation. The post is offered to work in the group of Dr. Oleksandr Kyriienko (Department of Physics, University of Exeter). A",11 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellow-University-Of-Exeter=lNfJ39hk7RGUYQAlkGUTnw.html
